GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2798
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	LIHDPOLN_00001	nanT_1	Cluster_140235
Operon645	LIHDPOLN_01022	assT	Cluster_62455
Operon645	LIHDPOLN_01023	btuB_2	Cluster_62455
Operon646	LIHDPOLN_01024	Unknown_Gene	Cluster_62455
Operon647	LIHDPOLN_01025	atsK	Cluster_161033
Operon647	LIHDPOLN_01026	ssuA_3	Cluster_161033
Operon648	LIHDPOLN_01027	Unknown_Gene	Cluster_32588
Operon648	LIHDPOLN_01028	ssuB_2	Cluster_32588
Operon649	LIHDPOLN_01029	Unknown_Gene	Cluster_103433
Operon649	LIHDPOLN_01030	Unknown_Gene	Cluster_103433
Operon649	LIHDPOLN_01031	nrtD_1	Cluster_103433
Operon649	LIHDPOLN_01032	ssuC_3	Cluster_103433
Operon649	LIHDPOLN_01033	Unknown_Gene	Cluster_103433
Operon650	LIHDPOLN_01034	Unknown_Gene	Cluster_76640
Operon651	LIHDPOLN_01035	sdhA_1	Cluster_91251
Operon652	LIHDPOLN_01036	Unknown_Gene	Cluster_91251
Operon653	LIHDPOLN_01037	dapE_1	Cluster_70992
Operon654	LIHDPOLN_01038	Unknown_Gene	Cluster_88940
Operon655	LIHDPOLN_01039	Unknown_Gene	Cluster_140970
Operon656	LIHDPOLN_01040	Unknown_Gene	Cluster_83979
Operon656	LIHDPOLN_01041	xerC_2	Cluster_83979
Operon657	LIHDPOLN_01042	Unknown_Gene	Cluster_83979
Operon658	LIHDPOLN_01043	sdhE	Cluster_93112
Operon659	LIHDPOLN_01044	ygfZ	Cluster_93112
Operon660	LIHDPOLN_01045	Unknown_Gene	Cluster_148026
Operon661	LIHDPOLN_01046	sasA_1	Cluster_59586
Operon661	LIHDPOLN_01047	tctD	Cluster_59586
Operon662	LIHDPOLN_01048	nicP_3	Cluster_59586
Operon662	LIHDPOLN_01049	Unknown_Gene	Cluster_59586
Operon663	LIHDPOLN_01050	Unknown_Gene	Cluster_60024
Operon663	LIHDPOLN_01051	Unknown_Gene	Cluster_60024
Operon663	LIHDPOLN_01052	Unknown_Gene	Cluster_60024
Operon664	LIHDPOLN_01053	yhcR	Cluster_101446
Operon665	LIHDPOLN_01054	ung	Cluster_98628
Operon666	LIHDPOLN_01055	caiD_2	Cluster_98628
Operon667	LIHDPOLN_01056	Unknown_Gene	Cluster_55101
Operon668	LIHDPOLN_01057	Unknown_Gene	Cluster_55101
Operon669	LIHDPOLN_01058	rsuA	Cluster_54420
Operon670	LIHDPOLN_01059	rhlA	Cluster_21891
Operon671	LIHDPOLN_01060	Unknown_Gene	Cluster_108453
Operon672	LIHDPOLN_01061	Unknown_Gene	Cluster_55396
Operon673	LIHDPOLN_01062	Unknown_Gene	Cluster_53354
Operon674	LIHDPOLN_01063	Unknown_Gene	Cluster_13493
Operon675	LIHDPOLN_01064	Unknown_Gene	Cluster_81754
Operon676	LIHDPOLN_01065	Unknown_Gene	Cluster_64062
Operon677	LIHDPOLN_01066	Unknown_Gene	Cluster_64062
Operon678	LIHDPOLN_01067	dctB_2	Cluster_85169
Operon678	LIHDPOLN_01068	dctD_2	Cluster_85169
Operon679	LIHDPOLN_01069	kgtP_3	Cluster_93113
Operon680	LIHDPOLN_01070	Unknown_Gene	Cluster_25555
Operon681	LIHDPOLN_01071	Unknown_Gene	Cluster_25555
Operon682	LIHDPOLN_01072	Unknown_Gene	Cluster_103435
Operon683	LIHDPOLN_01073	Unknown_Gene	Cluster_154544
Operon683	LIHDPOLN_01074	Unknown_Gene	Cluster_154544
Operon684	LIHDPOLN_01075	rhaS_4	Cluster_58447
Operon685	LIHDPOLN_01076	aruI_1	Cluster_106956
Operon686	LIHDPOLN_01077	gcvA_2	Cluster_106956
Operon687	LIHDPOLN_01078	Unknown_Gene	Cluster_115544
Operon687	LIHDPOLN_01079	Unknown_Gene	Cluster_115544
Operon688	LIHDPOLN_01080	dmlR_4	Cluster_115544
Operon689	LIHDPOLN_01081	Unknown_Gene	Cluster_146937
Operon690	LIHDPOLN_01082	Unknown_Gene	Cluster_22785
Operon691	LIHDPOLN_01083	bmr3_1	Cluster_22785
Operon692	LIHDPOLN_01084	ttgR	Cluster_41105
Operon693	LIHDPOLN_01085	ttgA	Cluster_41105
Operon693	LIHDPOLN_01086	arpB	Cluster_41105
Operon693	LIHDPOLN_01087	ttgC_1	Cluster_41105
Operon694	LIHDPOLN_01088	nicP_4	Cluster_35388
Operon695	LIHDPOLN_01089	argP_2	Cluster_58836
Operon696	LIHDPOLN_01090	Unknown_Gene	Cluster_70138
Operon697	LIHDPOLN_01091	Unknown_Gene	Cluster_65830
Operon697	LIHDPOLN_01092	catD_2	Cluster_65830
Operon697	LIHDPOLN_01093	pcaB	Cluster_65830
Operon697	LIHDPOLN_01094	kgtP_4	Cluster_65830
Operon698	LIHDPOLN_01095	pcaF_1	Cluster_59882
Operon699	LIHDPOLN_01096	pcaK_3	Cluster_27692
Operon700	LIHDPOLN_01097	pcaR_1	Cluster_13170
Operon701	LIHDPOLN_01098	Unknown_Gene	Cluster_13170
Operon702	LIHDPOLN_01099	pitA_1	Cluster_30220
Operon703	LIHDPOLN_01100	Unknown_Gene	Cluster_72805
Operon704	LIHDPOLN_01101	mcpG	Cluster_72805
Operon705	LIHDPOLN_01102	mgtA_1	Cluster_51672
Operon705	LIHDPOLN_01103	Unknown_Gene	Cluster_51672
Operon705	LIHDPOLN_01104	Unknown_Gene	Cluster_51672
Operon706	LIHDPOLN_01105	Unknown_Gene	Cluster_155526
Operon706	LIHDPOLN_01106	purU_2	Cluster_155526
Operon707	LIHDPOLN_01107	Unknown_Gene	Cluster_34959
Operon708	LIHDPOLN_01108	sbcB	Cluster_157130
Operon708	LIHDPOLN_01109	Unknown_Gene	Cluster_157130
Operon709	LIHDPOLN_01110	Unknown_Gene	Cluster_67636
Operon710	LIHDPOLN_01111	pykA	Cluster_67636
Operon711	LIHDPOLN_01112	Unknown_Gene	Cluster_77363
Operon712	LIHDPOLN_01113	ndoR	Cluster_36884
Operon713	LIHDPOLN_01114	fumA	Cluster_36884
Operon714	LIHDPOLN_01115	Unknown_Gene	Cluster_46725
Operon715	LIHDPOLN_01116	Unknown_Gene	Cluster_48172
Operon716	LIHDPOLN_01117	yhbO_1	Cluster_153134
Operon717	LIHDPOLN_01118	clsA_1	Cluster_134382
Operon717	LIHDPOLN_01119	Unknown_Gene	Cluster_134382
Operon717	LIHDPOLN_01120	Unknown_Gene	Cluster_134382
Operon717	LIHDPOLN_01121	Unknown_Gene	Cluster_134382
Operon717	LIHDPOLN_01122	Unknown_Gene	Cluster_134382
Operon718	LIHDPOLN_01123	Unknown_Gene	Cluster_76298
Operon719	LIHDPOLN_01124	Unknown_Gene	Cluster_76298
Operon719	LIHDPOLN_01125	Unknown_Gene	Cluster_76298
Operon720	LIHDPOLN_01126	acpH	Cluster_83440
Operon721	LIHDPOLN_01127	Unknown_Gene	Cluster_83440
Operon721	LIHDPOLN_01128	nemA_3	Cluster_83440
Operon722	LIHDPOLN_01129	Unknown_Gene	Cluster_125960
Operon723	LIHDPOLN_01130	oleD	Cluster_154523
Operon723	LIHDPOLN_01131	Unknown_Gene	Cluster_154523
Operon724	LIHDPOLN_01132	argO	Cluster_114835
Operon725	LIHDPOLN_01133	sodB_1	Cluster_57169
Operon726	LIHDPOLN_01134	Unknown_Gene	Cluster_43168
Operon727	LIHDPOLN_01135	Unknown_Gene	Cluster_77619
Operon728	LIHDPOLN_01136	Unknown_Gene	Cluster_88201
Operon728	LIHDPOLN_01137	Unknown_Gene	Cluster_88201
Operon729	LIHDPOLN_01138	Unknown_Gene	Cluster_109828
Operon729	LIHDPOLN_01139	Unknown_Gene	Cluster_109828
Operon729	LIHDPOLN_01140	Unknown_Gene	Cluster_109828
Operon730	LIHDPOLN_01141	mdtA_2	Cluster_47427
Operon730	LIHDPOLN_01142	bepE_1	Cluster_47427
Operon731	LIHDPOLN_01143	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon732	LIHDPOLN_01144	Unknown_Gene	Cluster_110666
Operon732	LIHDPOLN_01145	inaA	Cluster_110666
Operon732	LIHDPOLN_01146	Unknown_Gene	Cluster_110666
Operon733	LIHDPOLN_01147	sasA_2	Cluster_66703
Operon733	LIHDPOLN_01148	czcR_1	Cluster_66703
Operon734	LIHDPOLN_01149	Unknown_Gene	Cluster_66703
Operon735	LIHDPOLN_01150	groL	Cluster_153547
Operon735	LIHDPOLN_01151	groS	Cluster_153547
Operon736	LIHDPOLN_01152	Unknown_Gene	Cluster_140372
Operon737	LIHDPOLN_01153	Unknown_Gene	Cluster_123171
Operon738	LIHDPOLN_01154	Unknown_Gene	Cluster_75773
Operon739	LIHDPOLN_01155	Unknown_Gene	Cluster_75773
Operon739	LIHDPOLN_01156	Unknown_Gene	Cluster_75773
Operon740	LIHDPOLN_01157	mdfA	Cluster_64547
Operon741	LIHDPOLN_01158	mscS	Cluster_106957
Operon742	LIHDPOLN_01159	Unknown_Gene	Cluster_115642
Operon743	LIHDPOLN_01160	panE_1	Cluster_115642
Operon743	LIHDPOLN_01161	sasA_3	Cluster_115642
Operon743	LIHDPOLN_01162	cobO_1	Cluster_115642
Operon744	LIHDPOLN_01163	thiE_2	Cluster_80021
Operon744	LIHDPOLN_01164	nagL_1	Cluster_80021
Operon745	LIHDPOLN_01165	argJ	Cluster_61231
Operon746	LIHDPOLN_01166	secA	Cluster_160436
Operon747	LIHDPOLN_01167	Unknown_Gene	Cluster_160436
Operon747	LIHDPOLN_01168	Unknown_Gene	Cluster_160436
Operon748	LIHDPOLN_01169	Unknown_Gene	Cluster_116945
Operon749	LIHDPOLN_01170	lpxC	Cluster_107308
Operon750	LIHDPOLN_01171	ftsZ	Cluster_148650
Operon751	LIHDPOLN_01172	ftsA	Cluster_2287
Operon751	LIHDPOLN_01173	ftsQ	Cluster_2287
Operon751	LIHDPOLN_01174	ddl	Cluster_2287
Operon751	LIHDPOLN_01175	murC	Cluster_2287
Operon751	LIHDPOLN_01176	murG	Cluster_2287
Operon751	LIHDPOLN_01177	ftsW	Cluster_2287
Operon751	LIHDPOLN_01178	murD	Cluster_2287
Operon751	LIHDPOLN_01179	mraY	Cluster_2287
Operon751	LIHDPOLN_01180	murF	Cluster_2287
Operon751	LIHDPOLN_01181	murE	Cluster_2287
Operon751	LIHDPOLN_01182	ftsI	Cluster_2287
Operon751	LIHDPOLN_01183	ftsL	Cluster_2287
Operon751	LIHDPOLN_01184	rsmH	Cluster_2287
Operon751	LIHDPOLN_01185	mraZ	Cluster_2287
Operon752	LIHDPOLN_01186	rsmI	Cluster_65186
Operon753	LIHDPOLN_01187	lpoA	Cluster_65186
Operon753	LIHDPOLN_01188	Unknown_Gene	Cluster_65186
Operon754	LIHDPOLN_01189	gmhA	Cluster_126246
Operon754	LIHDPOLN_01190	Unknown_Gene	Cluster_126246
Operon755	LIHDPOLN_01191	Unknown_Gene	Cluster_77364
Operon756	LIHDPOLN_01192	Unknown_Gene	Cluster_102945
Operon756	LIHDPOLN_01193	sspA	Cluster_102945
Operon757	LIHDPOLN_01194	petC	Cluster_38106
Operon757	LIHDPOLN_01195	petB	Cluster_38106
Operon757	LIHDPOLN_01196	petA	Cluster_38106
Operon758	LIHDPOLN_01197	rpsI	Cluster_40381
Operon758	LIHDPOLN_01198	rplM	Cluster_40381
Operon759	LIHDPOLN_01199	tas	Cluster_40381
Operon760	LIHDPOLN_01200	cdhR_5	Cluster_108447
Operon761	LIHDPOLN_01201	zapE_1	Cluster_123689
Operon762	LIHDPOLN_01202	Unknown_Gene	Cluster_92010
Operon762	LIHDPOLN_01203	Unknown_Gene	Cluster_92010
Operon763	LIHDPOLN_01204	Unknown_Gene	Cluster_92010
Operon764	LIHDPOLN_01205	mdeA	Cluster_96111
Operon765	LIHDPOLN_01206	decR_2	Cluster_96111
Operon766	LIHDPOLN_01207	col	Cluster_77864
Operon766	LIHDPOLN_01208	imm	Cluster_77864
Operon767	LIHDPOLN_01209	cysNC	Cluster_73301
Operon767	LIHDPOLN_01210	cysD	Cluster_73301
Operon768	LIHDPOLN_01211	Unknown_Gene	Cluster_73461
Operon769	LIHDPOLN_01212	degS	Cluster_73461
Operon770	LIHDPOLN_01213	glnQ_4	Cluster_140311
Operon770	LIHDPOLN_01214	yhdY	Cluster_140311
Operon770	LIHDPOLN_01215	Unknown_Gene	Cluster_140311
Operon771	LIHDPOLN_01216	yhdW	Cluster_26875
Operon772	LIHDPOLN_01217	estB	Cluster_26875
Operon773	LIHDPOLN_01218	rhlB_1	Cluster_116190
Operon774	LIHDPOLN_01219	moaE	Cluster_55805
Operon774	LIHDPOLN_01220	moaD	Cluster_55805
Operon774	LIHDPOLN_01221	moaC	Cluster_55805
Operon775	LIHDPOLN_01222	Unknown_Gene	Cluster_35442
Operon776	LIHDPOLN_01223	Unknown_Gene	Cluster_90591
Operon777	LIHDPOLN_01224	yaaA	Cluster_90591
Operon778	LIHDPOLN_01225	algD	Cluster_1364
Operon779	LIHDPOLN_01226	alg8	Cluster_135160
Operon779	LIHDPOLN_01227	Unknown_Gene	Cluster_135160
Operon779	LIHDPOLN_01228	algK	Cluster_135160
Operon779	LIHDPOLN_01229	algE	Cluster_135160
Operon779	LIHDPOLN_01230	algG	Cluster_135160
Operon779	LIHDPOLN_01231	algX	Cluster_135160
Operon779	LIHDPOLN_01232	algL	Cluster_135160
Operon780	LIHDPOLN_01233	patA	Cluster_60401
Operon780	LIHDPOLN_01234	algJ	Cluster_60401
Operon780	LIHDPOLN_01235	algF	Cluster_60401
Operon780	LIHDPOLN_01236	algA_1	Cluster_60401
Operon781	LIHDPOLN_01237	Unknown_Gene	Cluster_88210
Operon781	LIHDPOLN_01238	Unknown_Gene	Cluster_88210
Operon782	LIHDPOLN_01239	ttgC_2	Cluster_105586
Operon782	LIHDPOLN_01240	emrA_3	Cluster_105586
Operon782	LIHDPOLN_01241	emrY	Cluster_105586
Operon783	LIHDPOLN_01242	nodD2_1	Cluster_37753
Operon784	LIHDPOLN_01243	Unknown_Gene	Cluster_37753
Operon785	LIHDPOLN_01244	aaeA_1	Cluster_62470
Operon785	LIHDPOLN_01245	Unknown_Gene	Cluster_62470
Operon785	LIHDPOLN_01246	aaeB_1	Cluster_62470
Operon785	LIHDPOLN_01247	ttgI_2	Cluster_62470
Operon786	LIHDPOLN_01248	dmlR_5	Cluster_62470
Operon787	LIHDPOLN_01249	ghrB_1	Cluster_62083
Operon788	LIHDPOLN_01250	Unknown_Gene	Cluster_42675
Operon789	LIHDPOLN_01251	rhaS_5	Cluster_42675
Operon790	LIHDPOLN_01252	cntO_3	Cluster_52741
Operon791	LIHDPOLN_01253	Unknown_Gene	Cluster_39417
Operon791	LIHDPOLN_01254	fecI_4	Cluster_39417
Operon791	LIHDPOLN_01255	Unknown_Gene	Cluster_39417
Operon791	LIHDPOLN_01256	Unknown_Gene	Cluster_39417
Operon791	LIHDPOLN_01257	Unknown_Gene	Cluster_39417
Operon792	LIHDPOLN_01258	Unknown_Gene	Cluster_39417
Operon793	LIHDPOLN_01259	Unknown_Gene	Cluster_13169
Operon793	LIHDPOLN_01260	Unknown_Gene	Cluster_13169
Operon794	LIHDPOLN_01261	Unknown_Gene	Cluster_33607
Operon794	LIHDPOLN_01262	Unknown_Gene	Cluster_33607
Operon795	LIHDPOLN_01263	Unknown_Gene	Cluster_33607
Operon795	LIHDPOLN_01264	sctC_2	Cluster_33607
Operon795	LIHDPOLN_01265	Unknown_Gene	Cluster_33607
Operon795	LIHDPOLN_01266	Unknown_Gene	Cluster_33607
Operon795	LIHDPOLN_01267	Unknown_Gene	Cluster_33607
Operon795	LIHDPOLN_01268	Unknown_Gene	Cluster_33607
Operon795	LIHDPOLN_01269	Unknown_Gene	Cluster_33607
Operon795	LIHDPOLN_01270	Unknown_Gene	Cluster_33607
Operon796	LIHDPOLN_01271	Unknown_Gene	Cluster_134383
Operon797	LIHDPOLN_01272	Unknown_Gene	Cluster_134383
Operon797	LIHDPOLN_01273	sasA_4	Cluster_134383
Operon798	LIHDPOLN_01274	Unknown_Gene	Cluster_88022
Operon799	LIHDPOLN_01275	Unknown_Gene	Cluster_88022
Operon800	LIHDPOLN_01276	Unknown_Gene	Cluster_120228
Operon801	LIHDPOLN_01277	Unknown_Gene	Cluster_8792
Operon802	LIHDPOLN_01278	Unknown_Gene	Cluster_15707
Operon803	LIHDPOLN_01279	Unknown_Gene	Cluster_67048
Operon804	LIHDPOLN_01280	psiE	Cluster_136377
Operon805	LIHDPOLN_01281	Unknown_Gene	Cluster_28509
Operon806	LIHDPOLN_01282	Unknown_Gene	Cluster_28509
Operon807	LIHDPOLN_01283	ldh	Cluster_100108
Operon808	LIHDPOLN_01284	Unknown_Gene	Cluster_100108
Operon809	LIHDPOLN_01285	nagL_2	Cluster_70952
Operon809	LIHDPOLN_01286	Unknown_Gene	Cluster_70952
Operon809	LIHDPOLN_01287	hmgA	Cluster_70952
Operon810	LIHDPOLN_01288	kdgR_1	Cluster_70952
Operon811	LIHDPOLN_01289	Unknown_Gene	Cluster_103243
Operon812	LIHDPOLN_01290	oleB	Cluster_70045
Operon813	LIHDPOLN_01291	yohK_2	Cluster_117958
Operon813	LIHDPOLN_01292	cidA_2	Cluster_117958
Operon814	LIHDPOLN_01293	gltC_3	Cluster_117958
Operon815	LIHDPOLN_01294	Unknown_Gene	Cluster_105633
Operon816	LIHDPOLN_01295	pfyP	Cluster_105633
Operon817	LIHDPOLN_01296	Unknown_Gene	Cluster_146835
Operon818	LIHDPOLN_01297	carH	Cluster_53021
Operon819	LIHDPOLN_01298	Unknown_Gene	Cluster_53021
Operon819	LIHDPOLN_01299	folM	Cluster_53021
Operon819	LIHDPOLN_01300	Unknown_Gene	Cluster_53021
Operon819	LIHDPOLN_01301	Unknown_Gene	Cluster_53021
Operon820	LIHDPOLN_01302	Unknown_Gene	Cluster_76957
Operon821	LIHDPOLN_01303	fabV	Cluster_43366
Operon822	LIHDPOLN_01304	gcvA_3	Cluster_92325
Operon823	LIHDPOLN_01305	aguA_2	Cluster_92325
Operon823	LIHDPOLN_01306	nit1_1	Cluster_92325
Operon823	LIHDPOLN_01307	spuE_2	Cluster_92325
Operon823	LIHDPOLN_01308	aguA_3	Cluster_92325
Operon824	LIHDPOLN_01309	Unknown_Gene	Cluster_91806
Operon824	LIHDPOLN_01310	Unknown_Gene	Cluster_91806
Operon825	LIHDPOLN_01311	thlA_1	Cluster_91806
Operon826	LIHDPOLN_01312	intQ_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon827	LIHDPOLN_01313	gbpR_2	Cluster_116163
Operon828	LIHDPOLN_01314	Unknown_Gene	Cluster_116163
Operon829	LIHDPOLN_01315	ttuB_1	Cluster_144499
Operon830	LIHDPOLN_01316	Unknown_Gene	Cluster_10678
Operon830	LIHDPOLN_01317	Unknown_Gene	Cluster_10678
Operon831	LIHDPOLN_01318	qorA_1	Cluster_57249
Operon832	LIHDPOLN_01319	nodD2_2	Cluster_57249
Operon833	LIHDPOLN_01320	Unknown_Gene	Cluster_54056
Operon833	LIHDPOLN_01321	Unknown_Gene	Cluster_54056
Operon834	LIHDPOLN_01322	Unknown_Gene	Cluster_132215
Operon834	LIHDPOLN_01323	Unknown_Gene	Cluster_132215
Operon834	LIHDPOLN_01324	Unknown_Gene	Cluster_132215
Operon835	LIHDPOLN_01325	Unknown_Gene	Cluster_91802
Operon835	LIHDPOLN_01326	Unknown_Gene	Cluster_91802
Operon836	LIHDPOLN_01327	Unknown_Gene	Cluster_167955
Operon836	LIHDPOLN_01328	Unknown_Gene	Cluster_167955
Operon836	LIHDPOLN_01329	yphB_1	Cluster_167955
Operon836	LIHDPOLN_01330	Unknown_Gene	Cluster_167955
Operon837	LIHDPOLN_01331	yihQ	Cluster_49666
Operon837	LIHDPOLN_01332	yidK	Cluster_49666
Operon838	LIHDPOLN_01333	gntR_1	Cluster_49666
Operon839	LIHDPOLN_01334	tauE	Cluster_112661
Operon839	LIHDPOLN_01335	Unknown_Gene	Cluster_112661
Operon839	LIHDPOLN_01336	gudP_3	Cluster_112661
Operon840	LIHDPOLN_01337	Unknown_Gene	Cluster_33530
Operon841	LIHDPOLN_01338	Unknown_Gene	Cluster_33530
Operon842	LIHDPOLN_01339	Unknown_Gene	Cluster_66310
Operon842	LIHDPOLN_01340	Unknown_Gene	Cluster_66310
Operon842	LIHDPOLN_01341	Unknown_Gene	Cluster_66310
Operon842	LIHDPOLN_01342	Unknown_Gene	Cluster_66310
Operon843	LIHDPOLN_01343	kup_1	Cluster_52552
Operon844	LIHDPOLN_01344	Unknown_Gene	Cluster_81115
Operon845	LIHDPOLN_01345	Unknown_Gene	Cluster_81115
Operon846	LIHDPOLN_01346	Unknown_Gene	Cluster_115567
Operon846	LIHDPOLN_01347	Unknown_Gene	Cluster_115567
Operon846	LIHDPOLN_01348	Unknown_Gene	Cluster_115567
Operon846	LIHDPOLN_01349	Unknown_Gene	Cluster_115567
Operon846	LIHDPOLN_01350	Unknown_Gene	Cluster_115567
Operon846	LIHDPOLN_01351	Unknown_Gene	Cluster_115567
Operon847	LIHDPOLN_01352	phrB_1	Cluster_117622
Operon847	LIHDPOLN_01353	Unknown_Gene	Cluster_117622
Operon847	LIHDPOLN_01354	Unknown_Gene	Cluster_117622
Operon847	LIHDPOLN_01355	Unknown_Gene	Cluster_117622
Operon848	LIHDPOLN_01356	Unknown_Gene	Cluster_54663
Operon849	LIHDPOLN_01357	srpC_1	Cluster_54663
Operon850	LIHDPOLN_01358	yodB_1	Cluster_76833
Operon851	LIHDPOLN_01359	qseC_1	Cluster_24437
Operon851	LIHDPOLN_01360	qseB_1	Cluster_24437
Operon851	LIHDPOLN_01361	Unknown_Gene	Cluster_24437
Operon851	LIHDPOLN_01362	fabG_5	Cluster_24437
Operon851	LIHDPOLN_01363	Unknown_Gene	Cluster_24437
Operon851	LIHDPOLN_01364	menE	Cluster_24437
Operon851	LIHDPOLN_01365	Unknown_Gene	Cluster_24437
Operon852	LIHDPOLN_01366	patZ	Cluster_24437
Operon853	LIHDPOLN_01367	pat_1	Cluster_12648
Operon854	LIHDPOLN_01368	uspE_2	Cluster_60020
Operon855	LIHDPOLN_01369	adh_1	Cluster_60020
Operon856	LIHDPOLN_01370	Unknown_Gene	Cluster_132775
Operon857	LIHDPOLN_01371	fnr	Cluster_128549
Operon858	LIHDPOLN_01372	nrsf	Cluster_66309
Operon858	LIHDPOLN_01373	sigF	Cluster_66309
Operon859	LIHDPOLN_01374	Unknown_Gene	Cluster_66309
Operon859	LIHDPOLN_01375	Unknown_Gene	Cluster_66309
Operon859	LIHDPOLN_01376	Unknown_Gene	Cluster_66309
Operon859	LIHDPOLN_01377	Unknown_Gene	Cluster_66309
Operon860	LIHDPOLN_01378	ku	Cluster_16051
Operon861	LIHDPOLN_01379	Unknown_Gene	Cluster_16051
Operon862	LIHDPOLN_01380	metR_1	Cluster_75841
Operon862	LIHDPOLN_01381	xecA1	Cluster_75841
Operon862	LIHDPOLN_01382	Unknown_Gene	Cluster_75841
Operon863	LIHDPOLN_01383	arsR2	Cluster_75841
Operon864	LIHDPOLN_01384	arsC_1	Cluster_139704
Operon864	LIHDPOLN_01385	arsH_1	Cluster_139704
Operon865	LIHDPOLN_01386	Unknown_Gene	Cluster_33024
Operon866	LIHDPOLN_01387	proQ	Cluster_33024
Operon867	LIHDPOLN_01388	phnW_1	Cluster_59635
Operon868	LIHDPOLN_01389	Unknown_Gene	Cluster_38076
Operon869	LIHDPOLN_01390	Unknown_Gene	Cluster_38076
Operon870	LIHDPOLN_01391	paoA	Cluster_20491
Operon870	LIHDPOLN_01392	paoB	Cluster_20491
Operon870	LIHDPOLN_01393	paoC	Cluster_20491
Operon871	LIHDPOLN_01394	Unknown_Gene	Cluster_130083
Operon872	LIHDPOLN_01395	hcaB_3	Cluster_130083
Operon873	LIHDPOLN_01396	Unknown_Gene	Cluster_32116
Operon874	LIHDPOLN_01397	rcsC_8	Cluster_37752
Operon874	LIHDPOLN_01398	luxQ	Cluster_37752
Operon874	LIHDPOLN_01399	Unknown_Gene	Cluster_37752
Operon874	LIHDPOLN_01400	rsbT	Cluster_37752
Operon874	LIHDPOLN_01401	rsbS	Cluster_37752
Operon874	LIHDPOLN_01402	Unknown_Gene	Cluster_37752
Operon875	LIHDPOLN_01403	yhbO_2	Cluster_37752
Operon876	LIHDPOLN_01404	Unknown_Gene	Cluster_61243
Operon877	LIHDPOLN_01405	ydaD_2	Cluster_61243
Operon878	LIHDPOLN_01406	Unknown_Gene	Cluster_85166
Operon879	LIHDPOLN_01407	ydaP	Cluster_78424
Operon880	LIHDPOLN_01408	xthA_1	Cluster_28712
Operon880	LIHDPOLN_01409	Unknown_Gene	Cluster_28712
Operon881	LIHDPOLN_01410	hipO_2	Cluster_21510
Operon881	LIHDPOLN_01411	proP_2	Cluster_21510
Operon882	LIHDPOLN_01412	Unknown_Gene	Cluster_21510
Operon883	LIHDPOLN_01413	tsaR	Cluster_125310
Operon883	LIHDPOLN_01414	Unknown_Gene	Cluster_125310
Operon884	LIHDPOLN_01415	Unknown_Gene	Cluster_42868
Operon885	LIHDPOLN_01416	lipA_2	Cluster_138459
Operon886	LIHDPOLN_01417	glyA_2	Cluster_143612
Operon887	LIHDPOLN_01418	gcvP_1	Cluster_40392
Operon887	LIHDPOLN_01419	gcvH_1	Cluster_40392
Operon888	LIHDPOLN_01420	tyrR_1	Cluster_121788
Operon889	LIHDPOLN_01421	cycA_4	Cluster_15023
Operon890	LIHDPOLN_01422	betA_2	Cluster_119641
Operon890	LIHDPOLN_01423	Unknown_Gene	Cluster_119641
Operon890	LIHDPOLN_01424	Unknown_Gene	Cluster_119641
Operon891	LIHDPOLN_01425	styD_2	Cluster_38921
Operon891	LIHDPOLN_01426	gbuA_1	Cluster_38921
Operon892	LIHDPOLN_01427	metR_2	Cluster_38921
Operon893	LIHDPOLN_01428	cynR_2	Cluster_119886
Operon894	LIHDPOLN_01429	aldHT	Cluster_119886
Operon894	LIHDPOLN_01430	Unknown_Gene	Cluster_119886
Operon895	LIHDPOLN_01431	Unknown_Gene	Cluster_147348
Operon895	LIHDPOLN_01432	Unknown_Gene	Cluster_147348
Operon895	LIHDPOLN_01433	Unknown_Gene	Cluster_147348
Operon895	LIHDPOLN_01434	yabJ_1	Cluster_147348
Operon896	LIHDPOLN_01435	Unknown_Gene	Cluster_15961
Operon896	LIHDPOLN_01436	Unknown_Gene	Cluster_15961
Operon896	LIHDPOLN_01437	Unknown_Gene	Cluster_15961
Operon897	LIHDPOLN_01438	Unknown_Gene	Cluster_135863
Operon898	LIHDPOLN_01439	Unknown_Gene	Cluster_52692
Operon899	LIHDPOLN_01440	dsdX	Cluster_89950
Operon899	LIHDPOLN_01441	dsdA	Cluster_89950
Operon899	LIHDPOLN_01442	dsdC	Cluster_89950
Operon900	LIHDPOLN_01443	rcsC_9	Cluster_20583
Operon900	LIHDPOLN_01444	adhB_1	Cluster_20583
Operon901	LIHDPOLN_01445	adh_2	Cluster_88797
Operon902	LIHDPOLN_01446	qedA_1	Cluster_69117
Operon903	LIHDPOLN_01447	gloB_3	Cluster_161143
Operon903	LIHDPOLN_01448	Unknown_Gene	Cluster_161143
Operon904	LIHDPOLN_01449	mltF_3	Cluster_36662
Operon904	LIHDPOLN_01450	Unknown_Gene	Cluster_36662
Operon905	LIHDPOLN_01451	qedA_2	Cluster_36662
Operon906	LIHDPOLN_01452	Unknown_Gene	Cluster_109705
Operon907	LIHDPOLN_01453	exaE	Cluster_83358
Operon907	LIHDPOLN_01454	Unknown_Gene	Cluster_83358
