GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2523
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	CPKLKDOD_00001	nanT_1	Cluster_140235
Operon898	CPKLKDOD_01421	phaC_2	Cluster_37965
Operon899	CPKLKDOD_01422	Unknown_Gene	Cluster_64138
Operon900	CPKLKDOD_01423	hslU	Cluster_133576
Operon901	CPKLKDOD_01424	hslV	Cluster_122502
Operon901	CPKLKDOD_01425	pyrC'	Cluster_122502
Operon901	CPKLKDOD_01426	pyrB	Cluster_122502
Operon901	CPKLKDOD_01427	pyrR	Cluster_122502
Operon901	CPKLKDOD_01428	yqgF	Cluster_122502
Operon901	CPKLKDOD_01429	Unknown_Gene	Cluster_122502
Operon902	CPKLKDOD_01430	Unknown_Gene	Cluster_123089
Operon903	CPKLKDOD_01431	gshB	Cluster_81083
Operon904	CPKLKDOD_01432	phoP_1	Cluster_81083
Operon904	CPKLKDOD_01433	pleD	Cluster_81083
Operon904	CPKLKDOD_01434	Unknown_Gene	Cluster_81083
Operon904	CPKLKDOD_01435	Unknown_Gene	Cluster_81083
Operon904	CPKLKDOD_01436	rcsC_8	Cluster_81083
Operon904	CPKLKDOD_01437	Unknown_Gene	Cluster_81083
Operon905	CPKLKDOD_01438	Unknown_Gene	Cluster_119714
Operon906	CPKLKDOD_01439	rsmE	Cluster_76263
Operon907	CPKLKDOD_01440	bioA	Cluster_131428
Operon908	CPKLKDOD_01441	Unknown_Gene	Cluster_55455
Operon909	CPKLKDOD_01442	mnmC_1	Cluster_55455
Operon910	CPKLKDOD_01443	yceJ	Cluster_41436
Operon910	CPKLKDOD_01444	yceI	Cluster_41436
Operon911	CPKLKDOD_01445	rhlE_1	Cluster_52646
Operon912	CPKLKDOD_01446	Unknown_Gene	Cluster_118415
Operon913	CPKLKDOD_01447	Unknown_Gene	Cluster_121708
Operon914	CPKLKDOD_01448	metF	Cluster_110544
Operon915	CPKLKDOD_01449	ahcY	Cluster_32604
Operon916	CPKLKDOD_01450	Unknown_Gene	Cluster_32604
Operon917	CPKLKDOD_01451	nhaP	Cluster_33846
Operon918	CPKLKDOD_01452	Unknown_Gene	Cluster_33846
Operon918	CPKLKDOD_01453	Unknown_Gene	Cluster_33846
Operon919	CPKLKDOD_01454	mltA	Cluster_103437
Operon920	CPKLKDOD_01455	cycA_3	Cluster_103437
Operon921	CPKLKDOD_01456	yqjC	Cluster_94542
Operon922	CPKLKDOD_01457	ligB	Cluster_87026
Operon923	CPKLKDOD_01458	metK	Cluster_49021
Operon923	CPKLKDOD_01459	COQ3_1	Cluster_49021
Operon924	CPKLKDOD_01460	tktA	Cluster_49021
Operon925	CPKLKDOD_01461	epd	Cluster_83377
Operon925	CPKLKDOD_01462	pgk	Cluster_83377
Operon925	CPKLKDOD_01463	Unknown_Gene	Cluster_83377
Operon926	CPKLKDOD_01464	Unknown_Gene	Cluster_77794
Operon927	CPKLKDOD_01465	cbbA	Cluster_116342
Operon928	CPKLKDOD_01466	rcsC_9	Cluster_54058
Operon928	CPKLKDOD_01467	ygjP	Cluster_54058
Operon928	CPKLKDOD_01468	Unknown_Gene	Cluster_54058
Operon929	CPKLKDOD_01469	elaA	Cluster_80621
Operon930	CPKLKDOD_01470	Unknown_Gene	Cluster_80621
Operon931	CPKLKDOD_01471	yccS	Cluster_128163
Operon932	CPKLKDOD_01472	Unknown_Gene	Cluster_84665
Operon933	CPKLKDOD_01473	dbpA	Cluster_142042
Operon934	CPKLKDOD_01474	hsrA_1	Cluster_97933
Operon935	CPKLKDOD_01475	Unknown_Gene	Cluster_102215
Operon935	CPKLKDOD_01476	Unknown_Gene	Cluster_102215
Operon936	CPKLKDOD_01477	hdfR_3	Cluster_99388
Operon937	CPKLKDOD_01478	Unknown_Gene	Cluster_99388
Operon937	CPKLKDOD_01479	Unknown_Gene	Cluster_99388
Operon937	CPKLKDOD_01480	eamA_2	Cluster_99388
Operon938	CPKLKDOD_01481	dmdC_2	Cluster_45745
Operon939	CPKLKDOD_01482	putA	Cluster_23250
Operon940	CPKLKDOD_01483	putP	Cluster_23250
Operon941	CPKLKDOD_01484	rlmJ	Cluster_65478
Operon942	CPKLKDOD_01485	tobZ	Cluster_48417
Operon942	CPKLKDOD_01486	mshA_2	Cluster_48417
Operon942	CPKLKDOD_01487	Unknown_Gene	Cluster_48417
Operon942	CPKLKDOD_01488	Unknown_Gene	Cluster_48417
Operon942	CPKLKDOD_01489	Unknown_Gene	Cluster_48417
Operon943	CPKLKDOD_01490	Unknown_Gene	Cluster_141934
Operon943	CPKLKDOD_01491	mshA_3	Cluster_141934
Operon944	CPKLKDOD_01492	Unknown_Gene	Cluster_167296
Operon945	CPKLKDOD_01493	Unknown_Gene	Cluster_167296
Operon945	CPKLKDOD_01494	msbA	Cluster_167296
Operon946	CPKLKDOD_01495	hldE	Cluster_95823
Operon947	CPKLKDOD_01496	Unknown_Gene	Cluster_150202
Operon948	CPKLKDOD_01497	Unknown_Gene	Cluster_77271
Operon948	CPKLKDOD_01498	Unknown_Gene	Cluster_77271
Operon949	CPKLKDOD_01499	Unknown_Gene	Cluster_125964
Operon950	CPKLKDOD_01500	yhaJ_2	Cluster_125964
Operon950	CPKLKDOD_01501	waaA	Cluster_125964
Operon951	CPKLKDOD_01502	tolC_1	Cluster_16607
Operon952	CPKLKDOD_01503	thiC	Cluster_16607
Operon953	CPKLKDOD_01504	Unknown_Gene	Cluster_75249
Operon954	CPKLKDOD_01505	Unknown_Gene	Cluster_65581
Operon955	CPKLKDOD_01506	nudF	Cluster_65581
Operon955	CPKLKDOD_01507	Unknown_Gene	Cluster_65581
Operon955	CPKLKDOD_01508	cpdA_3	Cluster_65581
Operon956	CPKLKDOD_01509	Unknown_Gene	Cluster_38949
Operon957	CPKLKDOD_01510	Unknown_Gene	Cluster_38949
Operon957	CPKLKDOD_01511	parE	Cluster_38949
Operon957	CPKLKDOD_01512	Unknown_Gene	Cluster_38949
Operon957	CPKLKDOD_01513	Unknown_Gene	Cluster_38949
Operon957	CPKLKDOD_01514	parC	Cluster_38949
Operon958	CPKLKDOD_01515	Unknown_Gene	Cluster_97966
Operon959	CPKLKDOD_01516	abaF_2	Cluster_22769
Operon960	CPKLKDOD_01517	Unknown_Gene	Cluster_22769
Operon961	CPKLKDOD_01518	yeaD_1	Cluster_133635
Operon962	CPKLKDOD_01519	Unknown_Gene	Cluster_154929
Operon962	CPKLKDOD_01520	Unknown_Gene	Cluster_154929
Operon963	CPKLKDOD_01521	purK	Cluster_72206
Operon963	CPKLKDOD_01522	purE	Cluster_72206
Operon964	CPKLKDOD_01523	yjiE_2	Cluster_83973
Operon965	CPKLKDOD_01524	aspA	Cluster_83973
Operon966	CPKLKDOD_01525	Unknown_Gene	Cluster_67697
Operon967	CPKLKDOD_01526	aphA_2	Cluster_50332
Operon967	CPKLKDOD_01527	spuD_1	Cluster_50332
Operon968	CPKLKDOD_01528	gabR_1	Cluster_123133
Operon969	CPKLKDOD_01529	paiB	Cluster_123133
Operon969	CPKLKDOD_01530	Unknown_Gene	Cluster_123133
Operon969	CPKLKDOD_01531	Unknown_Gene	Cluster_123133
Operon970	CPKLKDOD_01532	oadA	Cluster_63619
Operon970	CPKLKDOD_01533	cfiB	Cluster_63619
Operon971	CPKLKDOD_01534	cmpR_1	Cluster_63619
Operon972	CPKLKDOD_01535	Unknown_Gene	Cluster_54278
Operon973	CPKLKDOD_01536	hexR_1	Cluster_114663
Operon974	CPKLKDOD_01537	zwf_3	Cluster_114663
Operon975	CPKLKDOD_01538	Unknown_Gene	Cluster_126062
Operon976	CPKLKDOD_01539	uvrD	Cluster_104245
Operon977	CPKLKDOD_01540	Unknown_Gene	Cluster_93024
Operon978	CPKLKDOD_01541	Unknown_Gene	Cluster_106279
Operon979	CPKLKDOD_01542	kefB	Cluster_25258
Operon980	CPKLKDOD_01543	Unknown_Gene	Cluster_25258
Operon981	CPKLKDOD_01544	pdxY	Cluster_102158
Operon982	CPKLKDOD_01545	Unknown_Gene	Cluster_102158
Operon983	CPKLKDOD_01546	yeiR	Cluster_161032
Operon983	CPKLKDOD_01547	Unknown_Gene	Cluster_161032
Operon983	CPKLKDOD_01548	yciC	Cluster_161032
Operon984	CPKLKDOD_01549	Unknown_Gene	Cluster_106339
Operon984	CPKLKDOD_01550	folE2	Cluster_106339
Operon985	CPKLKDOD_01551	Unknown_Gene	Cluster_93721
Operon986	CPKLKDOD_01552	clsA	Cluster_93721
Operon987	CPKLKDOD_01553	COQ3_2	Cluster_56486
Operon988	CPKLKDOD_01554	lpd3	Cluster_56486
Operon989	CPKLKDOD_01555	Unknown_Gene	Cluster_75412
Operon990	CPKLKDOD_01556	pat	Cluster_68157
Operon990	CPKLKDOD_01557	czcO_1	Cluster_68157
Operon990	CPKLKDOD_01558	Unknown_Gene	Cluster_68157
Operon990	CPKLKDOD_01559	arsH_2	Cluster_68157
Operon990	CPKLKDOD_01560	arsC_2	Cluster_68157
Operon990	CPKLKDOD_01561	arsB_1	Cluster_68157
Operon990	CPKLKDOD_01562	arsR1	Cluster_68157
Operon991	CPKLKDOD_01563	Unknown_Gene	Cluster_68157
Operon992	CPKLKDOD_01564	Unknown_Gene	Cluster_21934
Operon993	CPKLKDOD_01565	yhjQ	Cluster_77811
Operon994	CPKLKDOD_01566	Unknown_Gene	Cluster_126615
Operon994	CPKLKDOD_01567	cusA	Cluster_126615
Operon994	CPKLKDOD_01568	cusB	Cluster_126615
Operon994	CPKLKDOD_01569	Unknown_Gene	Cluster_126615
Operon995	CPKLKDOD_01570	Unknown_Gene	Cluster_164116
Operon995	CPKLKDOD_01571	sasA_4	Cluster_164116
Operon995	CPKLKDOD_01572	copR_1	Cluster_164116
Operon996	CPKLKDOD_01573	Unknown_Gene	Cluster_75250
Operon997	CPKLKDOD_01574	copA_1	Cluster_67624
Operon997	CPKLKDOD_01575	Unknown_Gene	Cluster_67624
Operon997	CPKLKDOD_01576	copB_1	Cluster_67624
Operon997	CPKLKDOD_01577	Unknown_Gene	Cluster_67624
Operon997	CPKLKDOD_01578	Unknown_Gene	Cluster_67624
Operon998	CPKLKDOD_01579	Unknown_Gene	Cluster_17507
Operon999	CPKLKDOD_01580	Unknown_Gene	Cluster_17507
Operon1000	CPKLKDOD_01581	Unknown_Gene	Cluster_62442
Operon1001	CPKLKDOD_01582	Unknown_Gene	Cluster_39625
Operon1002	CPKLKDOD_01583	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1002	CPKLKDOD_01584	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1002	CPKLKDOD_01585	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1003	CPKLKDOD_01586	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1004	CPKLKDOD_01587	Unknown_Gene	Cluster_2565
Operon1005	CPKLKDOD_01588	Unknown_Gene	Cluster_12884
Operon1006	CPKLKDOD_01589	glmS	Cluster_63657
Operon1006	CPKLKDOD_01590	srlR	Cluster_63657
Operon1007	CPKLKDOD_01591	glmU	Cluster_100310
Operon1008	CPKLKDOD_01592	atpC	Cluster_158281
Operon1008	CPKLKDOD_01593	atpD	Cluster_158281
Operon1008	CPKLKDOD_01594	atpG	Cluster_158281
Operon1008	CPKLKDOD_01595	atpA	Cluster_158281
Operon1008	CPKLKDOD_01596	atpH_1	Cluster_158281
Operon1008	CPKLKDOD_01597	atpF	Cluster_158281
Operon1009	CPKLKDOD_01598	atpH_2	Cluster_85917
Operon1010	CPKLKDOD_01599	atpB	Cluster_83980
Operon1010	CPKLKDOD_01600	Unknown_Gene	Cluster_83980
Operon1011	CPKLKDOD_01601	parB	Cluster_6047
Operon1011	CPKLKDOD_01602	soj_1	Cluster_6047
Operon1011	CPKLKDOD_01603	rsmG	Cluster_6047
Operon1011	CPKLKDOD_01604	mnmG	Cluster_6047
Operon1012	CPKLKDOD_01605	mnmE	Cluster_124059
Operon1013	CPKLKDOD_01606	yidC	Cluster_45519
Operon1014	CPKLKDOD_01607	rnpA	Cluster_7111
Operon1014	CPKLKDOD_01608	rpmH	Cluster_7111
Operon1015	CPKLKDOD_01609	dnaA	Cluster_7111
Operon1015	CPKLKDOD_01610	dnaN	Cluster_7111
Operon1015	CPKLKDOD_01611	recF	Cluster_7111
Operon1015	CPKLKDOD_01612	gyrB	Cluster_7111
Operon1016	CPKLKDOD_01613	Unknown_Gene	Cluster_73941
Operon1017	CPKLKDOD_01614	norR_1	Cluster_52004
Operon1018	CPKLKDOD_01615	Unknown_Gene	Cluster_52004
Operon1018	CPKLKDOD_01616	Unknown_Gene	Cluster_52004
Operon1018	CPKLKDOD_01617	Unknown_Gene	Cluster_52004
Operon1019	CPKLKDOD_01618	gcvA_3	Cluster_45879
Operon1020	CPKLKDOD_01619	alkJ	Cluster_45879
Operon1021	CPKLKDOD_01620	nanT_4	Cluster_118221
Operon1022	CPKLKDOD_01621	Unknown_Gene	Cluster_156113
Operon1022	CPKLKDOD_01622	gmhB	Cluster_156113
Operon1022	CPKLKDOD_01623	glyS	Cluster_156113
Operon1022	CPKLKDOD_01624	glyQ	Cluster_156113
Operon1023	CPKLKDOD_01625	tag	Cluster_126047
Operon1023	CPKLKDOD_01626	lpxP	Cluster_126047
Operon1024	CPKLKDOD_01627	Unknown_Gene	Cluster_144713
Operon1024	CPKLKDOD_01628	trkA	Cluster_144713
Operon1024	CPKLKDOD_01629	rsmB	Cluster_144713
Operon1024	CPKLKDOD_01630	fmt	Cluster_144713
Operon1025	CPKLKDOD_01631	def_1	Cluster_57245
Operon1026	CPKLKDOD_01632	Unknown_Gene	Cluster_57245
Operon1026	CPKLKDOD_01633	tsaC	Cluster_57245
Operon1027	CPKLKDOD_01634	yefM	NO_CLUSTER_ASSOCIATION_FOUND
Operon1027	CPKLKDOD_01635	yoeB	NO_CLUSTER_ASSOCIATION_FOUND
Operon1028	CPKLKDOD_01636	qorA_2	Cluster_92508
Operon1029	CPKLKDOD_01637	hemF	Cluster_92508
Operon1029	CPKLKDOD_01638	aroE_1	Cluster_92508
Operon1030	CPKLKDOD_01639	Unknown_Gene	Cluster_98099
Operon1031	CPKLKDOD_01640	Unknown_Gene	Cluster_110540
Operon1031	CPKLKDOD_01641	betC	Cluster_110540
Operon1032	CPKLKDOD_01642	gcvA_4	Cluster_110540
Operon1033	CPKLKDOD_01643	Unknown_Gene	Cluster_151280
Operon1034	CPKLKDOD_01644	Unknown_Gene	Cluster_151280
Operon1035	CPKLKDOD_01645	trpA	Cluster_109067
Operon1035	CPKLKDOD_01646	trpB	Cluster_109067
Operon1036	CPKLKDOD_01647	trpI_1	Cluster_109067
Operon1037	CPKLKDOD_01648	yqjD_1	Cluster_84041
Operon1038	CPKLKDOD_01649	Unknown_Gene	Cluster_84041
Operon1039	CPKLKDOD_01650	Unknown_Gene	Cluster_116183
Operon1040	CPKLKDOD_01651	limB	Cluster_81112
Operon1041	CPKLKDOD_01652	osmC	Cluster_81112
Operon1042	CPKLKDOD_01653	Unknown_Gene	Cluster_135029
Operon1043	CPKLKDOD_01654	Unknown_Gene	Cluster_150057
Operon1044	CPKLKDOD_01655	Unknown_Gene	Cluster_126202
Operon1045	CPKLKDOD_01656	Unknown_Gene	Cluster_126202
Operon1046	CPKLKDOD_01657	Unknown_Gene	Cluster_102114
Operon1047	CPKLKDOD_01658	yrdA_2	Cluster_115441
Operon1048	CPKLKDOD_01659	prlC	Cluster_115441
Operon1048	CPKLKDOD_01660	Unknown_Gene	Cluster_115441
Operon1049	CPKLKDOD_01661	Unknown_Gene	Cluster_130721
Operon1050	CPKLKDOD_01662	cynT_1	Cluster_20735
Operon1051	CPKLKDOD_01663	Unknown_Gene	Cluster_62788
Operon1052	CPKLKDOD_01664	Unknown_Gene	Cluster_19331
Operon1053	CPKLKDOD_01665	Unknown_Gene	Cluster_19331
Operon1053	CPKLKDOD_01666	ctaD	Cluster_19331
Operon1053	CPKLKDOD_01667	ctaG	Cluster_19331
Operon1053	CPKLKDOD_01668	ctaE	Cluster_19331
Operon1054	CPKLKDOD_01669	Unknown_Gene	Cluster_152397
Operon1055	CPKLKDOD_01670	Unknown_Gene	Cluster_152397
Operon1055	CPKLKDOD_01671	Unknown_Gene	Cluster_152397
Operon1055	CPKLKDOD_01672	ctaA	Cluster_152397
Operon1055	CPKLKDOD_01673	ctaB	Cluster_152397
Operon1055	CPKLKDOD_01674	Unknown_Gene	Cluster_152397
Operon1056	CPKLKDOD_01675	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1057	CPKLKDOD_01676	rssB_2	Cluster_98744
Operon1058	CPKLKDOD_01677	hxuB	Cluster_122362
Operon1059	CPKLKDOD_01678	pbpC	Cluster_129023
Operon1060	CPKLKDOD_01679	Unknown_Gene	Cluster_129023
Operon1061	CPKLKDOD_01680	yfhM	Cluster_35805
Operon1062	CPKLKDOD_01681	dinF	Cluster_35805
Operon1063	CPKLKDOD_01682	speA	Cluster_82415
Operon1064	CPKLKDOD_01683	yciH	Cluster_32408
Operon1065	CPKLKDOD_01684	yfcD	Cluster_38464
Operon1065	CPKLKDOD_01685	Unknown_Gene	Cluster_38464
Operon1066	CPKLKDOD_01686	cheB_1	Cluster_38464
Operon1067	CPKLKDOD_01687	ctpL	Cluster_50378
Operon1068	CPKLKDOD_01688	dsbD_1	Cluster_48699
Operon1069	CPKLKDOD_01689	aroQ1	Cluster_68560
Operon1070	CPKLKDOD_01690	accB	Cluster_115327
Operon1070	CPKLKDOD_01691	accC	Cluster_115327
Operon1071	CPKLKDOD_01692	acoR_3	Cluster_35393
Operon1072	CPKLKDOD_01693	Unknown_Gene	Cluster_35393
Operon1072	CPKLKDOD_01694	acoA	Cluster_35393
Operon1072	CPKLKDOD_01695	acoB	Cluster_35393
Operon1072	CPKLKDOD_01696	acoC	Cluster_35393
Operon1072	CPKLKDOD_01697	ydjJ	Cluster_35393
Operon1073	CPKLKDOD_01698	Unknown_Gene	Cluster_45245
Operon1073	CPKLKDOD_01699	Unknown_Gene	Cluster_45245
Operon1074	CPKLKDOD_01700	Unknown_Gene	Cluster_139511
Operon1074	CPKLKDOD_01701	ubiX	Cluster_139511
Operon1074	CPKLKDOD_01702	mpl	Cluster_139511
Operon1075	CPKLKDOD_01703	acoR_4	Cluster_41945
Operon1076	CPKLKDOD_01704	adh_2	Cluster_41945
Operon1077	CPKLKDOD_01705	potE	Cluster_47496
Operon1077	CPKLKDOD_01706	eutB	Cluster_47496
Operon1077	CPKLKDOD_01707	eutC	Cluster_47496
Operon1078	CPKLKDOD_01708	Unknown_Gene	Cluster_110547
Operon1079	CPKLKDOD_01709	dedA	Cluster_38947
Operon1079	CPKLKDOD_01710	mtfA	Cluster_38947
Operon1080	CPKLKDOD_01711	ppa	Cluster_121242
Operon1081	CPKLKDOD_01712	prtR	Cluster_65837
Operon1082	CPKLKDOD_01713	btuB_5	Cluster_63711
Operon1083	CPKLKDOD_01714	fecI_5	Cluster_63711
Operon1083	CPKLKDOD_01715	fecR_5	Cluster_63711
Operon1084	CPKLKDOD_01716	Unknown_Gene	Cluster_23673
Operon1085	CPKLKDOD_01717	fpvA_2	Cluster_64225
Operon1086	CPKLKDOD_01718	ompR_3	Cluster_64225
Operon1086	CPKLKDOD_01719	pfeS_1	Cluster_64225
Operon1087	CPKLKDOD_01720	besA	Cluster_129302
Operon1088	CPKLKDOD_01721	Unknown_Gene	Cluster_120446
Operon1089	CPKLKDOD_01722	rtcB	Cluster_29236
Operon1090	CPKLKDOD_01723	ribB	Cluster_29236
Operon1091	CPKLKDOD_01724	xseB	Cluster_95232
Operon1091	CPKLKDOD_01725	ispA	Cluster_95232
Operon1092	CPKLKDOD_01726	dxs	Cluster_69520
Operon1093	CPKLKDOD_01727	btuB_6	Cluster_73457
Operon1094	CPKLKDOD_01728	btuF	Cluster_48167
Operon1094	CPKLKDOD_01729	Unknown_Gene	Cluster_48167
Operon1094	CPKLKDOD_01730	Unknown_Gene	Cluster_48167
Operon1095	CPKLKDOD_01731	Unknown_Gene	Cluster_118441
Operon1095	CPKLKDOD_01732	pgpA	Cluster_118441
Operon1095	CPKLKDOD_01733	thiL	Cluster_118441
Operon1095	CPKLKDOD_01734	nusB	Cluster_118441
Operon1095	CPKLKDOD_01735	ribH	Cluster_118441
Operon1096	CPKLKDOD_01736	ribBA_3	Cluster_112135
Operon1096	CPKLKDOD_01737	ribE	Cluster_112135
Operon1096	CPKLKDOD_01738	ribD	Cluster_112135
Operon1096	CPKLKDOD_01739	nrdR	Cluster_112135
Operon1097	CPKLKDOD_01740	Unknown_Gene	Cluster_112135
Operon1097	CPKLKDOD_01741	Unknown_Gene	Cluster_112135
Operon1097	CPKLKDOD_01742	cnoX	Cluster_112135
Operon1098	CPKLKDOD_01743	Unknown_Gene	Cluster_95725
Operon1099	CPKLKDOD_01744	Unknown_Gene	Cluster_95725
Operon1099	CPKLKDOD_01745	ytrE	Cluster_95725
Operon1099	CPKLKDOD_01746	Unknown_Gene	Cluster_95725
Operon1100	CPKLKDOD_01747	Unknown_Gene	Cluster_143750
Operon1101	CPKLKDOD_01748	ompW	Cluster_107193
Operon1102	CPKLKDOD_01749	Unknown_Gene	Cluster_116265
Operon1103	CPKLKDOD_01750	Unknown_Gene	Cluster_116265
Operon1104	CPKLKDOD_01751	wbgU_1	Cluster_39913
Operon1104	CPKLKDOD_01752	rmlD	Cluster_39913
Operon1105	CPKLKDOD_01753	Unknown_Gene	Cluster_39913
Operon1106	CPKLKDOD_01754	yfcA_1	Cluster_42708
Operon1106	CPKLKDOD_01755	Unknown_Gene	Cluster_42708
Operon1107	CPKLKDOD_01756	Unknown_Gene	Cluster_68696
Operon1108	CPKLKDOD_01757	alsT_2	Cluster_68696
Operon1109	CPKLKDOD_01758	ansA	Cluster_136507
Operon1110	CPKLKDOD_01759	Unknown_Gene	Cluster_101342
Operon1110	CPKLKDOD_01760	selB	Cluster_101342
Operon1110	CPKLKDOD_01761	selA	Cluster_101342
Operon1111	CPKLKDOD_01762	fdhE	Cluster_28440
Operon1111	CPKLKDOD_01763	fdoI	Cluster_28440
Operon1111	CPKLKDOD_01764	fdoH	Cluster_28440
Operon1111	CPKLKDOD_01765	fdoG_1	Cluster_28440
Operon1111	CPKLKDOD_01766	fdoG_2	Cluster_28440
Operon1112	CPKLKDOD_01767	Unknown_Gene	Cluster_28440
Operon1113	CPKLKDOD_01768	ssb_1	Cluster_96544
Operon1113	CPKLKDOD_01769	yajR	Cluster_96544
Operon1114	CPKLKDOD_01770	uvrA_2	Cluster_96544
Operon1115	CPKLKDOD_01771	bfr_2	Cluster_75817
Operon1116	CPKLKDOD_01772	cat	Cluster_71891
Operon1117	CPKLKDOD_01773	rplQ	Cluster_159047
Operon1117	CPKLKDOD_01774	rpoA	Cluster_159047
Operon1117	CPKLKDOD_01775	rpsD	Cluster_159047
Operon1117	CPKLKDOD_01776	rpsK	Cluster_159047
Operon1117	CPKLKDOD_01777	rpsM	Cluster_159047
Operon1118	CPKLKDOD_01778	rpmJ	Cluster_55989
Operon1118	CPKLKDOD_01779	secY	Cluster_55989
Operon1118	CPKLKDOD_01780	rplO	Cluster_55989
Operon1118	CPKLKDOD_01781	rpmD	Cluster_55989
Operon1118	CPKLKDOD_01782	rpsE	Cluster_55989
Operon1118	CPKLKDOD_01783	rplR	Cluster_55989
Operon1118	CPKLKDOD_01784	rplF	Cluster_55989
Operon1118	CPKLKDOD_01785	rpsH	Cluster_55989
Operon1119	CPKLKDOD_01786	rpsN	Cluster_130094
Operon1119	CPKLKDOD_01787	rplE	Cluster_130094
Operon1119	CPKLKDOD_01788	rplX	Cluster_130094
Operon1119	CPKLKDOD_01789	rplN	Cluster_130094
Operon1119	CPKLKDOD_01790	rpsQ	Cluster_130094
Operon1119	CPKLKDOD_01791	rpmC	Cluster_130094
Operon1119	CPKLKDOD_01792	rplP	Cluster_130094
Operon1119	CPKLKDOD_01793	rpsC	Cluster_130094
Operon1119	CPKLKDOD_01794	rplV	Cluster_130094
Operon1119	CPKLKDOD_01795	rpsS	Cluster_130094
Operon1119	CPKLKDOD_01796	rplB	Cluster_130094
Operon1119	CPKLKDOD_01797	rplW	Cluster_130094
Operon1119	CPKLKDOD_01798	rplD	Cluster_130094
Operon1119	CPKLKDOD_01799	rplC	Cluster_130094
Operon1120	CPKLKDOD_01800	rpsJ	Cluster_87585
Operon1121	CPKLKDOD_01801	tufA_1	Cluster_112385
Operon1121	CPKLKDOD_01802	fusA	Cluster_112385
Operon1121	CPKLKDOD_01803	rpsG	Cluster_112385
Operon1122	CPKLKDOD_01804	rpsL	Cluster_55151
Operon1123	CPKLKDOD_01805	rpoC	Cluster_142668
Operon1124	CPKLKDOD_01806	rpoB	Cluster_52288
Operon1125	CPKLKDOD_01807	rplL	Cluster_131227
Operon1126	CPKLKDOD_01808	rplJ	Cluster_59633
Operon1127	CPKLKDOD_01809	rplA	Cluster_103434
Operon1127	CPKLKDOD_01810	rplK	Cluster_103434
Operon1128	CPKLKDOD_01811	nusG	Cluster_143496
Operon1129	CPKLKDOD_01812	secE	Cluster_158181
Operon1129	CPKLKDOD_01813	Unknown_Gene	Cluster_158181
Operon1130	CPKLKDOD_01814	tufA_2	Cluster_130792
Operon1131	CPKLKDOD_01815	Unknown_Gene	Cluster_81271
Operon1131	CPKLKDOD_01816	Unknown_Gene	Cluster_81271
Operon1131	CPKLKDOD_01817	Unknown_Gene	Cluster_81271
Operon1132	CPKLKDOD_01818	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1132	CPKLKDOD_01819	coaX	NO_CLUSTER_ASSOCIATION_FOUND
Operon1132	CPKLKDOD_01820	birA	NO_CLUSTER_ASSOCIATION_FOUND
Operon1133	CPKLKDOD_01821	Unknown_Gene	Cluster_20895
Operon1133	CPKLKDOD_01822	Unknown_Gene	Cluster_20895
Operon1133	CPKLKDOD_01823	Unknown_Gene	Cluster_20895
Operon1133	CPKLKDOD_01824	nuoE_2	Cluster_20895
Operon1134	CPKLKDOD_01825	sfnG	Cluster_90714
Operon1135	CPKLKDOD_01826	Unknown_Gene	Cluster_96056
Operon1136	CPKLKDOD_01827	fpvA_3	Cluster_96056
Operon1137	CPKLKDOD_01828	Unknown_Gene	Cluster_115564
Operon1138	CPKLKDOD_01829	Unknown_Gene	Cluster_110521
Operon1139	CPKLKDOD_01830	Unknown_Gene	Cluster_29887
Operon1140	CPKLKDOD_01831	spuC_1	Cluster_138197
Operon1141	CPKLKDOD_01832	puuD_1	Cluster_134374
Operon1142	CPKLKDOD_01833	puuA_2	Cluster_68173
Operon1142	CPKLKDOD_01834	Unknown_Gene	Cluster_68173
Operon1143	CPKLKDOD_01835	gcvA_5	Cluster_68173
Operon1144	CPKLKDOD_01836	fabG_6	Cluster_119001
Operon1145	CPKLKDOD_01837	Unknown_Gene	Cluster_28147
Operon1146	CPKLKDOD_01838	Unknown_Gene	Cluster_61709
Operon1147	CPKLKDOD_01839	Unknown_Gene	Cluster_63278
Operon1147	CPKLKDOD_01840	Unknown_Gene	Cluster_63278
Operon1148	CPKLKDOD_01841	Unknown_Gene	Cluster_127398
Operon1149	CPKLKDOD_01842	Unknown_Gene	Cluster_32697
Operon1150	CPKLKDOD_01843	pucI_1	Cluster_32697
Operon1151	CPKLKDOD_01844	Unknown_Gene	Cluster_133767
Operon1152	CPKLKDOD_01845	pupB_2	Cluster_128142
Operon1153	CPKLKDOD_01846	fecR_6	Cluster_42977
Operon1154	CPKLKDOD_01847	fecI_6	Cluster_36708
Operon1155	CPKLKDOD_01848	fpvA_4	Cluster_85543
Operon1156	CPKLKDOD_01849	Unknown_Gene	Cluster_138377
