GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	1963
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	BCBAIBPD_00001	maeB	Cluster_69611
Operon747	BCBAIBPD_01073	Unknown_Gene	Cluster_81762
Operon748	BCBAIBPD_01074	trkI	Cluster_74353
Operon749	BCBAIBPD_01075	ydjA	Cluster_74353
Operon750	BCBAIBPD_01076	sasA_4	Cluster_134410
Operon751	BCBAIBPD_01077	Unknown_Gene	Cluster_92488
Operon752	BCBAIBPD_01078	cpxR	Cluster_104956
Operon753	BCBAIBPD_01079	yciI	NO_CLUSTER_ASSOCIATION_FOUND
Operon753	BCBAIBPD_01080	yciB	NO_CLUSTER_ASSOCIATION_FOUND
Operon754	BCBAIBPD_01081	yciV	NO_CLUSTER_ASSOCIATION_FOUND
Operon754	BCBAIBPD_01082	yciO	NO_CLUSTER_ASSOCIATION_FOUND
Operon754	BCBAIBPD_01083	scpA	NO_CLUSTER_ASSOCIATION_FOUND
Operon754	BCBAIBPD_01084	scpB	NO_CLUSTER_ASSOCIATION_FOUND
Operon755	BCBAIBPD_01085	Unknown_Gene	Cluster_62474
Operon756	BCBAIBPD_01086	aroP_1	Cluster_2276
Operon757	BCBAIBPD_01087	gcvA_5	Cluster_83889
Operon758	BCBAIBPD_01088	Unknown_Gene	Cluster_83889
Operon759	BCBAIBPD_01089	Unknown_Gene	Cluster_32558
Operon760	BCBAIBPD_01090	Unknown_Gene	Cluster_160951
Operon760	BCBAIBPD_01091	phhA	Cluster_160951
Operon761	BCBAIBPD_01092	tyrR_1	Cluster_43388
Operon762	BCBAIBPD_01093	Unknown_Gene	Cluster_20378
Operon763	BCBAIBPD_01094	acs	Cluster_20378
Operon764	BCBAIBPD_01095	argT	Cluster_8810
Operon765	BCBAIBPD_01096	hisQ	Cluster_125349
Operon765	BCBAIBPD_01097	occM_1	Cluster_125349
Operon765	BCBAIBPD_01098	hisP	Cluster_125349
Operon766	BCBAIBPD_01099	cdhR_2	Cluster_118330
Operon767	BCBAIBPD_01100	aruC_1	Cluster_46621
Operon768	BCBAIBPD_01101	astA	Cluster_96455
Operon769	BCBAIBPD_01102	aruG	Cluster_138934
Operon769	BCBAIBPD_01103	astD	Cluster_138934
Operon769	BCBAIBPD_01104	astB	Cluster_138934
Operon769	BCBAIBPD_01105	Unknown_Gene	Cluster_138934
Operon769	BCBAIBPD_01106	astE	Cluster_138934
Operon770	BCBAIBPD_01107	Unknown_Gene	Cluster_96460
Operon771	BCBAIBPD_01108	Unknown_Gene	Cluster_25516
Operon772	BCBAIBPD_01109	alaS	Cluster_25516
Operon773	BCBAIBPD_01110	Unknown_Gene	Cluster_104742
Operon774	BCBAIBPD_01111	csrA2	Cluster_74701
Operon775	BCBAIBPD_01112	Unknown_Gene	Cluster_136644
Operon776	BCBAIBPD_01113	Unknown_Gene	Cluster_112311
Operon777	BCBAIBPD_01114	Unknown_Gene	Cluster_138187
Operon778	BCBAIBPD_01115	Unknown_Gene	Cluster_19400
Operon779	BCBAIBPD_01116	Unknown_Gene	Cluster_24050
Operon780	BCBAIBPD_01117	phnN	Cluster_24050
Operon781	BCBAIBPD_01118	Unknown_Gene	Cluster_109853
Operon782	BCBAIBPD_01119	Unknown_Gene	Cluster_59113
Operon783	BCBAIBPD_01120	lpdV	Cluster_60453
Operon783	BCBAIBPD_01121	bkdB	Cluster_60453
Operon783	BCBAIBPD_01122	bkdA2	Cluster_60453
Operon783	BCBAIBPD_01123	bkdA1	Cluster_60453
Operon784	BCBAIBPD_01124	lrp_2	Cluster_60453
Operon785	BCBAIBPD_01125	ycaD_2	Cluster_75690
Operon786	BCBAIBPD_01126	ycgR	Cluster_131539
Operon787	BCBAIBPD_01127	Unknown_Gene	Cluster_154668
Operon787	BCBAIBPD_01128	Unknown_Gene	Cluster_154668
Operon788	BCBAIBPD_01129	Unknown_Gene	Cluster_129417
Operon789	BCBAIBPD_01130	cheV_2	Cluster_129417
Operon790	BCBAIBPD_01131	cheR2	Cluster_153948
Operon791	BCBAIBPD_01132	flgB	Cluster_36813
Operon791	BCBAIBPD_01133	flgC	Cluster_36813
Operon791	BCBAIBPD_01134	flgD	Cluster_36813
Operon791	BCBAIBPD_01135	flgE	Cluster_36813
Operon791	BCBAIBPD_01136	Unknown_Gene	Cluster_36813
Operon792	BCBAIBPD_01137	flgF	Cluster_83891
Operon792	BCBAIBPD_01138	flgG	Cluster_83891
Operon792	BCBAIBPD_01139	flgH	Cluster_83891
Operon792	BCBAIBPD_01140	flgI	Cluster_83891
Operon792	BCBAIBPD_01141	Unknown_Gene	Cluster_83891
Operon792	BCBAIBPD_01142	Unknown_Gene	Cluster_83891
Operon792	BCBAIBPD_01143	Unknown_Gene	Cluster_83891
Operon793	BCBAIBPD_01144	fabH	Cluster_22191
Operon794	BCBAIBPD_01145	fliC	Cluster_10608
Operon795	BCBAIBPD_01146	Unknown_Gene	Cluster_133695
Operon796	BCBAIBPD_01147	fliD	Cluster_128778
Operon797	BCBAIBPD_01148	fliS	Cluster_97187
Operon797	BCBAIBPD_01149	Unknown_Gene	Cluster_97187
Operon798	BCBAIBPD_01150	norR_2	Cluster_75306
Operon799	BCBAIBPD_01151	atoS	Cluster_89232
Operon799	BCBAIBPD_01152	atoC_1	Cluster_89232
Operon800	BCBAIBPD_01153	fliE	Cluster_49895
Operon800	BCBAIBPD_01154	Unknown_Gene	Cluster_49895
Operon800	BCBAIBPD_01155	fliG	Cluster_49895
Operon801	BCBAIBPD_01156	Unknown_Gene	Cluster_106162
Operon801	BCBAIBPD_01157	fliI	Cluster_106162
Operon801	BCBAIBPD_01158	fliJ	Cluster_106162
Operon802	BCBAIBPD_01159	Unknown_Gene	Cluster_31660
Operon802	BCBAIBPD_01160	cheB_2	Cluster_31660
Operon802	BCBAIBPD_01161	Unknown_Gene	Cluster_31660
Operon803	BCBAIBPD_01162	Unknown_Gene	Cluster_124449
Operon804	BCBAIBPD_01163	Unknown_Gene	Cluster_78837
Operon804	BCBAIBPD_01164	fliM	Cluster_78837
Operon804	BCBAIBPD_01165	fliN	Cluster_78837
Operon804	BCBAIBPD_01166	Unknown_Gene	Cluster_78837
Operon804	BCBAIBPD_01167	fliP	Cluster_78837
Operon804	BCBAIBPD_01168	fliQ	Cluster_78837
Operon804	BCBAIBPD_01169	fliR	Cluster_78837
Operon804	BCBAIBPD_01170	flhB_1	Cluster_78837
Operon805	BCBAIBPD_01171	flhA	Cluster_81002
Operon805	BCBAIBPD_01172	srp54	Cluster_81002
Operon806	BCBAIBPD_01173	ylxH	Cluster_121821
Operon806	BCBAIBPD_01174	fliA	Cluster_121821
Operon807	BCBAIBPD_01175	cheY	Cluster_113432
Operon807	BCBAIBPD_01176	cheZ	Cluster_113432
Operon807	BCBAIBPD_01177	Unknown_Gene	Cluster_113432
Operon807	BCBAIBPD_01178	cheB1	Cluster_113432
Operon807	BCBAIBPD_01179	pomA	Cluster_113432
Operon807	BCBAIBPD_01180	motB_1	Cluster_113432
Operon808	BCBAIBPD_01181	soj_1	Cluster_91831
Operon808	BCBAIBPD_01182	Unknown_Gene	Cluster_91831
Operon808	BCBAIBPD_01183	cheW	Cluster_91831
Operon808	BCBAIBPD_01184	Unknown_Gene	Cluster_91831
Operon809	BCBAIBPD_01185	Unknown_Gene	Cluster_77381
Operon809	BCBAIBPD_01186	flhB_2	Cluster_77381
Operon809	BCBAIBPD_01187	Unknown_Gene	Cluster_77381
Operon810	BCBAIBPD_01188	ccmA	Cluster_77381
Operon810	BCBAIBPD_01189	ccmB	Cluster_77381
Operon810	BCBAIBPD_01190	ccmC	Cluster_77381
Operon810	BCBAIBPD_01191	Unknown_Gene	Cluster_77381
Operon810	BCBAIBPD_01192	ccmE	Cluster_77381
Operon810	BCBAIBPD_01193	ccmF	Cluster_77381
Operon810	BCBAIBPD_01194	dsbE	Cluster_77381
Operon810	BCBAIBPD_01195	ccmH	Cluster_77381
Operon810	BCBAIBPD_01196	Unknown_Gene	Cluster_77381
Operon810	BCBAIBPD_01197	Unknown_Gene	Cluster_77381
Operon811	BCBAIBPD_01198	Unknown_Gene	Cluster_2639
Operon812	BCBAIBPD_01199	phzF	Cluster_153688
Operon813	BCBAIBPD_01200	fbp_1	Cluster_113911
Operon814	BCBAIBPD_01201	Unknown_Gene	Cluster_70130
Operon814	BCBAIBPD_01202	dadA_1	Cluster_70130
Operon815	BCBAIBPD_01203	hyuA	Cluster_11527
Operon815	BCBAIBPD_01204	pucI_2	Cluster_11527
Operon816	BCBAIBPD_01205	rlmL_1	Cluster_11527
Operon817	BCBAIBPD_01206	sbp_2	Cluster_57186
Operon818	BCBAIBPD_01207	Unknown_Gene	Cluster_158316
Operon818	BCBAIBPD_01208	Unknown_Gene	Cluster_158316
Operon819	BCBAIBPD_01209	ttuE	Cluster_69620
Operon819	BCBAIBPD_01210	ttuD	Cluster_69620
Operon820	BCBAIBPD_01211	glxR	Cluster_158999
Operon820	BCBAIBPD_01212	hyi	Cluster_158999
Operon820	BCBAIBPD_01213	gcl	Cluster_158999
Operon821	BCBAIBPD_01214	Unknown_Gene	Cluster_44523
Operon822	BCBAIBPD_01215	rutR_2	Cluster_38853
Operon823	BCBAIBPD_01216	poxB	Cluster_35744
Operon824	BCBAIBPD_01217	yedI	Cluster_35744
Operon825	BCBAIBPD_01218	Unknown_Gene	Cluster_21674
Operon826	BCBAIBPD_01219	Unknown_Gene	Cluster_93828
Operon827	BCBAIBPD_01220	uacT_2	Cluster_78451
Operon828	BCBAIBPD_01221	Unknown_Gene	Cluster_146970
Operon829	BCBAIBPD_01222	allA	Cluster_154674
Operon829	BCBAIBPD_01223	uao	Cluster_154674
Operon829	BCBAIBPD_01224	Unknown_Gene	Cluster_154674
Operon830	BCBAIBPD_01225	pucM	Cluster_21724
Operon831	BCBAIBPD_01226	Unknown_Gene	Cluster_68967
Operon832	BCBAIBPD_01227	adeP	Cluster_32214
Operon833	BCBAIBPD_01228	nanR_1	Cluster_32214
Operon834	BCBAIBPD_01229	guaD_1	Cluster_129879
Operon834	BCBAIBPD_01230	Unknown_Gene	Cluster_129879
Operon835	BCBAIBPD_01231	pucD	Cluster_38683
Operon835	BCBAIBPD_01232	Unknown_Gene	Cluster_38683
Operon836	BCBAIBPD_01233	Unknown_Gene	Cluster_38683
Operon836	BCBAIBPD_01234	smc	Cluster_38683
Operon837	BCBAIBPD_01235	zipA	Cluster_58065
Operon838	BCBAIBPD_01236	ligA	Cluster_51230
Operon839	BCBAIBPD_01237	cueR_1	Cluster_130839
Operon840	BCBAIBPD_01238	Unknown_Gene	Cluster_130839
Operon841	BCBAIBPD_01239	Unknown_Gene	Cluster_69452
Operon842	BCBAIBPD_01240	dnaX	Cluster_6720
Operon843	BCBAIBPD_01241	ybaB	Cluster_141997
Operon844	BCBAIBPD_01242	recR	Cluster_99450
Operon845	BCBAIBPD_01243	apt	Cluster_150973
Operon846	BCBAIBPD_01244	anr	Cluster_69451
Operon847	BCBAIBPD_01245	hemN	Cluster_69619
Operon848	BCBAIBPD_01246	Unknown_Gene	Cluster_29687
Operon848	BCBAIBPD_01247	Unknown_Gene	Cluster_29687
Operon848	BCBAIBPD_01248	copA_2	Cluster_29687
Operon848	BCBAIBPD_01249	Unknown_Gene	Cluster_29687
Operon848	BCBAIBPD_01250	Unknown_Gene	Cluster_29687
Operon849	BCBAIBPD_01251	ccoP2_1	Cluster_22065
Operon849	BCBAIBPD_01252	Unknown_Gene	Cluster_22065
Operon849	BCBAIBPD_01253	Unknown_Gene	Cluster_22065
Operon849	BCBAIBPD_01254	ccoN1_1	Cluster_22065
Operon850	BCBAIBPD_01255	ccoP2_2	Cluster_154199
Operon850	BCBAIBPD_01256	Unknown_Gene	Cluster_154199
Operon850	BCBAIBPD_01257	Unknown_Gene	Cluster_154199
Operon850	BCBAIBPD_01258	ccoN1_2	Cluster_154199
Operon851	BCBAIBPD_01259	Unknown_Gene	Cluster_154199
Operon852	BCBAIBPD_01260	ppnP	Cluster_123922
Operon853	BCBAIBPD_01261	dinG_2	Cluster_72416
Operon854	BCBAIBPD_01262	Unknown_Gene	Cluster_72416
Operon855	BCBAIBPD_01263	Unknown_Gene	Cluster_126759
Operon856	BCBAIBPD_01264	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon857	BCBAIBPD_01265	Unknown_Gene	Cluster_55024
Operon858	BCBAIBPD_01266	Unknown_Gene	Cluster_55024
Operon859	BCBAIBPD_01267	Unknown_Gene	Cluster_144535
Operon860	BCBAIBPD_01268	fabR	Cluster_104051
Operon861	BCBAIBPD_01269	Unknown_Gene	Cluster_25864
Operon862	BCBAIBPD_01270	Unknown_Gene	Cluster_25864
Operon863	BCBAIBPD_01271	Unknown_Gene	Cluster_154670
Operon863	BCBAIBPD_01272	osmE	Cluster_154670
Operon864	BCBAIBPD_01273	psiF	Cluster_62738
Operon865	BCBAIBPD_01274	Unknown_Gene	Cluster_137497
Operon866	BCBAIBPD_01275	dnaK_1	Cluster_75864
Operon867	BCBAIBPD_01276	cbpA	Cluster_75864
Operon867	BCBAIBPD_01277	cbpM	Cluster_75864
Operon868	BCBAIBPD_01278	Unknown_Gene	Cluster_167991
Operon868	BCBAIBPD_01279	livF_2	Cluster_167991
Operon869	BCBAIBPD_01280	lptB_2	Cluster_127183
Operon869	BCBAIBPD_01281	Unknown_Gene	Cluster_127183
Operon869	BCBAIBPD_01282	Unknown_Gene	Cluster_127183
Operon870	BCBAIBPD_01283	amiC_1	Cluster_15326
Operon871	BCBAIBPD_01284	Unknown_Gene	Cluster_15326
Operon872	BCBAIBPD_01285	cycA_1	Cluster_45444
Operon873	BCBAIBPD_01286	Unknown_Gene	Cluster_148582
Operon874	BCBAIBPD_01287	btuB_3	Cluster_144534
Operon875	BCBAIBPD_01288	Unknown_Gene	Cluster_90649
Operon875	BCBAIBPD_01289	Unknown_Gene	Cluster_90649
Operon875	BCBAIBPD_01290	Unknown_Gene	Cluster_90649
Operon876	BCBAIBPD_01291	qmcA	Cluster_92308
Operon876	BCBAIBPD_01292	Unknown_Gene	Cluster_92308
Operon877	BCBAIBPD_01293	cobK	Cluster_79523
Operon877	BCBAIBPD_01294	cbiD	Cluster_79523
Operon877	BCBAIBPD_01295	cobL	Cluster_79523
Operon878	BCBAIBPD_01296	sir_1	Cluster_79523
Operon878	BCBAIBPD_01297	cobH	Cluster_79523
Operon878	BCBAIBPD_01298	cobI	Cluster_79523
Operon878	BCBAIBPD_01299	Unknown_Gene	Cluster_79523
Operon879	BCBAIBPD_01300	Unknown_Gene	Cluster_106158
Operon880	BCBAIBPD_01301	Unknown_Gene	Cluster_150212
Operon880	BCBAIBPD_01302	Unknown_Gene	Cluster_150212
Operon881	BCBAIBPD_01303	rcsC_2	Cluster_84053
Operon882	BCBAIBPD_01304	purD	Cluster_117644
Operon883	BCBAIBPD_01305	purH	Cluster_130118
Operon884	BCBAIBPD_01306	fis	Cluster_56929
Operon884	BCBAIBPD_01307	dusB	Cluster_56929
Operon885	BCBAIBPD_01308	Unknown_Gene	Cluster_159695
Operon885	BCBAIBPD_01309	prmA	Cluster_159695
Operon886	BCBAIBPD_01310	Unknown_Gene	Cluster_95980
Operon887	BCBAIBPD_01311	cidA	Cluster_95980
Operon887	BCBAIBPD_01312	yohK	Cluster_95980
Operon887	BCBAIBPD_01313	Unknown_Gene	Cluster_95980
Operon888	BCBAIBPD_01314	Unknown_Gene	Cluster_44306
Operon888	BCBAIBPD_01315	Unknown_Gene	Cluster_44306
Operon889	BCBAIBPD_01316	proA_1	Cluster_44306
Operon889	BCBAIBPD_01317	nadD	Cluster_44306
Operon889	BCBAIBPD_01318	rsfS	Cluster_44306
Operon889	BCBAIBPD_01319	rlmH	Cluster_44306
Operon889	BCBAIBPD_01320	mrdA_1	Cluster_44306
Operon889	BCBAIBPD_01321	mrdB	Cluster_44306
Operon889	BCBAIBPD_01322	mltB	Cluster_44306
Operon889	BCBAIBPD_01323	rlpA_1	Cluster_44306
Operon890	BCBAIBPD_01324	dacC	Cluster_38931
Operon891	BCBAIBPD_01325	Unknown_Gene	Cluster_135669
Operon891	BCBAIBPD_01326	lipB	Cluster_135669
Operon891	BCBAIBPD_01327	lipA	Cluster_135669
Operon892	BCBAIBPD_01328	ykfA	Cluster_111073
Operon893	BCBAIBPD_01329	Unknown_Gene	Cluster_146110
Operon894	BCBAIBPD_01330	Unknown_Gene	Cluster_78282
Operon895	BCBAIBPD_01331	holA	Cluster_161625
Operon895	BCBAIBPD_01332	lptE	Cluster_161625
Operon896	BCBAIBPD_01333	leuS	Cluster_50964
Operon897	BCBAIBPD_01334	Unknown_Gene	Cluster_50964
Operon898	BCBAIBPD_01335	Unknown_Gene	Cluster_106829
Operon899	BCBAIBPD_01336	lnt	Cluster_105697
Operon899	BCBAIBPD_01337	corC	Cluster_105697
Operon899	BCBAIBPD_01338	ybeY	Cluster_105697
Operon899	BCBAIBPD_01339	ybeZ	Cluster_105697
Operon900	BCBAIBPD_01340	Unknown_Gene	Cluster_42176
Operon901	BCBAIBPD_01341	hemL	Cluster_40314
Operon901	BCBAIBPD_01342	thiE_2	Cluster_40314
Operon901	BCBAIBPD_01343	thiD	Cluster_40314
Operon902	BCBAIBPD_01344	rcsC_3	Cluster_40314
Operon903	BCBAIBPD_01345	Unknown_Gene	Cluster_352
Operon904	BCBAIBPD_01346	Unknown_Gene	Cluster_32964
Operon905	BCBAIBPD_01347	aidB	Cluster_32964
Operon906	BCBAIBPD_01348	amn	Cluster_108459
Operon906	BCBAIBPD_01349	rluE	Cluster_108459
Operon907	BCBAIBPD_01350	Unknown_Gene	Cluster_150971
Operon908	BCBAIBPD_01351	lrp_3	Cluster_88046
Operon909	BCBAIBPD_01352	Unknown_Gene	Cluster_121602
Operon910	BCBAIBPD_01353	Unknown_Gene	Cluster_121602
Operon911	BCBAIBPD_01354	fieF	Cluster_103564
Operon911	BCBAIBPD_01355	Unknown_Gene	Cluster_103564
Operon912	BCBAIBPD_01356	hrpB	Cluster_103564
Operon913	BCBAIBPD_01357	shlB_1	Cluster_56410
Operon913	BCBAIBPD_01358	Unknown_Gene	Cluster_56410
Operon913	BCBAIBPD_01359	Unknown_Gene	Cluster_56410
Operon914	BCBAIBPD_01360	Unknown_Gene	Cluster_165419
Operon914	BCBAIBPD_01361	Unknown_Gene	Cluster_165419
Operon915	BCBAIBPD_01362	Unknown_Gene	Cluster_74179
Operon916	BCBAIBPD_01363	Unknown_Gene	Cluster_74179
Operon917	BCBAIBPD_01364	Unknown_Gene	Cluster_137249
Operon917	BCBAIBPD_01365	polC	Cluster_137249
Operon917	BCBAIBPD_01366	yedA	Cluster_137249
Operon918	BCBAIBPD_01367	rhlE_2	Cluster_130117
Operon919	BCBAIBPD_01368	baiN	Cluster_84577
Operon920	BCBAIBPD_01369	Unknown_Gene	Cluster_109640
Operon921	BCBAIBPD_01370	ais_2	Cluster_67681
Operon922	BCBAIBPD_01371	Unknown_Gene	Cluster_67681
Operon923	BCBAIBPD_01372	tesB_1	Cluster_88804
Operon923	BCBAIBPD_01373	gph_1	Cluster_88804
Operon923	BCBAIBPD_01374	adh_1	Cluster_88804
Operon924	BCBAIBPD_01375	Unknown_Gene	Cluster_96695
Operon924	BCBAIBPD_01376	hmuU_2	Cluster_96695
Operon924	BCBAIBPD_01377	fecE_1	Cluster_96695
Operon925	BCBAIBPD_01378	bauD	Cluster_24574
Operon926	BCBAIBPD_01379	Unknown_Gene	Cluster_41312
Operon927	BCBAIBPD_01380	Unknown_Gene	Cluster_31309
Operon928	BCBAIBPD_01381	rsbRA	Cluster_31309
Operon928	BCBAIBPD_01382	rsbS	Cluster_31309
Operon928	BCBAIBPD_01383	rsbT	Cluster_31309
Operon928	BCBAIBPD_01384	Unknown_Gene	Cluster_31309
Operon928	BCBAIBPD_01385	luxQ_1	Cluster_31309
Operon928	BCBAIBPD_01386	rcsC_4	Cluster_31309
Operon929	BCBAIBPD_01387	fhuA_2	Cluster_102131
Operon930	BCBAIBPD_01388	gltC_1	Cluster_73319
Operon931	BCBAIBPD_01389	meh	Cluster_73319
Operon931	BCBAIBPD_01390	Unknown_Gene	Cluster_73319
Operon931	BCBAIBPD_01391	Unknown_Gene	Cluster_73319
Operon931	BCBAIBPD_01392	uctC_2	Cluster_73319
Operon931	BCBAIBPD_01393	citE	Cluster_73319
Operon932	BCBAIBPD_01394	dctP	Cluster_80079
Operon933	BCBAIBPD_01395	dctQ	Cluster_144264
Operon933	BCBAIBPD_01396	dctM	Cluster_144264
Operon934	BCBAIBPD_01397	argH_2	Cluster_83466
Operon935	BCBAIBPD_01398	Unknown_Gene	Cluster_26399
Operon935	BCBAIBPD_01399	Unknown_Gene	Cluster_26399
Operon936	BCBAIBPD_01400	Unknown_Gene	Cluster_10548
Operon937	BCBAIBPD_01401	Unknown_Gene	Cluster_126569
Operon938	BCBAIBPD_01402	Unknown_Gene	Cluster_993
Operon939	BCBAIBPD_01403	Unknown_Gene	Cluster_993
Operon940	BCBAIBPD_01404	Unknown_Gene	Cluster_75157
Operon940	BCBAIBPD_01405	Unknown_Gene	Cluster_75157
Operon940	BCBAIBPD_01406	Unknown_Gene	Cluster_75157
Operon941	BCBAIBPD_01407	Unknown_Gene	Cluster_73692
Operon941	BCBAIBPD_01408	Unknown_Gene	Cluster_73692
Operon942	BCBAIBPD_01409	Unknown_Gene	Cluster_115366
Operon943	BCBAIBPD_01410	Unknown_Gene	Cluster_105806
Operon944	BCBAIBPD_01411	Unknown_Gene	Cluster_470
Operon945	BCBAIBPD_01412	intA_1	Cluster_4654
Operon946	BCBAIBPD_01413	ssrA	NO_CLUSTER_ASSOCIATION_FOUND
Operon947	BCBAIBPD_01414	Unknown_Gene	Cluster_48087
Operon948	BCBAIBPD_01415	Unknown_Gene	Cluster_148578
Operon949	BCBAIBPD_01416	Unknown_Gene	Cluster_164149
Operon949	BCBAIBPD_01417	hcr_1	Cluster_164149
Operon949	BCBAIBPD_01418	cmlI	Cluster_164149
Operon950	BCBAIBPD_01419	Unknown_Gene	Cluster_41411
Operon951	BCBAIBPD_01420	glyA_1	Cluster_41411
Operon952	BCBAIBPD_01421	gabR_2	Cluster_95241
Operon953	BCBAIBPD_01422	serC_2	Cluster_95241
Operon954	BCBAIBPD_01423	ydcO_1	Cluster_103560
Operon954	BCBAIBPD_01424	Unknown_Gene	Cluster_103560
Operon954	BCBAIBPD_01425	argD_2	Cluster_103560
Operon954	BCBAIBPD_01426	glyA_2	Cluster_103560
Operon955	BCBAIBPD_01427	Unknown_Gene	Cluster_135168
Operon956	BCBAIBPD_01428	lldD	Cluster_143655
Operon957	BCBAIBPD_01429	glcA	Cluster_42175
Operon958	BCBAIBPD_01430	pdhR	Cluster_42175
Operon959	BCBAIBPD_01431	smpB	Cluster_76262
Operon960	BCBAIBPD_01432	ratA	Cluster_76262
Operon961	BCBAIBPD_01433	bamE	Cluster_118568
Operon962	BCBAIBPD_01434	fur	Cluster_118568
Operon963	BCBAIBPD_01435	recN	Cluster_62473
Operon964	BCBAIBPD_01436	grpE	Cluster_62473
Operon965	BCBAIBPD_01437	dnaK_2	Cluster_115597
Operon966	BCBAIBPD_01438	dnaJ	Cluster_61740
Operon966	BCBAIBPD_01439	dapB	Cluster_61740
Operon967	BCBAIBPD_01440	carA	Cluster_37103
Operon968	BCBAIBPD_01441	carB	Cluster_113305
Operon968	BCBAIBPD_01442	greA	Cluster_113305
Operon968	BCBAIBPD_01443	Unknown_Gene	Cluster_113305
Operon969	BCBAIBPD_01444	yhbY	Cluster_115448
Operon970	BCBAIBPD_01445	rlmE	Cluster_115448
Operon971	BCBAIBPD_01446	ftsH_2	Cluster_60789
Operon971	BCBAIBPD_01447	folP	Cluster_60789
Operon971	BCBAIBPD_01448	glmM	Cluster_60789
Operon972	BCBAIBPD_01449	tpiA	Cluster_141178
Operon972	BCBAIBPD_01450	secG	Cluster_141178
Operon972	BCBAIBPD_01451	Unknown_Gene	Cluster_141178
Operon973	BCBAIBPD_01452	Unknown_Gene	Cluster_116272
Operon974	BCBAIBPD_01453	rimP	Cluster_132804
Operon975	BCBAIBPD_01454	nusA	Cluster_143575
Operon975	BCBAIBPD_01455	infB	Cluster_143575
Operon976	BCBAIBPD_01456	rbfA	Cluster_106867
Operon976	BCBAIBPD_01457	truB	Cluster_106867
Operon977	BCBAIBPD_01458	rpsO	Cluster_83462
Operon978	BCBAIBPD_01459	pnp	Cluster_43753
Operon979	BCBAIBPD_01460	Unknown_Gene	Cluster_33384
Operon980	BCBAIBPD_01461	Unknown_Gene	Cluster_132252
Operon981	BCBAIBPD_01462	Unknown_Gene	Cluster_160461
Operon981	BCBAIBPD_01463	acsA_2	Cluster_160461
Operon982	BCBAIBPD_01464	pgi	Cluster_87640
Operon983	BCBAIBPD_01465	panC	Cluster_43217
Operon983	BCBAIBPD_01466	panB	Cluster_43217
Operon984	BCBAIBPD_01467	folK	Cluster_3153
Operon984	BCBAIBPD_01468	pcnB	Cluster_3153
Operon985	BCBAIBPD_01469	zraR	Cluster_86236
Operon985	BCBAIBPD_01470	sasA_5	Cluster_86236
Operon985	BCBAIBPD_01471	Unknown_Gene	Cluster_86236
Operon986	BCBAIBPD_01472	gluQ	Cluster_143656
Operon987	BCBAIBPD_01473	dksA_1	Cluster_55816
Operon988	BCBAIBPD_01474	aspC	Cluster_55816
Operon988	BCBAIBPD_01475	sfsA	Cluster_55816
Operon989	BCBAIBPD_01476	Unknown_Gene	Cluster_82869
Operon990	BCBAIBPD_01477	hmuT	Cluster_82869
Operon990	BCBAIBPD_01478	hmuU_3	Cluster_82869
Operon990	BCBAIBPD_01479	hmuV	Cluster_82869
Operon991	BCBAIBPD_01480	Unknown_Gene	Cluster_91067
Operon992	BCBAIBPD_01481	Unknown_Gene	Cluster_104901
Operon993	BCBAIBPD_01482	mrcB	Cluster_104901
Operon993	BCBAIBPD_01483	Unknown_Gene	Cluster_104901
Operon993	BCBAIBPD_01484	Unknown_Gene	Cluster_104901
Operon994	BCBAIBPD_01485	ilvI	Cluster_17408
Operon994	BCBAIBPD_01486	ilvH	Cluster_17408
Operon995	BCBAIBPD_01487	ilvC	Cluster_147793
Operon996	BCBAIBPD_01488	Unknown_Gene	Cluster_82968
Operon997	BCBAIBPD_01489	msrP	Cluster_131440
Operon997	BCBAIBPD_01490	msrQ	Cluster_131440
Operon998	BCBAIBPD_01491	hisC_2	Cluster_28229
Operon999	BCBAIBPD_01492	gabP_2	Cluster_28229
Operon1000	BCBAIBPD_01493	tam_1	Cluster_109857
Operon1001	BCBAIBPD_01494	Unknown_Gene	Cluster_101262
Operon1002	BCBAIBPD_01495	syrM1	Cluster_118097
Operon1003	BCBAIBPD_01496	Unknown_Gene	Cluster_104047
Operon1004	BCBAIBPD_01497	ribN	Cluster_74356
Operon1005	BCBAIBPD_01498	Unknown_Gene	Cluster_83887
Operon1006	BCBAIBPD_01499	cdhR_3	Cluster_152921
Operon1007	BCBAIBPD_01500	pssA	Cluster_152921
Operon1008	BCBAIBPD_01501	Unknown_Gene	Cluster_116096
Operon1009	BCBAIBPD_01502	Unknown_Gene	Cluster_40801
Operon1010	BCBAIBPD_01503	ppnN	Cluster_95029
Operon1011	BCBAIBPD_01504	Unknown_Gene	Cluster_110316
Operon1012	BCBAIBPD_01505	cmpR_3	Cluster_110316
Operon1013	BCBAIBPD_01506	Unknown_Gene	Cluster_120249
Operon1014	BCBAIBPD_01507	pncB2_1	Cluster_91069
Operon1014	BCBAIBPD_01508	Unknown_Gene	Cluster_91069
Operon1015	BCBAIBPD_01509	Unknown_Gene	Cluster_91069
Operon1016	BCBAIBPD_01510	rcsC_5	Cluster_92910
