GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2222
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	JLPMBEPE_00001	xerC_1	Cluster_29991
Operon925	JLPMBEPE_01438	Unknown_Gene	Cluster_33154
Operon926	JLPMBEPE_01439	Unknown_Gene	Cluster_127398
Operon927	JLPMBEPE_01440	fabG_5	Cluster_119001
Operon928	JLPMBEPE_01441	gcvA_5	Cluster_54780
Operon929	JLPMBEPE_01442	Unknown_Gene	Cluster_54780
Operon929	JLPMBEPE_01443	puuA_4	Cluster_54780
Operon930	JLPMBEPE_01444	puuD_2	Cluster_134374
Operon931	JLPMBEPE_01445	spuC_3	Cluster_138197
Operon932	JLPMBEPE_01446	Unknown_Gene	Cluster_22228
Operon933	JLPMBEPE_01447	Unknown_Gene	Cluster_110521
Operon934	JLPMBEPE_01448	fpvA_4	Cluster_14645
Operon935	JLPMBEPE_01449	Unknown_Gene	Cluster_14645
Operon936	JLPMBEPE_01450	sfnG	Cluster_44920
Operon937	JLPMBEPE_01451	Unknown_Gene	Cluster_71269
Operon938	JLPMBEPE_01452	nuoE_1	Cluster_41028
Operon938	JLPMBEPE_01453	Unknown_Gene	Cluster_41028
Operon938	JLPMBEPE_01454	Unknown_Gene	Cluster_41028
Operon938	JLPMBEPE_01455	Unknown_Gene	Cluster_41028
Operon939	JLPMBEPE_01456	uspE_1	Cluster_79468
Operon940	JLPMBEPE_01457	Unknown_Gene	Cluster_79468
Operon941	JLPMBEPE_01458	Unknown_Gene	Cluster_96677
Operon942	JLPMBEPE_01459	Unknown_Gene	Cluster_96677
Operon943	JLPMBEPE_01460	Unknown_Gene	Cluster_92392
Operon944	JLPMBEPE_01461	Unknown_Gene	Cluster_92392
Operon945	JLPMBEPE_01462	iutA_1	Cluster_90386
Operon946	JLPMBEPE_01463	Unknown_Gene	Cluster_115444
Operon947	JLPMBEPE_01464	spuD_3	Cluster_115444
Operon947	JLPMBEPE_01465	speB	Cluster_115444
Operon948	JLPMBEPE_01466	Unknown_Gene	Cluster_58056
Operon948	JLPMBEPE_01467	yliI	Cluster_58056
Operon949	JLPMBEPE_01468	zapE_1	Cluster_85821
Operon950	JLPMBEPE_01469	todF	Cluster_135549
Operon951	JLPMBEPE_01470	yqaA	Cluster_133033
Operon951	JLPMBEPE_01471	Unknown_Gene	Cluster_133033
Operon951	JLPMBEPE_01472	copB	Cluster_133033
Operon951	JLPMBEPE_01473	copA_2	Cluster_133033
Operon952	JLPMBEPE_01474	rlhA_2	Cluster_93729
Operon953	JLPMBEPE_01475	Unknown_Gene	Cluster_93729
Operon954	JLPMBEPE_01476	Unknown_Gene	Cluster_153937
Operon955	JLPMBEPE_01477	panB_1	Cluster_40035
Operon956	JLPMBEPE_01478	phnX_2	Cluster_165556
Operon956	JLPMBEPE_01479	phnW_2	Cluster_165556
Operon957	JLPMBEPE_01480	cysL	Cluster_108450
Operon957	JLPMBEPE_01481	Unknown_Gene	Cluster_108450
Operon958	JLPMBEPE_01482	Unknown_Gene	Cluster_133701
Operon959	JLPMBEPE_01483	Unknown_Gene	Cluster_140171
Operon960	JLPMBEPE_01484	acsA_1	Cluster_100002
Operon960	JLPMBEPE_01485	Unknown_Gene	Cluster_100002
Operon960	JLPMBEPE_01486	thlA_1	Cluster_100002
Operon960	JLPMBEPE_01487	mmgC_2	Cluster_100002
Operon960	JLPMBEPE_01488	echA8_1	Cluster_100002
Operon961	JLPMBEPE_01489	yhhS_1	Cluster_117765
Operon962	JLPMBEPE_01490	Unknown_Gene	Cluster_33618
Operon963	JLPMBEPE_01491	Unknown_Gene	Cluster_160471
Operon963	JLPMBEPE_01492	phhA	Cluster_160471
Operon964	JLPMBEPE_01493	tyrR_1	Cluster_41715
Operon965	JLPMBEPE_01494	Unknown_Gene	Cluster_76877
Operon966	JLPMBEPE_01495	Unknown_Gene	Cluster_76877
Operon967	JLPMBEPE_01496	acs	Cluster_97783
Operon968	JLPMBEPE_01497	argT	Cluster_4893
Operon969	JLPMBEPE_01498	hisQ_2	Cluster_123516
Operon969	JLPMBEPE_01499	occM_2	Cluster_123516
Operon969	JLPMBEPE_01500	hisP	Cluster_123516
Operon970	JLPMBEPE_01501	cdhR_4	Cluster_118208
Operon971	JLPMBEPE_01502	aruC	Cluster_25059
Operon972	JLPMBEPE_01503	astA	Cluster_87399
Operon973	JLPMBEPE_01504	aruG	Cluster_132120
Operon973	JLPMBEPE_01505	astD	Cluster_132120
Operon973	JLPMBEPE_01506	astB	Cluster_132120
Operon973	JLPMBEPE_01507	Unknown_Gene	Cluster_132120
Operon973	JLPMBEPE_01508	astE	Cluster_132120
Operon974	JLPMBEPE_01509	alaS	Cluster_27368
Operon975	JLPMBEPE_01510	Unknown_Gene	Cluster_127969
Operon976	JLPMBEPE_01511	csrA2	Cluster_74267
Operon977	JLPMBEPE_01512	Unknown_Gene	Cluster_136036
Operon978	JLPMBEPE_01513	Unknown_Gene	Cluster_112311
Operon979	JLPMBEPE_01514	Unknown_Gene	Cluster_135824
Operon980	JLPMBEPE_01515	Unknown_Gene	Cluster_135885
Operon981	JLPMBEPE_01516	Unknown_Gene	Cluster_17178
Operon982	JLPMBEPE_01517	Unknown_Gene	Cluster_23647
Operon983	JLPMBEPE_01518	phnN	Cluster_23647
Operon984	JLPMBEPE_01519	Unknown_Gene	Cluster_109060
Operon985	JLPMBEPE_01520	dapA_5	Cluster_163410
Operon985	JLPMBEPE_01521	abaF_3	Cluster_163410
Operon986	JLPMBEPE_01522	rspR_1	Cluster_73836
Operon987	JLPMBEPE_01523	Unknown_Gene	Cluster_73836
Operon988	JLPMBEPE_01524	lpdV	Cluster_59613
Operon988	JLPMBEPE_01525	bkdB	Cluster_59613
Operon988	JLPMBEPE_01526	bkdA2	Cluster_59613
Operon988	JLPMBEPE_01527	bkdA1	Cluster_59613
Operon989	JLPMBEPE_01528	lrp_4	Cluster_59613
Operon990	JLPMBEPE_01529	ipuC	Cluster_62095
Operon991	JLPMBEPE_01530	ycaD_2	Cluster_97093
Operon992	JLPMBEPE_01531	ycgR	Cluster_129350
Operon993	JLPMBEPE_01532	Unknown_Gene	Cluster_154189
Operon993	JLPMBEPE_01533	Unknown_Gene	Cluster_154189
Operon994	JLPMBEPE_01534	Unknown_Gene	Cluster_132405
Operon995	JLPMBEPE_01535	cheV_1	Cluster_132405
Operon996	JLPMBEPE_01536	cheR2	Cluster_153055
Operon997	JLPMBEPE_01537	flgB	Cluster_22079
Operon997	JLPMBEPE_01538	flgC	Cluster_22079
Operon997	JLPMBEPE_01539	flgD	Cluster_22079
Operon997	JLPMBEPE_01540	flgE	Cluster_22079
Operon998	JLPMBEPE_01541	Unknown_Gene	Cluster_80212
Operon999	JLPMBEPE_01542	flgF	Cluster_77801
Operon999	JLPMBEPE_01543	flgG	Cluster_77801
Operon999	JLPMBEPE_01544	flgH	Cluster_77801
Operon999	JLPMBEPE_01545	flgI	Cluster_77801
Operon999	JLPMBEPE_01546	Unknown_Gene	Cluster_77801
Operon999	JLPMBEPE_01547	Unknown_Gene	Cluster_77801
Operon999	JLPMBEPE_01548	Unknown_Gene	Cluster_77801
Operon1000	JLPMBEPE_01549	fabH	Cluster_18449
Operon1001	JLPMBEPE_01550	Unknown_Gene	Cluster_18447
Operon1002	JLPMBEPE_01551	Unknown_Gene	Cluster_133606
Operon1003	JLPMBEPE_01552	fliD	Cluster_131667
Operon1004	JLPMBEPE_01553	fliS	Cluster_132741
Operon1004	JLPMBEPE_01554	Unknown_Gene	Cluster_132741
Operon1005	JLPMBEPE_01555	norR_1	Cluster_70847
Operon1006	JLPMBEPE_01556	atoS	Cluster_55388
Operon1006	JLPMBEPE_01557	atoC_2	Cluster_55388
Operon1007	JLPMBEPE_01558	fliE	Cluster_49052
Operon1007	JLPMBEPE_01559	fliF	Cluster_49052
Operon1007	JLPMBEPE_01560	fliG	Cluster_49052
Operon1008	JLPMBEPE_01561	Unknown_Gene	Cluster_66852
Operon1008	JLPMBEPE_01562	fliI	Cluster_66852
Operon1008	JLPMBEPE_01563	fliJ	Cluster_66852
Operon1009	JLPMBEPE_01564	Unknown_Gene	Cluster_82084
Operon1009	JLPMBEPE_01565	cheB_1	Cluster_82084
Operon1009	JLPMBEPE_01566	Unknown_Gene	Cluster_82084
Operon1010	JLPMBEPE_01567	Unknown_Gene	Cluster_136123
Operon1011	JLPMBEPE_01568	Unknown_Gene	Cluster_53028
Operon1011	JLPMBEPE_01569	fliM	Cluster_53028
Operon1011	JLPMBEPE_01570	fliN	Cluster_53028
Operon1011	JLPMBEPE_01571	Unknown_Gene	Cluster_53028
Operon1011	JLPMBEPE_01572	fliP	Cluster_53028
Operon1011	JLPMBEPE_01573	fliQ	Cluster_53028
Operon1011	JLPMBEPE_01574	fliR	Cluster_53028
Operon1011	JLPMBEPE_01575	flhB	Cluster_53028
Operon1012	JLPMBEPE_01576	flhA	Cluster_51330
Operon1012	JLPMBEPE_01577	srp54	Cluster_51330
Operon1013	JLPMBEPE_01578	ylxH	Cluster_121821
Operon1013	JLPMBEPE_01579	fliA	Cluster_121821
Operon1014	JLPMBEPE_01580	cheY	Cluster_102792
Operon1014	JLPMBEPE_01581	cheZ	Cluster_102792
Operon1014	JLPMBEPE_01582	Unknown_Gene	Cluster_102792
Operon1014	JLPMBEPE_01583	cheB1	Cluster_102792
Operon1014	JLPMBEPE_01584	pomA	Cluster_102792
Operon1014	JLPMBEPE_01585	motB_1	Cluster_102792
Operon1015	JLPMBEPE_01586	soj_1	Cluster_52702
Operon1015	JLPMBEPE_01587	Unknown_Gene	Cluster_52702
Operon1015	JLPMBEPE_01588	cheW	Cluster_52702
Operon1015	JLPMBEPE_01589	Unknown_Gene	Cluster_52702
Operon1016	JLPMBEPE_01590	Unknown_Gene	Cluster_140460
Operon1017	JLPMBEPE_01591	Unknown_Gene	Cluster_96362
Operon1018	JLPMBEPE_01592	Unknown_Gene	Cluster_138923
Operon1019	JLPMBEPE_01593	Unknown_Gene	Cluster_39199
Operon1019	JLPMBEPE_01594	Unknown_Gene	Cluster_39199
Operon1020	JLPMBEPE_01595	ccmA	Cluster_39199
Operon1020	JLPMBEPE_01596	ccmB	Cluster_39199
Operon1020	JLPMBEPE_01597	ccmC	Cluster_39199
Operon1020	JLPMBEPE_01598	Unknown_Gene	Cluster_39199
Operon1020	JLPMBEPE_01599	ccmE	Cluster_39199
Operon1020	JLPMBEPE_01600	ccmF	Cluster_39199
Operon1020	JLPMBEPE_01601	dsbE	Cluster_39199
Operon1020	JLPMBEPE_01602	ccmH	Cluster_39199
Operon1020	JLPMBEPE_01603	Unknown_Gene	Cluster_39199
Operon1020	JLPMBEPE_01604	Unknown_Gene	Cluster_39199
Operon1021	JLPMBEPE_01605	Unknown_Gene	Cluster_101997
Operon1022	JLPMBEPE_01606	norG_3	Cluster_101997
Operon1023	JLPMBEPE_01607	Unknown_Gene	Cluster_9648
Operon1024	JLPMBEPE_01608	Unknown_Gene	Cluster_9648
Operon1025	JLPMBEPE_01609	Unknown_Gene	Cluster_112004
Operon1026	JLPMBEPE_01610	Unknown_Gene	Cluster_54063
Operon1027	JLPMBEPE_01611	Unknown_Gene	Cluster_54063
Operon1028	JLPMBEPE_01612	Unknown_Gene	Cluster_12609
Operon1029	JLPMBEPE_01613	Unknown_Gene	Cluster_76854
Operon1030	JLPMBEPE_01614	Unknown_Gene	Cluster_12756
Operon1031	JLPMBEPE_01615	Unknown_Gene	Cluster_12756
Operon1032	JLPMBEPE_01616	Unknown_Gene	Cluster_91603
Operon1033	JLPMBEPE_01617	Unknown_Gene	Cluster_147430
Operon1034	JLPMBEPE_01618	fadB_1	Cluster_146626
Operon1035	JLPMBEPE_01619	fadD3_2	Cluster_43363
Operon1036	JLPMBEPE_01620	nicP_2	Cluster_85566
Operon1037	JLPMBEPE_01621	Unknown_Gene	Cluster_114575
Operon1037	JLPMBEPE_01622	paaG_1	Cluster_114575
Operon1037	JLPMBEPE_01623	nsaD_2	Cluster_114575
Operon1037	JLPMBEPE_01624	yfcG_2	Cluster_114575
Operon1037	JLPMBEPE_01625	kefF_2	Cluster_114575
Operon1038	JLPMBEPE_01626	cdhR_5	Cluster_114575
Operon1039	JLPMBEPE_01627	Unknown_Gene	Cluster_115290
Operon1040	JLPMBEPE_01628	Unknown_Gene	Cluster_158036
Operon1040	JLPMBEPE_01629	Unknown_Gene	Cluster_158036
Operon1040	JLPMBEPE_01630	Unknown_Gene	Cluster_158036
Operon1041	JLPMBEPE_01631	Unknown_Gene	Cluster_108898
Operon1042	JLPMBEPE_01632	Unknown_Gene	Cluster_27908
Operon1043	JLPMBEPE_01633	mmsA_1	Cluster_27908
Operon1044	JLPMBEPE_01634	echA8_2	Cluster_149907
Operon1044	JLPMBEPE_01635	mmsB_1	Cluster_149907
Operon1044	JLPMBEPE_01636	fadJ_1	Cluster_149907
Operon1044	JLPMBEPE_01637	mmgC_3	Cluster_149907
Operon1044	JLPMBEPE_01638	bktB_1	Cluster_149907
Operon1045	JLPMBEPE_01639	Unknown_Gene	Cluster_97118
Operon1046	JLPMBEPE_01640	Unknown_Gene	Cluster_49864
Operon1046	JLPMBEPE_01641	actP_1	Cluster_49864
Operon1047	JLPMBEPE_01642	lrp_5	Cluster_65256
Operon1048	JLPMBEPE_01643	rhtB_6	Cluster_65256
Operon1049	JLPMBEPE_01644	panB_2	Cluster_144969
Operon1050	JLPMBEPE_01645	ilvE_2	Cluster_38341
Operon1050	JLPMBEPE_01646	Unknown_Gene	Cluster_38341
Operon1050	JLPMBEPE_01647	rraA	Cluster_38341
Operon1051	JLPMBEPE_01648	lrp_6	Cluster_59879
Operon1052	JLPMBEPE_01649	cycA_2	Cluster_59879
Operon1053	JLPMBEPE_01650	Unknown_Gene	Cluster_110269
Operon1054	JLPMBEPE_01651	pcaK_1	Cluster_62326
Operon1055	JLPMBEPE_01652	cnbA	Cluster_147429
Operon1055	JLPMBEPE_01653	Unknown_Gene	Cluster_147429
Operon1056	JLPMBEPE_01654	nicP_3	Cluster_116671
Operon1057	JLPMBEPE_01655	gudP_4	Cluster_149077
Operon1058	JLPMBEPE_01656	dgoD_2	Cluster_102572
Operon1059	JLPMBEPE_01657	gntR_2	Cluster_61915
Operon1060	JLPMBEPE_01658	lsrG_1	Cluster_61915
Operon1061	JLPMBEPE_01659	Unknown_Gene	Cluster_112432
Operon1062	JLPMBEPE_01660	ccpA	Cluster_149906
Operon1063	JLPMBEPE_01661	Unknown_Gene	Cluster_44492
Operon1064	JLPMBEPE_01662	Unknown_Gene	Cluster_150642
Operon1064	JLPMBEPE_01663	adhB_4	Cluster_150642
Operon1065	JLPMBEPE_01664	oprB_4	Cluster_76146
Operon1065	JLPMBEPE_01665	Unknown_Gene	Cluster_76146
Operon1065	JLPMBEPE_01666	Unknown_Gene	Cluster_76146
Operon1065	JLPMBEPE_01667	fdhC	Cluster_76146
Operon1066	JLPMBEPE_01668	Unknown_Gene	Cluster_36136
Operon1066	JLPMBEPE_01669	Unknown_Gene	Cluster_36136
Operon1067	JLPMBEPE_01670	Unknown_Gene	Cluster_36136
Operon1068	JLPMBEPE_01671	Unknown_Gene	Cluster_24258
Operon1068	JLPMBEPE_01672	Unknown_Gene	Cluster_24258
Operon1069	JLPMBEPE_01673	Unknown_Gene	Cluster_42088
Operon1070	JLPMBEPE_01674	ompR_2	Cluster_42088
Operon1070	JLPMBEPE_01675	sasA_3	Cluster_42088
Operon1071	JLPMBEPE_01676	oprM_1	Cluster_7154
Operon1071	JLPMBEPE_01677	ttgE	Cluster_7154
Operon1071	JLPMBEPE_01678	srpA_2	Cluster_7154
Operon1072	JLPMBEPE_01679	pcaK_2	Cluster_7154
Operon1072	JLPMBEPE_01680	galA_1	Cluster_7154
Operon1073	JLPMBEPE_01681	nicP_4	Cluster_53932
Operon1074	JLPMBEPE_01682	hdfR_6	Cluster_77660
Operon1075	JLPMBEPE_01683	galB_1	Cluster_77660
Operon1075	JLPMBEPE_01684	galC	Cluster_77660
Operon1075	JLPMBEPE_01685	galD_1	Cluster_77660
Operon1076	JLPMBEPE_01686	yfiY	Cluster_69918
Operon1076	JLPMBEPE_01687	fepD	Cluster_69918
Operon1076	JLPMBEPE_01688	yfhA	Cluster_69918
Operon1076	JLPMBEPE_01689	yusV	Cluster_69918
Operon1077	JLPMBEPE_01690	nanT_4	Cluster_101872
Operon1078	JLPMBEPE_01691	Unknown_Gene	Cluster_29668
Operon1079	JLPMBEPE_01692	nanT_5	Cluster_29668
Operon1080	JLPMBEPE_01693	nicP_5	Cluster_1879
Operon1081	JLPMBEPE_01694	mcpU_3	Cluster_99823
Operon1082	JLPMBEPE_01695	Unknown_Gene	Cluster_50828
Operon1083	JLPMBEPE_01696	pchA	Cluster_113143
Operon1084	JLPMBEPE_01697	Unknown_Gene	Cluster_139427
Operon1084	JLPMBEPE_01698	fabG_6	Cluster_139427
Operon1084	JLPMBEPE_01699	rutB	Cluster_139427
Operon1084	JLPMBEPE_01700	bphE	Cluster_139427
Operon1084	JLPMBEPE_01701	antA_1	Cluster_139427
Operon1084	JLPMBEPE_01702	ophA1	Cluster_139427
Operon1085	JLPMBEPE_01703	antC	Cluster_15545
Operon1085	JLPMBEPE_01704	antB	Cluster_15545
Operon1085	JLPMBEPE_01705	antA_2	Cluster_15545
Operon1086	JLPMBEPE_01706	Unknown_Gene	Cluster_15545
Operon1087	JLPMBEPE_01707	pao	Cluster_20740
Operon1088	JLPMBEPE_01708	Unknown_Gene	Cluster_18475
Operon1089	JLPMBEPE_01709	rlmM	Cluster_50927
Operon1090	JLPMBEPE_01710	acnA	Cluster_50927
Operon1091	JLPMBEPE_01711	aer_1	Cluster_68654
Operon1092	JLPMBEPE_01712	Unknown_Gene	Cluster_153044
Operon1093	JLPMBEPE_01713	Unknown_Gene	Cluster_141928
Operon1094	JLPMBEPE_01714	Unknown_Gene	Cluster_110522
Operon1095	JLPMBEPE_01715	Unknown_Gene	Cluster_135765
Operon1096	JLPMBEPE_01716	amtB_3	Cluster_29895
Operon1097	JLPMBEPE_01717	yqjD_1	Cluster_29895
Operon1097	JLPMBEPE_01718	Unknown_Gene	Cluster_29895
Operon1097	JLPMBEPE_01719	Unknown_Gene	Cluster_29895
Operon1098	JLPMBEPE_01720	dgt	Cluster_85165
Operon1099	JLPMBEPE_01721	bvgA_1	Cluster_34964
Operon1099	JLPMBEPE_01722	bvgS	Cluster_34964
Operon1099	JLPMBEPE_01723	Unknown_Gene	Cluster_34964
Operon1100	JLPMBEPE_01724	Unknown_Gene	Cluster_83457
Operon1101	JLPMBEPE_01725	Unknown_Gene	Cluster_119477
Operon1102	JLPMBEPE_01726	rlmL_1	Cluster_1261
Operon1103	JLPMBEPE_01727	pyrD	Cluster_85870
Operon1104	JLPMBEPE_01728	nrtA	Cluster_85870
Operon1104	JLPMBEPE_01729	pdtaR	Cluster_85870
Operon1105	JLPMBEPE_01730	nasA	Cluster_42852
Operon1105	JLPMBEPE_01731	pknD	Cluster_42852
Operon1105	JLPMBEPE_01732	sumT	Cluster_42852
Operon1106	JLPMBEPE_01733	oprF	Cluster_108399
Operon1107	JLPMBEPE_01734	Unknown_Gene	Cluster_103412
Operon1108	JLPMBEPE_01735	Unknown_Gene	Cluster_125945
Operon1108	JLPMBEPE_01736	Unknown_Gene	Cluster_125945
Operon1109	JLPMBEPE_01737	zntB	Cluster_52708
Operon1109	JLPMBEPE_01738	Unknown_Gene	Cluster_52708
Operon1110	JLPMBEPE_01739	Unknown_Gene	Cluster_114983
Operon1111	JLPMBEPE_01740	ppsA	Cluster_68627
Operon1112	JLPMBEPE_01741	ppsR	Cluster_68627
Operon1113	JLPMBEPE_01742	gdhB	Cluster_36660
Operon1114	JLPMBEPE_01743	Unknown_Gene	Cluster_36660
Operon1115	JLPMBEPE_01744	Unknown_Gene	Cluster_100687
Operon1116	JLPMBEPE_01745	lysA_2	Cluster_100687
Operon1117	JLPMBEPE_01746	fecI_11	Cluster_54781
Operon1117	JLPMBEPE_01747	fecR_10	Cluster_54781
Operon1118	JLPMBEPE_01748	fptA_1	Cluster_107778
Operon1119	JLPMBEPE_01749	Unknown_Gene	Cluster_53921
Operon1120	JLPMBEPE_01750	Unknown_Gene	Cluster_53921
Operon1121	JLPMBEPE_01751	leuO_1	Cluster_98933
Operon1122	JLPMBEPE_01752	Unknown_Gene	Cluster_10494
Operon1122	JLPMBEPE_01753	Unknown_Gene	Cluster_10494
Operon1123	JLPMBEPE_01754	nimR_1	Cluster_10494
Operon1124	JLPMBEPE_01755	oprJ	Cluster_114827
Operon1125	JLPMBEPE_01756	emrA_3	Cluster_77378
Operon1125	JLPMBEPE_01757	emrB_2	Cluster_77378
Operon1126	JLPMBEPE_01758	frlR	Cluster_68905
Operon1127	JLPMBEPE_01759	bepE_1	Cluster_127345
Operon1127	JLPMBEPE_01760	bepF_1	Cluster_127345
Operon1128	JLPMBEPE_01761	soxR	Cluster_127345
Operon1129	JLPMBEPE_01762	Unknown_Gene	Cluster_42745
Operon1130	JLPMBEPE_01763	nicP_6	Cluster_158302
Operon1130	JLPMBEPE_01764	citN_1	Cluster_158302
Operon1131	JLPMBEPE_01765	dctA2_2	Cluster_136617
Operon1132	JLPMBEPE_01766	ybhH	Cluster_85085
Operon1133	JLPMBEPE_01767	cynR_3	Cluster_85085
Operon1134	JLPMBEPE_01768	Unknown_Gene	Cluster_20309
Operon1135	JLPMBEPE_01769	mtlD	Cluster_20309
Operon1136	JLPMBEPE_01770	Unknown_Gene	Cluster_63930
Operon1137	JLPMBEPE_01771	fucA_1	Cluster_63930
Operon1137	JLPMBEPE_01772	dapA_6	Cluster_63930
Operon1138	JLPMBEPE_01773	ydcO_1	Cluster_138904
Operon1139	JLPMBEPE_01774	Unknown_Gene	Cluster_148414
Operon1140	JLPMBEPE_01775	Unknown_Gene	Cluster_48753
Operon1141	JLPMBEPE_01776	Unknown_Gene	Cluster_48753
Operon1141	JLPMBEPE_01777	Unknown_Gene	Cluster_48753
Operon1141	JLPMBEPE_01778	Unknown_Gene	Cluster_48753
Operon1141	JLPMBEPE_01779	Unknown_Gene	Cluster_48753
Operon1141	JLPMBEPE_01780	Unknown_Gene	Cluster_48753
Operon1141	JLPMBEPE_01781	Unknown_Gene	Cluster_48753
Operon1142	JLPMBEPE_01782	sbcD	Cluster_50653
Operon1142	JLPMBEPE_01783	Unknown_Gene	Cluster_50653
Operon1142	JLPMBEPE_01784	Unknown_Gene	Cluster_50653
Operon1143	JLPMBEPE_01785	Unknown_Gene	Cluster_101363
Operon1144	JLPMBEPE_01786	pgl_1	Cluster_83849
Operon1144	JLPMBEPE_01787	Unknown_Gene	Cluster_83849
Operon1145	JLPMBEPE_01788	Unknown_Gene	Cluster_38685
Operon1145	JLPMBEPE_01789	hcf136_1	Cluster_38685
Operon1146	JLPMBEPE_01790	pepN	Cluster_158984
Operon1146	JLPMBEPE_01791	Unknown_Gene	Cluster_158984
Operon1146	JLPMBEPE_01792	Unknown_Gene	Cluster_158984
Operon1146	JLPMBEPE_01793	glpG	Cluster_158984
Operon1146	JLPMBEPE_01794	apaH_2	Cluster_158984
Operon1146	JLPMBEPE_01795	nadK	Cluster_158984
Operon1147	JLPMBEPE_01796	Unknown_Gene	Cluster_158984
Operon1148	JLPMBEPE_01797	yodB	Cluster_51335
Operon1149	JLPMBEPE_01798	Unknown_Gene	Cluster_102828
Operon1150	JLPMBEPE_01799	fadH	Cluster_62796
Operon1151	JLPMBEPE_01800	Unknown_Gene	Cluster_62796
Operon1151	JLPMBEPE_01801	Unknown_Gene	Cluster_62796
Operon1152	JLPMBEPE_01802	Unknown_Gene	Cluster_69919
Operon1153	JLPMBEPE_01803	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1154	JLPMBEPE_01804	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1155	JLPMBEPE_01805	Unknown_Gene	Cluster_111728
Operon1156	JLPMBEPE_01806	maeB	Cluster_67998
Operon1157	JLPMBEPE_01807	mrcA	Cluster_63250
Operon1158	JLPMBEPE_01808	Unknown_Gene	Cluster_63250
Operon1158	JLPMBEPE_01809	Unknown_Gene	Cluster_63250
Operon1158	JLPMBEPE_01810	Unknown_Gene	Cluster_63250
Operon1158	JLPMBEPE_01811	pilQ	Cluster_63250
Operon1158	JLPMBEPE_01812	aroK	Cluster_63250
Operon1159	JLPMBEPE_01813	aroB	Cluster_118963
Operon1159	JLPMBEPE_01814	damX	Cluster_118963
Operon1160	JLPMBEPE_01815	gltB	Cluster_21140
Operon1161	JLPMBEPE_01816	gltD_1	Cluster_100539
Operon1162	JLPMBEPE_01817	hemE	Cluster_60931
Operon1163	JLPMBEPE_01818	ygiW	Cluster_106338
Operon1164	JLPMBEPE_01819	ynfM	Cluster_110440
Operon1165	JLPMBEPE_01820	benM_2	Cluster_110440
Operon1166	JLPMBEPE_01821	soj_2	Cluster_129832
Operon1167	JLPMBEPE_01822	Unknown_Gene	Cluster_138949
Operon1167	JLPMBEPE_01823	Unknown_Gene	Cluster_138949
Operon1168	JLPMBEPE_01824	trxC	Cluster_91314
Operon1169	JLPMBEPE_01825	selO	Cluster_157452
Operon1169	JLPMBEPE_01826	mscK	Cluster_157452
Operon1169	JLPMBEPE_01827	nhaP2	Cluster_157452
Operon1170	JLPMBEPE_01828	betA_2	Cluster_130098
Operon1171	JLPMBEPE_01829	betB	Cluster_161762
Operon1171	JLPMBEPE_01830	betI_1	Cluster_161762
Operon1172	JLPMBEPE_01831	caiT	Cluster_12925
Operon1173	JLPMBEPE_01832	Unknown_Gene	Cluster_132155
Operon1173	JLPMBEPE_01833	Unknown_Gene	Cluster_132155
Operon1174	JLPMBEPE_01834	envC	Cluster_124681
Operon1175	JLPMBEPE_01835	gpmI	Cluster_57264
Operon1176	JLPMBEPE_01836	yibN	Cluster_57264
Operon1176	JLPMBEPE_01837	grxC	Cluster_57264
Operon1176	JLPMBEPE_01838	secB	Cluster_57264
Operon1177	JLPMBEPE_01839	trmL	Cluster_133577
Operon1178	JLPMBEPE_01840	Unknown_Gene	Cluster_133577
Operon1179	JLPMBEPE_01841	glnG	Cluster_23523
Operon1179	JLPMBEPE_01842	glnL	Cluster_23523
Operon1180	JLPMBEPE_01843	glnA	Cluster_13463
Operon1181	JLPMBEPE_01844	thiI	Cluster_13463
Operon1182	JLPMBEPE_01845	typA	Cluster_97279
Operon1183	JLPMBEPE_01846	Unknown_Gene	Cluster_133704
Operon1184	JLPMBEPE_01847	malP	Cluster_133704
Operon1185	JLPMBEPE_01848	fbp_1	Cluster_32320
Operon1185	JLPMBEPE_01849	Unknown_Gene	Cluster_32320
Operon1186	JLPMBEPE_01850	Unknown_Gene	Cluster_49999
Operon1186	JLPMBEPE_01851	blc_1	Cluster_49999
Operon1187	JLPMBEPE_01852	Unknown_Gene	Cluster_109837
Operon1188	JLPMBEPE_01853	dasR	Cluster_109837
Operon1188	JLPMBEPE_01854	ves	Cluster_109837
Operon1189	JLPMBEPE_01855	hutU	Cluster_80574
Operon1190	JLPMBEPE_01856	hutH	Cluster_111149
Operon1191	JLPMBEPE_01857	proY_1	Cluster_80585
Operon1191	JLPMBEPE_01858	hutI	Cluster_80585
Operon1191	JLPMBEPE_01859	Unknown_Gene	Cluster_80585
Operon1192	JLPMBEPE_01860	Unknown_Gene	Cluster_73849
Operon1193	JLPMBEPE_01861	pip	Cluster_73849
Operon1193	JLPMBEPE_01862	dtd	Cluster_73849
Operon1194	JLPMBEPE_01863	mdoG	Cluster_28117
Operon1194	JLPMBEPE_01864	opgH	Cluster_28117
Operon1195	JLPMBEPE_01865	fliY_1	Cluster_36475
Operon1196	JLPMBEPE_01866	Unknown_Gene	Cluster_131266
