GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2848
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	LCEOCHIL_00001	pmpR_1	Cluster_106935
Operon860	LCEOCHIL_01314	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon861	LCEOCHIL_01315	tdcB	Cluster_54379
Operon861	LCEOCHIL_01316	ala	Cluster_54379
Operon861	LCEOCHIL_01317	doeA	Cluster_54379
Operon861	LCEOCHIL_01318	doeB	Cluster_54379
Operon861	LCEOCHIL_01319	gabD_2	Cluster_54379
Operon861	LCEOCHIL_01320	spuC_2	Cluster_54379
Operon862	LCEOCHIL_01321	ycaC_3	Cluster_99373
Operon863	LCEOCHIL_01322	Unknown_Gene	Cluster_65825
Operon863	LCEOCHIL_01323	kefC_1	Cluster_65825
Operon863	LCEOCHIL_01324	ydiK_1	Cluster_65825
Operon863	LCEOCHIL_01325	cusC_1	Cluster_65825
Operon863	LCEOCHIL_01326	mdtN	Cluster_65825
Operon863	LCEOCHIL_01327	Unknown_Gene	Cluster_65825
Operon864	LCEOCHIL_01328	Unknown_Gene	Cluster_9664
Operon865	LCEOCHIL_01329	Unknown_Gene	Cluster_109184
Operon866	LCEOCHIL_01330	Unknown_Gene	Cluster_63624
Operon867	LCEOCHIL_01331	Unknown_Gene	Cluster_28419
Operon868	LCEOCHIL_01332	Unknown_Gene	Cluster_28419
Operon869	LCEOCHIL_01333	Unknown_Gene	Cluster_7007
Operon870	LCEOCHIL_01334	Unknown_Gene	Cluster_56575
Operon870	LCEOCHIL_01335	Unknown_Gene	Cluster_56575
Operon871	LCEOCHIL_01336	Unknown_Gene	Cluster_104323
Operon872	LCEOCHIL_01337	Unknown_Gene	Cluster_121062
Operon873	LCEOCHIL_01338	leuO_1	Cluster_111183
Operon873	LCEOCHIL_01339	Unknown_Gene	Cluster_111183
Operon874	LCEOCHIL_01340	ttgI_1	Cluster_51290
Operon874	LCEOCHIL_01341	ttgH	Cluster_51290
Operon874	LCEOCHIL_01342	srpA_1	Cluster_51290
Operon875	LCEOCHIL_01343	ttgV	Cluster_51290
Operon876	LCEOCHIL_01344	srpR	Cluster_70182
Operon877	LCEOCHIL_01345	Unknown_Gene	Cluster_136546
Operon878	LCEOCHIL_01346	Unknown_Gene	Cluster_123841
Operon878	LCEOCHIL_01347	Unknown_Gene	Cluster_123841
Operon879	LCEOCHIL_01348	Unknown_Gene	Cluster_131246
Operon880	LCEOCHIL_01349	Unknown_Gene	Cluster_111387
Operon881	LCEOCHIL_01350	Unknown_Gene	Cluster_111387
Operon882	LCEOCHIL_01351	pcrA	NO_CLUSTER_ASSOCIATION_FOUND
Operon883	LCEOCHIL_01352	Unknown_Gene	Cluster_103698
Operon884	LCEOCHIL_01353	thiO_1	Cluster_151095
Operon885	LCEOCHIL_01354	Unknown_Gene	Cluster_8770
Operon886	LCEOCHIL_01355	Unknown_Gene	Cluster_8770
Operon887	LCEOCHIL_01356	Unknown_Gene	Cluster_12660
Operon887	LCEOCHIL_01357	Unknown_Gene	Cluster_12660
Operon888	LCEOCHIL_01358	Unknown_Gene	Cluster_12660
Operon889	LCEOCHIL_01359	Unknown_Gene	Cluster_114368
Operon890	LCEOCHIL_01360	sfnG	Cluster_70273
Operon891	LCEOCHIL_01361	Unknown_Gene	Cluster_121770
Operon892	LCEOCHIL_01362	Unknown_Gene	Cluster_146254
Operon893	LCEOCHIL_01363	hndA	Cluster_13710
Operon893	LCEOCHIL_01364	Unknown_Gene	Cluster_13710
Operon893	LCEOCHIL_01365	Unknown_Gene	Cluster_13710
Operon893	LCEOCHIL_01366	Unknown_Gene	Cluster_13710
Operon894	LCEOCHIL_01367	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon894	LCEOCHIL_01368	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon895	LCEOCHIL_01369	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon896	LCEOCHIL_01370	Unknown_Gene	Cluster_111388
Operon897	LCEOCHIL_01371	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon898	LCEOCHIL_01372	cyoE	Cluster_6843
Operon898	LCEOCHIL_01373	cyoD	Cluster_6843
Operon898	LCEOCHIL_01374	cyoC	Cluster_6843
Operon898	LCEOCHIL_01375	cyoB	Cluster_6843
Operon898	LCEOCHIL_01376	cyoA	Cluster_6843
Operon899	LCEOCHIL_01377	dsbB_1	Cluster_8570
Operon900	LCEOCHIL_01378	hmp_2	Cluster_80537
Operon901	LCEOCHIL_01379	norR1	Cluster_80537
Operon902	LCEOCHIL_01380	cheV_1	Cluster_63221
Operon903	LCEOCHIL_01381	Unknown_Gene	Cluster_125969
Operon903	LCEOCHIL_01382	Unknown_Gene	Cluster_125969
Operon904	LCEOCHIL_01383	mdtA_1	Cluster_12071
Operon904	LCEOCHIL_01384	mdtB_1	Cluster_12071
Operon904	LCEOCHIL_01385	czcR_1	Cluster_12071
Operon904	LCEOCHIL_01386	sasA_4	Cluster_12071
Operon905	LCEOCHIL_01387	Unknown_Gene	Cluster_38915
Operon906	LCEOCHIL_01388	oprD_3	Cluster_56483
Operon907	LCEOCHIL_01389	Unknown_Gene	Cluster_51286
Operon908	LCEOCHIL_01390	Unknown_Gene	Cluster_59594
Operon909	LCEOCHIL_01391	Unknown_Gene	Cluster_59594
Operon910	LCEOCHIL_01392	fruA	Cluster_34946
Operon910	LCEOCHIL_01393	lacC	Cluster_34946
Operon910	LCEOCHIL_01394	Unknown_Gene	Cluster_34946
Operon911	LCEOCHIL_01395	cra	Cluster_34946
Operon911	LCEOCHIL_01396	yjjV	Cluster_34946
Operon912	LCEOCHIL_01397	Unknown_Gene	Cluster_102069
Operon912	LCEOCHIL_01398	ampD	Cluster_102069
Operon913	LCEOCHIL_01399	Unknown_Gene	Cluster_44904
Operon914	LCEOCHIL_01400	nadC	Cluster_44904
Operon915	LCEOCHIL_01401	Unknown_Gene	Cluster_26903
Operon916	LCEOCHIL_01402	cysZ	Cluster_26903
Operon917	LCEOCHIL_01403	Unknown_Gene	Cluster_50271
Operon917	LCEOCHIL_01404	Unknown_Gene	Cluster_50271
Operon918	LCEOCHIL_01405	bdlA_1	Cluster_71443
Operon919	LCEOCHIL_01406	mgtA	Cluster_71443
Operon920	LCEOCHIL_01407	btuE_1	Cluster_86325
Operon921	LCEOCHIL_01408	slyD	Cluster_26740
Operon922	LCEOCHIL_01409	pta	Cluster_26740
Operon923	LCEOCHIL_01410	yiaD	Cluster_110474
Operon924	LCEOCHIL_01411	gloC	Cluster_73818
Operon924	LCEOCHIL_01412	chpB	Cluster_73818
Operon924	LCEOCHIL_01413	chpS	Cluster_73818
Operon925	LCEOCHIL_01414	sasA_5	Cluster_75107
Operon925	LCEOCHIL_01415	lapB	Cluster_75107
Operon926	LCEOCHIL_01416	malT	Cluster_23933
Operon927	LCEOCHIL_01417	Unknown_Gene	Cluster_27035
Operon927	LCEOCHIL_01418	Unknown_Gene	Cluster_27035
Operon928	LCEOCHIL_01419	Unknown_Gene	Cluster_43200
Operon929	LCEOCHIL_01420	hprA	Cluster_43200
Operon930	LCEOCHIL_01421	rsmC	Cluster_150906
Operon931	LCEOCHIL_01422	mneA	Cluster_38161
Operon932	LCEOCHIL_01423	loiP	Cluster_68576
Operon933	LCEOCHIL_01424	yedK_2	Cluster_98550
Operon933	LCEOCHIL_01425	Unknown_Gene	Cluster_98550
Operon933	LCEOCHIL_01426	Unknown_Gene	Cluster_98550
Operon934	LCEOCHIL_01427	Unknown_Gene	Cluster_98550
Operon935	LCEOCHIL_01428	Unknown_Gene	Cluster_15896
Operon936	LCEOCHIL_01429	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01430	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01431	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01432	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01433	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01434	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01435	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01436	virB4	Cluster_31230
Operon936	LCEOCHIL_01437	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01438	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01439	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01440	Unknown_Gene	Cluster_31230
Operon936	LCEOCHIL_01441	traG	Cluster_31230
Operon937	LCEOCHIL_01442	syrM1_1	Cluster_31230
Operon938	LCEOCHIL_01443	Unknown_Gene	Cluster_35848
Operon938	LCEOCHIL_01444	Unknown_Gene	Cluster_35848
Operon939	LCEOCHIL_01445	gdx_1	Cluster_23814
Operon940	LCEOCHIL_01446	hcaR_1	Cluster_121928
Operon941	LCEOCHIL_01447	ttgC_2	Cluster_116248
Operon942	LCEOCHIL_01448	Unknown_Gene	Cluster_116248
Operon942	LCEOCHIL_01449	mdtA_2	Cluster_116248
Operon942	LCEOCHIL_01450	cnrA	Cluster_116248
Operon943	LCEOCHIL_01451	Unknown_Gene	Cluster_15425
Operon943	LCEOCHIL_01452	Unknown_Gene	Cluster_15425
Operon943	LCEOCHIL_01453	mkl_1	Cluster_15425
Operon944	LCEOCHIL_01454	Unknown_Gene	Cluster_123170
Operon945	LCEOCHIL_01455	Unknown_Gene	Cluster_121655
Operon946	LCEOCHIL_01456	Unknown_Gene	Cluster_15059
Operon947	LCEOCHIL_01457	Unknown_Gene	Cluster_45817
Operon947	LCEOCHIL_01458	Unknown_Gene	Cluster_45817
Operon947	LCEOCHIL_01459	Unknown_Gene	Cluster_45817
Operon947	LCEOCHIL_01460	soj_2	Cluster_45817
Operon948	LCEOCHIL_01461	Unknown_Gene	Cluster_153916
Operon949	LCEOCHIL_01462	Unknown_Gene	Cluster_108571
Operon950	LCEOCHIL_01463	Unknown_Gene	Cluster_25409
Operon951	LCEOCHIL_01464	Unknown_Gene	Cluster_29223
Operon952	LCEOCHIL_01465	Unknown_Gene	Cluster_29223
Operon953	LCEOCHIL_01466	Unknown_Gene	Cluster_2757
Operon954	LCEOCHIL_01467	Unknown_Gene	Cluster_145249
Operon955	LCEOCHIL_01468	Unknown_Gene	Cluster_130803
Operon956	LCEOCHIL_01469	Unknown_Gene	Cluster_9283
Operon957	LCEOCHIL_01470	Unknown_Gene	Cluster_9283
Operon958	LCEOCHIL_01471	Unknown_Gene	Cluster_24130
Operon959	LCEOCHIL_01472	yhcG	Cluster_48812
Operon959	LCEOCHIL_01473	Unknown_Gene	Cluster_48812
Operon960	LCEOCHIL_01474	Unknown_Gene	Cluster_86324
Operon961	LCEOCHIL_01475	Unknown_Gene	Cluster_86324
Operon962	LCEOCHIL_01476	mqo_1	Cluster_6529
Operon963	LCEOCHIL_01477	Unknown_Gene	Cluster_138841
Operon964	LCEOCHIL_01478	Unknown_Gene	Cluster_64965
Operon965	LCEOCHIL_01479	Unknown_Gene	Cluster_75689
Operon965	LCEOCHIL_01480	hpt	Cluster_75689
Operon966	LCEOCHIL_01481	upp	Cluster_75689
Operon966	LCEOCHIL_01482	uraA	Cluster_75689
Operon967	LCEOCHIL_01483	hemH	Cluster_64095
Operon967	LCEOCHIL_01484	Unknown_Gene	Cluster_64095
Operon968	LCEOCHIL_01485	Unknown_Gene	Cluster_64095
Operon969	LCEOCHIL_01486	Unknown_Gene	Cluster_116370
Operon969	LCEOCHIL_01487	Unknown_Gene	Cluster_116370
Operon969	LCEOCHIL_01488	phrB_1	Cluster_116370
Operon969	LCEOCHIL_01489	hcaB_1	Cluster_116370
Operon970	LCEOCHIL_01490	pagL_1	Cluster_115503
Operon971	LCEOCHIL_01491	murI	NO_CLUSTER_ASSOCIATION_FOUND
Operon971	LCEOCHIL_01492	moeB	NO_CLUSTER_ASSOCIATION_FOUND
Operon971	LCEOCHIL_01493	prmC_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon971	LCEOCHIL_01494	prfA	NO_CLUSTER_ASSOCIATION_FOUND
Operon971	LCEOCHIL_01495	hemA	NO_CLUSTER_ASSOCIATION_FOUND
Operon972	LCEOCHIL_01496	ybaB	Cluster_141997
Operon973	LCEOCHIL_01497	ruvB_1	Cluster_100007
Operon974	LCEOCHIL_01498	Unknown_Gene	Cluster_100007
Operon975	LCEOCHIL_01499	Unknown_Gene	Cluster_13708
Operon976	LCEOCHIL_01500	Unknown_Gene	Cluster_128024
Operon977	LCEOCHIL_01501	cueR_1	Cluster_128024
Operon978	LCEOCHIL_01502	Unknown_Gene	Cluster_100226
Operon979	LCEOCHIL_01503	Unknown_Gene	Cluster_112648
Operon980	LCEOCHIL_01504	ligA	NO_CLUSTER_ASSOCIATION_FOUND
Operon981	LCEOCHIL_01505	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon982	LCEOCHIL_01506	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon983	LCEOCHIL_01507	Unknown_Gene	Cluster_126041
Operon983	LCEOCHIL_01508	Unknown_Gene	Cluster_126041
Operon983	LCEOCHIL_01509	Unknown_Gene	Cluster_126041
Operon983	LCEOCHIL_01510	Unknown_Gene	Cluster_126041
Operon983	LCEOCHIL_01511	Unknown_Gene	Cluster_126041
Operon984	LCEOCHIL_01512	Unknown_Gene	Cluster_41458
Operon984	LCEOCHIL_01513	Unknown_Gene	Cluster_41458
Operon984	LCEOCHIL_01514	Unknown_Gene	Cluster_41458
Operon985	LCEOCHIL_01515	Unknown_Gene	Cluster_41458
Operon985	LCEOCHIL_01516	Unknown_Gene	Cluster_41458
Operon986	LCEOCHIL_01517	Unknown_Gene	Cluster_150846
Operon987	LCEOCHIL_01518	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon987	LCEOCHIL_01519	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon988	LCEOCHIL_01520	Unknown_Gene	Cluster_23004
Operon989	LCEOCHIL_01521	Unknown_Gene	Cluster_129538
Operon989	LCEOCHIL_01522	Unknown_Gene	Cluster_129538
Operon989	LCEOCHIL_01523	Unknown_Gene	Cluster_129538
Operon990	LCEOCHIL_01524	Unknown_Gene	Cluster_145405
Operon990	LCEOCHIL_01525	Unknown_Gene	Cluster_145405
Operon990	LCEOCHIL_01526	Unknown_Gene	Cluster_145405
Operon990	LCEOCHIL_01527	Unknown_Gene	Cluster_145405
Operon990	LCEOCHIL_01528	Unknown_Gene	Cluster_145405
Operon991	LCEOCHIL_01529	Unknown_Gene	Cluster_81857
Operon991	LCEOCHIL_01530	Unknown_Gene	Cluster_81857
Operon991	LCEOCHIL_01531	Unknown_Gene	Cluster_81857
Operon991	LCEOCHIL_01532	Unknown_Gene	Cluster_81857
Operon991	LCEOCHIL_01533	Unknown_Gene	Cluster_81857
Operon991	LCEOCHIL_01534	Unknown_Gene	Cluster_81857
Operon991	LCEOCHIL_01535	Unknown_Gene	Cluster_81857
Operon991	LCEOCHIL_01536	Unknown_Gene	Cluster_81857
Operon991	LCEOCHIL_01537	Unknown_Gene	Cluster_81857
Operon992	LCEOCHIL_01538	Unknown_Gene	Cluster_54132
Operon993	LCEOCHIL_01539	Unknown_Gene	Cluster_142969
Operon994	LCEOCHIL_01540	Unknown_Gene	Cluster_84670
Operon995	LCEOCHIL_01541	Unknown_Gene	Cluster_84670
Operon996	LCEOCHIL_01542	Unknown_Gene	Cluster_81253
Operon997	LCEOCHIL_01543	Unknown_Gene	Cluster_152561
Operon998	LCEOCHIL_01544	Unknown_Gene	Cluster_88902
Operon999	LCEOCHIL_01545	Unknown_Gene	Cluster_88902
Operon999	LCEOCHIL_01546	Unknown_Gene	Cluster_88902
Operon999	LCEOCHIL_01547	Unknown_Gene	Cluster_88902
Operon999	LCEOCHIL_01548	Unknown_Gene	Cluster_88902
Operon1000	LCEOCHIL_01549	Unknown_Gene	Cluster_22320
Operon1001	LCEOCHIL_01550	Unknown_Gene	Cluster_149313
Operon1001	LCEOCHIL_01551	Unknown_Gene	Cluster_149313
Operon1001	LCEOCHIL_01552	Unknown_Gene	Cluster_149313
Operon1001	LCEOCHIL_01553	Unknown_Gene	Cluster_149313
Operon1002	LCEOCHIL_01554	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1003	LCEOCHIL_01555	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1004	LCEOCHIL_01556	Unknown_Gene	Cluster_36037
Operon1005	LCEOCHIL_01557	Unknown_Gene	Cluster_36037
Operon1006	LCEOCHIL_01558	Unknown_Gene	Cluster_139854
Operon1006	LCEOCHIL_01559	Unknown_Gene	Cluster_139854
Operon1007	LCEOCHIL_01560	Unknown_Gene	Cluster_115696
Operon1007	LCEOCHIL_01561	Unknown_Gene	Cluster_115696
Operon1008	LCEOCHIL_01562	Unknown_Gene	Cluster_115696
Operon1008	LCEOCHIL_01563	Unknown_Gene	Cluster_115696
Operon1008	LCEOCHIL_01564	Unknown_Gene	Cluster_115696
Operon1008	LCEOCHIL_01565	Unknown_Gene	Cluster_115696
Operon1008	LCEOCHIL_01566	Unknown_Gene	Cluster_115696
Operon1009	LCEOCHIL_01567	Unknown_Gene	Cluster_46469
Operon1009	LCEOCHIL_01568	Unknown_Gene	Cluster_46469
Operon1009	LCEOCHIL_01569	Unknown_Gene	Cluster_46469
Operon1009	LCEOCHIL_01570	Unknown_Gene	Cluster_46469
Operon1009	LCEOCHIL_01571	Unknown_Gene	Cluster_46469
Operon1009	LCEOCHIL_01572	Unknown_Gene	Cluster_46469
Operon1010	LCEOCHIL_01573	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1010	LCEOCHIL_01574	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1011	LCEOCHIL_01575	capB_1	Cluster_76707
Operon1012	LCEOCHIL_01576	Unknown_Gene	Cluster_24969
Operon1013	LCEOCHIL_01577	thrS	Cluster_24969
Operon1013	LCEOCHIL_01578	infC	Cluster_24969
Operon1014	LCEOCHIL_01579	rpmI	Cluster_144444
Operon1014	LCEOCHIL_01580	rplT	Cluster_144444
Operon1015	LCEOCHIL_01581	pheS	Cluster_110435
Operon1015	LCEOCHIL_01582	pheT	Cluster_110435
Operon1015	LCEOCHIL_01583	ihfA	Cluster_110435
Operon1015	LCEOCHIL_01584	Unknown_Gene	Cluster_110435
Operon1016	LCEOCHIL_01585	Unknown_Gene	Cluster_104878
Operon1017	LCEOCHIL_01586	Unknown_Gene	Cluster_31359
Operon1018	LCEOCHIL_01587	Unknown_Gene	Cluster_161759
Operon1018	LCEOCHIL_01588	Unknown_Gene	Cluster_161759
Operon1019	LCEOCHIL_01589	Unknown_Gene	Cluster_156779
Operon1019	LCEOCHIL_01590	Unknown_Gene	Cluster_156779
Operon1019	LCEOCHIL_01591	Unknown_Gene	Cluster_156779
Operon1019	LCEOCHIL_01592	Unknown_Gene	Cluster_156779
Operon1019	LCEOCHIL_01593	Unknown_Gene	Cluster_156779
Operon1019	LCEOCHIL_01594	Unknown_Gene	Cluster_156779
Operon1020	LCEOCHIL_01595	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1021	LCEOCHIL_01596	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1022	LCEOCHIL_01597	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1022	LCEOCHIL_01598	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1023	LCEOCHIL_01599	Unknown_Gene	Cluster_136022
Operon1023	LCEOCHIL_01600	Unknown_Gene	Cluster_136022
Operon1024	LCEOCHIL_01601	Unknown_Gene	Cluster_15284
Operon1025	LCEOCHIL_01602	Unknown_Gene	Cluster_43508
Operon1025	LCEOCHIL_01603	Unknown_Gene	Cluster_43508
Operon1026	LCEOCHIL_01604	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1026	LCEOCHIL_01605	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1026	LCEOCHIL_01606	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1026	LCEOCHIL_01607	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1027	LCEOCHIL_01608	Unknown_Gene	Cluster_159003
Operon1027	LCEOCHIL_01609	Unknown_Gene	Cluster_159003
Operon1027	LCEOCHIL_01610	Unknown_Gene	Cluster_159003
Operon1027	LCEOCHIL_01611	Unknown_Gene	Cluster_159003
Operon1027	LCEOCHIL_01612	Unknown_Gene	Cluster_159003
Operon1028	LCEOCHIL_01613	Unknown_Gene	Cluster_148213
Operon1028	LCEOCHIL_01614	Unknown_Gene	Cluster_148213
Operon1028	LCEOCHIL_01615	Unknown_Gene	Cluster_148213
Operon1029	LCEOCHIL_01616	Unknown_Gene	Cluster_118899
Operon1030	LCEOCHIL_01617	dusA	Cluster_118899
Operon1031	LCEOCHIL_01618	tal	Cluster_33016
Operon1032	LCEOCHIL_01619	Unknown_Gene	Cluster_52372
Operon1033	LCEOCHIL_01620	Unknown_Gene	Cluster_35787
Operon1033	LCEOCHIL_01621	rssB_1	Cluster_35787
Operon1034	LCEOCHIL_01622	Unknown_Gene	Cluster_35787
Operon1035	LCEOCHIL_01623	mlaA_1	Cluster_59226
Operon1036	LCEOCHIL_01624	phnX_1	Cluster_59226
Operon1037	LCEOCHIL_01625	Unknown_Gene	Cluster_100839
Operon1038	LCEOCHIL_01626	acnB	Cluster_19650
Operon1039	LCEOCHIL_01627	Unknown_Gene	Cluster_19650
Operon1040	LCEOCHIL_01628	queD	Cluster_143751
Operon1041	LCEOCHIL_01629	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1041	LCEOCHIL_01630	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1041	LCEOCHIL_01631	pphB_2	NO_CLUSTER_ASSOCIATION_FOUND
Operon1041	LCEOCHIL_01632	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1041	LCEOCHIL_01633	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1041	LCEOCHIL_01634	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1041	LCEOCHIL_01635	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1042	LCEOCHIL_01636	ureD	NO_CLUSTER_ASSOCIATION_FOUND
Operon1042	LCEOCHIL_01637	ureA	NO_CLUSTER_ASSOCIATION_FOUND
Operon1042	LCEOCHIL_01638	ureB	NO_CLUSTER_ASSOCIATION_FOUND
Operon1042	LCEOCHIL_01639	ureC	NO_CLUSTER_ASSOCIATION_FOUND
Operon1042	LCEOCHIL_01640	ureE	NO_CLUSTER_ASSOCIATION_FOUND
Operon1042	LCEOCHIL_01641	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1042	LCEOCHIL_01642	ureF	NO_CLUSTER_ASSOCIATION_FOUND
Operon1042	LCEOCHIL_01643	ureG	NO_CLUSTER_ASSOCIATION_FOUND
Operon1043	LCEOCHIL_01644	Unknown_Gene	Cluster_120395
Operon1044	LCEOCHIL_01645	mdoB	Cluster_92219
Operon1045	LCEOCHIL_01646	Unknown_Gene	Cluster_156780
Operon1045	LCEOCHIL_01647	Unknown_Gene	Cluster_156780
Operon1045	LCEOCHIL_01648	Unknown_Gene	Cluster_156780
Operon1046	LCEOCHIL_01649	Unknown_Gene	Cluster_155321
Operon1046	LCEOCHIL_01650	Unknown_Gene	Cluster_155321
Operon1046	LCEOCHIL_01651	Unknown_Gene	Cluster_155321
Operon1047	LCEOCHIL_01652	Unknown_Gene	Cluster_62138
Operon1047	LCEOCHIL_01653	pnuC	Cluster_62138
Operon1048	LCEOCHIL_01654	mcpP	Cluster_32185
Operon1049	LCEOCHIL_01655	uppP_1	Cluster_32185
Operon1049	LCEOCHIL_01656	Unknown_Gene	Cluster_32185
Operon1050	LCEOCHIL_01657	Unknown_Gene	Cluster_93075
Operon1050	LCEOCHIL_01658	dmlR_8	Cluster_93075
Operon1051	LCEOCHIL_01659	azoR1	Cluster_93075
Operon1052	LCEOCHIL_01660	uvrA_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon1053	LCEOCHIL_01661	Unknown_Gene	Cluster_28886
Operon1054	LCEOCHIL_01662	Unknown_Gene	Cluster_28886
Operon1054	LCEOCHIL_01663	Unknown_Gene	Cluster_28886
Operon1055	LCEOCHIL_01664	Unknown_Gene	Cluster_128096
Operon1056	LCEOCHIL_01665	Unknown_Gene	Cluster_123212
Operon1057	LCEOCHIL_01666	Unknown_Gene	Cluster_77400
Operon1057	LCEOCHIL_01667	Unknown_Gene	Cluster_77400
Operon1057	LCEOCHIL_01668	Unknown_Gene	Cluster_77400
Operon1057	LCEOCHIL_01669	Unknown_Gene	Cluster_77400
Operon1057	LCEOCHIL_01670	Unknown_Gene	Cluster_77400
Operon1058	LCEOCHIL_01671	Unknown_Gene	Cluster_69133
Operon1059	LCEOCHIL_01672	Unknown_Gene	Cluster_118473
Operon1059	LCEOCHIL_01673	Unknown_Gene	Cluster_118473
Operon1059	LCEOCHIL_01674	Unknown_Gene	Cluster_118473
Operon1059	LCEOCHIL_01675	Unknown_Gene	Cluster_118473
Operon1059	LCEOCHIL_01676	Unknown_Gene	Cluster_118473
Operon1059	LCEOCHIL_01677	Unknown_Gene	Cluster_118473
Operon1059	LCEOCHIL_01678	Unknown_Gene	Cluster_118473
Operon1059	LCEOCHIL_01679	Unknown_Gene	Cluster_118473
Operon1059	LCEOCHIL_01680	Unknown_Gene	Cluster_118473
Operon1059	LCEOCHIL_01681	Unknown_Gene	Cluster_118473
Operon1060	LCEOCHIL_01682	Unknown_Gene	Cluster_85231
Operon1060	LCEOCHIL_01683	Unknown_Gene	Cluster_85231
Operon1060	LCEOCHIL_01684	Unknown_Gene	Cluster_85231
Operon1060	LCEOCHIL_01685	Unknown_Gene	Cluster_85231
Operon1060	LCEOCHIL_01686	Unknown_Gene	Cluster_85231
Operon1060	LCEOCHIL_01687	Unknown_Gene	Cluster_85231
Operon1060	LCEOCHIL_01688	Unknown_Gene	Cluster_85231
Operon1061	LCEOCHIL_01689	Unknown_Gene	Cluster_106391
Operon1062	LCEOCHIL_01690	Unknown_Gene	Cluster_92107
Operon1063	LCEOCHIL_01691	Unknown_Gene	Cluster_124158
Operon1064	LCEOCHIL_01692	Unknown_Gene	Cluster_154788
Operon1064	LCEOCHIL_01693	Unknown_Gene	Cluster_154788
Operon1065	LCEOCHIL_01694	Unknown_Gene	Cluster_133780
Operon1066	LCEOCHIL_01695	Unknown_Gene	Cluster_113558
Operon1066	LCEOCHIL_01696	Unknown_Gene	Cluster_113558
Operon1067	LCEOCHIL_01697	Unknown_Gene	Cluster_120568
Operon1068	LCEOCHIL_01698	Unknown_Gene	Cluster_147823
Operon1069	LCEOCHIL_01699	Unknown_Gene	Cluster_22125
Operon1070	LCEOCHIL_01700	Unknown_Gene	Cluster_99542
Operon1071	LCEOCHIL_01701	Unknown_Gene	Cluster_34244
Operon1072	LCEOCHIL_01702	Unknown_Gene	Cluster_119154
Operon1073	LCEOCHIL_01703	Unknown_Gene	Cluster_130908
Operon1074	LCEOCHIL_01704	Unknown_Gene	Cluster_24999
Operon1075	LCEOCHIL_01705	Unknown_Gene	Cluster_26870
Operon1075	LCEOCHIL_01706	Unknown_Gene	Cluster_26870
Operon1076	LCEOCHIL_01707	Unknown_Gene	Cluster_45280
Operon1077	LCEOCHIL_01708	Unknown_Gene	Cluster_10575
Operon1078	LCEOCHIL_01709	topB_1	Cluster_105808
Operon1079	LCEOCHIL_01710	Unknown_Gene	Cluster_105808
