GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2171
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	ALBICJPK_00001	bauC	Cluster_135751
Operon745	ALBICJPK_01147	pmpR	Cluster_106935
Operon746	ALBICJPK_01148	ruvC	Cluster_65511
Operon747	ALBICJPK_01149	ruvA	Cluster_110407
Operon747	ALBICJPK_01150	ruvB_1	Cluster_110407
Operon748	ALBICJPK_01151	ybgC	Cluster_99361
Operon748	ALBICJPK_01152	tolQ_1	Cluster_99361
Operon748	ALBICJPK_01153	exbD_1	Cluster_99361
Operon748	ALBICJPK_01154	Unknown_Gene	Cluster_99361
Operon748	ALBICJPK_01155	tolB	Cluster_99361
Operon749	ALBICJPK_01156	pal_1	Cluster_150153
Operon750	ALBICJPK_01157	cpoB	Cluster_59340
Operon751	ALBICJPK_01158	queE	Cluster_71029
Operon751	ALBICJPK_01159	queC	Cluster_71029
Operon752	ALBICJPK_01160	Unknown_Gene	Cluster_143559
Operon753	ALBICJPK_01161	Unknown_Gene	Cluster_84543
Operon754	ALBICJPK_01162	mcpU_1	Cluster_141246
Operon755	ALBICJPK_01163	puuP_2	Cluster_15186
Operon756	ALBICJPK_01164	ydgA	Cluster_15186
Operon757	ALBICJPK_01165	nadA	Cluster_37265
Operon758	ALBICJPK_01166	bepA_2	Cluster_100806
Operon759	ALBICJPK_01167	tusA_2	Cluster_100806
Operon759	ALBICJPK_01168	Unknown_Gene	Cluster_100806
Operon760	ALBICJPK_01169	bcp_2	Cluster_40670
Operon760	ALBICJPK_01170	gcvR	Cluster_40670
Operon761	ALBICJPK_01171	dapA_2	Cluster_40670
Operon761	ALBICJPK_01172	bamC	Cluster_40670
Operon761	ALBICJPK_01173	yycJ	Cluster_40670
Operon761	ALBICJPK_01174	purC	Cluster_40670
Operon762	ALBICJPK_01175	Unknown_Gene	Cluster_121087
Operon763	ALBICJPK_01176	Unknown_Gene	Cluster_5461
Operon764	ALBICJPK_01177	Unknown_Gene	Cluster_91718
Operon765	ALBICJPK_01178	Unknown_Gene	Cluster_5650
Operon766	ALBICJPK_01179	Unknown_Gene	Cluster_5650
Operon766	ALBICJPK_01180	Unknown_Gene	Cluster_5650
Operon766	ALBICJPK_01181	Unknown_Gene	Cluster_5650
Operon767	ALBICJPK_01182	talB	Cluster_61936
Operon767	ALBICJPK_01183	xylB	Cluster_61936
Operon768	ALBICJPK_01184	purR_2	Cluster_61936
Operon769	ALBICJPK_01185	rbtD	Cluster_78244
Operon769	ALBICJPK_01186	Unknown_Gene	Cluster_78244
Operon770	ALBICJPK_01187	Unknown_Gene	Cluster_57551
Operon771	ALBICJPK_01188	Unknown_Gene	Cluster_69428
Operon772	ALBICJPK_01189	mqo_2	Cluster_27426
Operon773	ALBICJPK_01190	Unknown_Gene	Cluster_126685
Operon774	ALBICJPK_01191	namA_1	Cluster_126685
Operon775	ALBICJPK_01192	dadA1_1	Cluster_81735
Operon775	ALBICJPK_01193	LhpG	Cluster_81735
Operon776	ALBICJPK_01194	dapA_3	Cluster_159542
Operon776	ALBICJPK_01195	proR	Cluster_159542
Operon776	ALBICJPK_01196	yveA	Cluster_159542
Operon776	ALBICJPK_01197	Unknown_Gene	Cluster_159542
Operon777	ALBICJPK_01198	acsA_2	Cluster_68092
Operon778	ALBICJPK_01199	hdfR_3	Cluster_68092
Operon779	ALBICJPK_01200	Unknown_Gene	Cluster_34818
Operon780	ALBICJPK_01201	sasA_3	Cluster_46686
Operon780	ALBICJPK_01202	qseB_1	Cluster_46686
Operon780	ALBICJPK_01203	Unknown_Gene	Cluster_46686
Operon780	ALBICJPK_01204	Unknown_Gene	Cluster_46686
Operon781	ALBICJPK_01205	Unknown_Gene	Cluster_46686
Operon782	ALBICJPK_01206	queD	Cluster_150961
Operon783	ALBICJPK_01207	Unknown_Gene	Cluster_23666
Operon784	ALBICJPK_01208	acnB	Cluster_23666
Operon785	ALBICJPK_01209	mmgE	Cluster_71142
Operon786	ALBICJPK_01210	prpF	Cluster_82833
Operon787	ALBICJPK_01211	acnM	Cluster_78357
Operon788	ALBICJPK_01212	prpC	Cluster_145949
Operon789	ALBICJPK_01213	prpB	Cluster_31142
Operon789	ALBICJPK_01214	gntR_1	Cluster_31142
Operon790	ALBICJPK_01215	Unknown_Gene	Cluster_31142
Operon790	ALBICJPK_01216	Unknown_Gene	Cluster_31142
Operon790	ALBICJPK_01217	Unknown_Gene	Cluster_31142
Operon791	ALBICJPK_01218	pabB	Cluster_60315
Operon792	ALBICJPK_01219	cysH	Cluster_126768
Operon793	ALBICJPK_01220	cysB	Cluster_96555
Operon794	ALBICJPK_01221	Unknown_Gene	Cluster_98671
Operon795	ALBICJPK_01222	Unknown_Gene	Cluster_108385
Operon796	ALBICJPK_01223	aroF_1	Cluster_108385
Operon797	ALBICJPK_01224	Unknown_Gene	Cluster_11011
Operon798	ALBICJPK_01225	Unknown_Gene	Cluster_11011
Operon799	ALBICJPK_01226	ybiS	Cluster_103868
Operon800	ALBICJPK_01227	Unknown_Gene	Cluster_147383
Operon801	ALBICJPK_01228	tesA	NO_CLUSTER_ASSOCIATION_FOUND
Operon802	ALBICJPK_01229	lolD_2	NO_CLUSTER_ASSOCIATION_FOUND
Operon802	ALBICJPK_01230	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon803	ALBICJPK_01231	greB_1	Cluster_43707
Operon803	ALBICJPK_01232	Unknown_Gene	Cluster_43707
Operon804	ALBICJPK_01233	mhqP	Cluster_107708
Operon805	ALBICJPK_01234	mltF_1	Cluster_79900
Operon806	ALBICJPK_01235	tatD	Cluster_79900
Operon807	ALBICJPK_01236	Unknown_Gene	Cluster_98716
Operon808	ALBICJPK_01237	Unknown_Gene	Cluster_134279
Operon809	ALBICJPK_01238	Unknown_Gene	Cluster_132895
Operon810	ALBICJPK_01239	Unknown_Gene	Cluster_69525
Operon810	ALBICJPK_01240	Unknown_Gene	Cluster_69525
Operon811	ALBICJPK_01241	Unknown_Gene	Cluster_69525
Operon812	ALBICJPK_01242	ppiD	Cluster_65819
Operon813	ALBICJPK_01243	hupB_1	Cluster_82197
Operon814	ALBICJPK_01244	lon_1	Cluster_75048
Operon815	ALBICJPK_01245	clpX	Cluster_111146
Operon816	ALBICJPK_01246	clpP_1	Cluster_122475
Operon817	ALBICJPK_01247	tig	Cluster_43213
Operon818	ALBICJPK_01248	Unknown_Gene	Cluster_64415
Operon819	ALBICJPK_01249	Unknown_Gene	Cluster_164143
Operon819	ALBICJPK_01250	Unknown_Gene	Cluster_164143
Operon820	ALBICJPK_01251	Unknown_Gene	Cluster_97801
Operon821	ALBICJPK_01252	Unknown_Gene	Cluster_35237
Operon822	ALBICJPK_01253	folD	Cluster_35237
Operon823	ALBICJPK_01254	Unknown_Gene	Cluster_39143
Operon823	ALBICJPK_01255	aer_2	Cluster_39143
Operon824	ALBICJPK_01256	Unknown_Gene	Cluster_39143
Operon825	ALBICJPK_01257	dctA	Cluster_49320
Operon825	ALBICJPK_01258	lutR_1	Cluster_49320
Operon825	ALBICJPK_01259	Unknown_Gene	Cluster_49320
Operon826	ALBICJPK_01260	Unknown_Gene	Cluster_82781
Operon827	ALBICJPK_01261	Unknown_Gene	Cluster_114486
Operon828	ALBICJPK_01262	yhaJ_1	Cluster_114486
Operon829	ALBICJPK_01263	mcpA	Cluster_88138
Operon830	ALBICJPK_01264	Unknown_Gene	Cluster_106994
Operon831	ALBICJPK_01265	yabJ_1	Cluster_106261
Operon831	ALBICJPK_01266	dauA	Cluster_106261
Operon832	ALBICJPK_01267	Unknown_Gene	Cluster_106261
Operon833	ALBICJPK_01268	Unknown_Gene	Cluster_98888
Operon834	ALBICJPK_01269	Unknown_Gene	Cluster_99250
Operon835	ALBICJPK_01270	pfeA	Cluster_14948
Operon836	ALBICJPK_01271	Unknown_Gene	Cluster_132970
Operon837	ALBICJPK_01272	Unknown_Gene	Cluster_115519
Operon838	ALBICJPK_01273	calB_2	Cluster_115519
Operon839	ALBICJPK_01274	Unknown_Gene	Cluster_37022
Operon840	ALBICJPK_01275	Unknown_Gene	Cluster_29826
Operon841	ALBICJPK_01276	Unknown_Gene	Cluster_29826
Operon842	ALBICJPK_01277	Unknown_Gene	Cluster_99846
Operon842	ALBICJPK_01278	Unknown_Gene	Cluster_99846
Operon843	ALBICJPK_01279	Unknown_Gene	Cluster_140402
Operon844	ALBICJPK_01280	ctpF	Cluster_77846
Operon845	ALBICJPK_01281	pknD_2	Cluster_160058
Operon845	ALBICJPK_01282	tmoT_2	Cluster_160058
Operon846	ALBICJPK_01283	tdiR_1	Cluster_59030
Operon847	ALBICJPK_01284	Unknown_Gene	Cluster_76154
Operon847	ALBICJPK_01285	Unknown_Gene	Cluster_76154
Operon848	ALBICJPK_01286	bacA	NO_CLUSTER_ASSOCIATION_FOUND
Operon849	ALBICJPK_01287	dltA	NO_CLUSTER_ASSOCIATION_FOUND
Operon850	ALBICJPK_01288	lip2	Cluster_144996
Operon851	ALBICJPK_01289	pupA_1	Cluster_115318
Operon852	ALBICJPK_01290	yojI	Cluster_102582
Operon853	ALBICJPK_01291	egtB	Cluster_57552
Operon853	ALBICJPK_01292	cefD	Cluster_57552
Operon853	ALBICJPK_01293	Unknown_Gene	Cluster_57552
Operon854	ALBICJPK_01294	Unknown_Gene	Cluster_57552
Operon855	ALBICJPK_01295	oprM_2	Cluster_54888
Operon855	ALBICJPK_01296	macB	Cluster_54888
Operon855	ALBICJPK_01297	macA	Cluster_54888
Operon856	ALBICJPK_01298	fecI_2	Cluster_54888
Operon857	ALBICJPK_01299	Unknown_Gene	Cluster_73776
Operon858	ALBICJPK_01300	proP_2	Cluster_136515
Operon859	ALBICJPK_01301	mqsR	Cluster_121038
Operon859	ALBICJPK_01302	mqsA	Cluster_121038
Operon860	ALBICJPK_01303	Unknown_Gene	Cluster_8186
Operon861	ALBICJPK_01304	etfB	Cluster_8186
Operon861	ALBICJPK_01305	etfA	Cluster_8186
Operon862	ALBICJPK_01306	Unknown_Gene	Cluster_133591
Operon862	ALBICJPK_01307	Unknown_Gene	Cluster_133591
Operon862	ALBICJPK_01308	pal_2	Cluster_133591
Operon863	ALBICJPK_01309	hisC_4	Cluster_72233
Operon864	ALBICJPK_01310	Unknown_Gene	Cluster_142678
Operon865	ALBICJPK_01311	Unknown_Gene	Cluster_94959
Operon865	ALBICJPK_01312	Unknown_Gene	Cluster_94959
Operon866	ALBICJPK_01313	gltA	Cluster_22437
Operon867	ALBICJPK_01314	sdhC	Cluster_22437
Operon867	ALBICJPK_01315	sdhD	Cluster_22437
Operon867	ALBICJPK_01316	sdhA	Cluster_22437
Operon867	ALBICJPK_01317	sdhB	Cluster_22437
Operon868	ALBICJPK_01318	sucA	Cluster_44265
Operon868	ALBICJPK_01319	sucB	Cluster_44265
Operon869	ALBICJPK_01320	lpdG	Cluster_119694
Operon870	ALBICJPK_01321	sucC	Cluster_71437
Operon870	ALBICJPK_01322	sucD	Cluster_71437
Operon871	ALBICJPK_01323	brnQ	Cluster_15364
Operon872	ALBICJPK_01324	Unknown_Gene	Cluster_47517
Operon873	ALBICJPK_01325	Unknown_Gene	Cluster_81079
Operon874	ALBICJPK_01326	Unknown_Gene	Cluster_81079
Operon874	ALBICJPK_01327	Unknown_Gene	Cluster_81079
Operon875	ALBICJPK_01328	htpG	Cluster_139459
Operon876	ALBICJPK_01329	Unknown_Gene	Cluster_131085
Operon877	ALBICJPK_01330	Unknown_Gene	Cluster_105662
Operon878	ALBICJPK_01331	Unknown_Gene	Cluster_105662
Operon879	ALBICJPK_01332	fabB	Cluster_54495
Operon879	ALBICJPK_01333	fabA	Cluster_54495
Operon880	ALBICJPK_01334	rcsC_4	Cluster_37023
Operon880	ALBICJPK_01335	Unknown_Gene	Cluster_37023
Operon880	ALBICJPK_01336	cirA	Cluster_37023
Operon881	ALBICJPK_01337	gpsA	Cluster_37023
Operon881	ALBICJPK_01338	Unknown_Gene	Cluster_37023
Operon881	ALBICJPK_01339	sixA	Cluster_37023
Operon882	ALBICJPK_01340	Unknown_Gene	Cluster_76594
Operon882	ALBICJPK_01341	Unknown_Gene	Cluster_76594
Operon882	ALBICJPK_01342	menH_3	Cluster_76594
Operon883	ALBICJPK_01343	Unknown_Gene	Cluster_110411
Operon883	ALBICJPK_01344	ydiK_3	Cluster_110411
Operon884	ALBICJPK_01345	Unknown_Gene	Cluster_46397
Operon884	ALBICJPK_01346	kdpA	Cluster_46397
Operon884	ALBICJPK_01347	kdpB	Cluster_46397
Operon884	ALBICJPK_01348	kdpC	Cluster_46397
Operon885	ALBICJPK_01349	kdpD	Cluster_83972
Operon885	ALBICJPK_01350	kdpE	Cluster_83972
Operon886	ALBICJPK_01351	yhaJ_2	Cluster_131796
Operon887	ALBICJPK_01352	Unknown_Gene	Cluster_131796
Operon888	ALBICJPK_01353	argD_1	Cluster_54725
Operon889	ALBICJPK_01354	Unknown_Gene	Cluster_85081
Operon889	ALBICJPK_01355	Unknown_Gene	Cluster_85081
Operon890	ALBICJPK_01356	yejF	Cluster_51030
Operon890	ALBICJPK_01357	yejE_1	Cluster_51030
Operon890	ALBICJPK_01358	yejB_1	Cluster_51030
Operon890	ALBICJPK_01359	sgrR	Cluster_51030
Operon890	ALBICJPK_01360	Unknown_Gene	Cluster_51030
Operon891	ALBICJPK_01361	mltD	Cluster_116833
Operon892	ALBICJPK_01362	gloB_1	Cluster_127322
Operon893	ALBICJPK_01363	Unknown_Gene	Cluster_127322
Operon893	ALBICJPK_01364	rnhA	Cluster_127322
Operon894	ALBICJPK_01365	dnaQ	Cluster_153048
Operon895	ALBICJPK_01366	adiA	Cluster_36651
Operon896	ALBICJPK_01367	Unknown_Gene	Cluster_80424
Operon897	ALBICJPK_01368	chrR	Cluster_80424
Operon898	ALBICJPK_01369	btuB_2	Cluster_52290
Operon899	ALBICJPK_01370	lasR	Cluster_52290
Operon899	ALBICJPK_01371	Unknown_Gene	Cluster_52290
Operon899	ALBICJPK_01372	Unknown_Gene	Cluster_52290
Operon900	ALBICJPK_01373	Unknown_Gene	Cluster_68565
Operon901	ALBICJPK_01374	Unknown_Gene	Cluster_68565
Operon902	ALBICJPK_01375	nuoN	Cluster_89364
Operon902	ALBICJPK_01376	nuoM	Cluster_89364
Operon902	ALBICJPK_01377	nuoL	Cluster_89364
Operon902	ALBICJPK_01378	nuoK	Cluster_89364
Operon902	ALBICJPK_01379	nuoJ	Cluster_89364
Operon902	ALBICJPK_01380	nuoI	Cluster_89364
Operon902	ALBICJPK_01381	nuoH	Cluster_89364
Operon902	ALBICJPK_01382	nuoG	Cluster_89364
Operon903	ALBICJPK_01383	nuoF	Cluster_131414
Operon903	ALBICJPK_01384	nuoE_2	Cluster_131414
Operon903	ALBICJPK_01385	nuoC	Cluster_131414
Operon904	ALBICJPK_01386	nuoB	Cluster_20397
Operon904	ALBICJPK_01387	ndhC	Cluster_20397
Operon905	ALBICJPK_01388	Unknown_Gene	Cluster_24132
Operon906	ALBICJPK_01389	Unknown_Gene	Cluster_45722
Operon907	ALBICJPK_01390	aceA	Cluster_10255
Operon908	ALBICJPK_01391	Unknown_Gene	Cluster_80539
Operon909	ALBICJPK_01392	Unknown_Gene	Cluster_80539
Operon910	ALBICJPK_01393	bicA	Cluster_4377
Operon911	ALBICJPK_01394	fusB	Cluster_135760
Operon912	ALBICJPK_01395	Unknown_Gene	Cluster_55300
Operon913	ALBICJPK_01396	Unknown_Gene	Cluster_55300
Operon914	ALBICJPK_01397	gabT	Cluster_67283
Operon915	ALBICJPK_01398	gcvA_4	Cluster_37905
Operon916	ALBICJPK_01399	gabP_2	Cluster_37905
Operon917	ALBICJPK_01400	Unknown_Gene	Cluster_148083
Operon918	ALBICJPK_01401	yfcG_3	Cluster_125950
Operon919	ALBICJPK_01402	pitA_1	Cluster_96594
Operon920	ALBICJPK_01403	Unknown_Gene	Cluster_96594
Operon920	ALBICJPK_01404	Unknown_Gene	Cluster_96594
Operon921	ALBICJPK_01405	Unknown_Gene	Cluster_112464
Operon922	ALBICJPK_01406	gacA	Cluster_143506
Operon922	ALBICJPK_01407	uvrC	Cluster_143506
Operon922	ALBICJPK_01408	pgsA	Cluster_143506
Operon923	ALBICJPK_01409	Unknown_Gene	Cluster_142851
Operon924	ALBICJPK_01410	Unknown_Gene	Cluster_11341
Operon925	ALBICJPK_01411	Unknown_Gene	Cluster_14618
Operon926	ALBICJPK_01412	Unknown_Gene	Cluster_125769
Operon927	ALBICJPK_01413	Unknown_Gene	Cluster_125769
Operon928	ALBICJPK_01414	accA1	Cluster_28443
Operon928	ALBICJPK_01415	dpgD	Cluster_28443
Operon928	ALBICJPK_01416	Unknown_Gene	Cluster_28443
Operon928	ALBICJPK_01417	acdA_1	Cluster_28443
Operon929	ALBICJPK_01418	fadD3_1	Cluster_28443
Operon930	ALBICJPK_01419	Unknown_Gene	Cluster_87849
Operon931	ALBICJPK_01420	glgE2	Cluster_87849
Operon932	ALBICJPK_01421	Unknown_Gene	Cluster_79493
Operon932	ALBICJPK_01422	glgB_1	Cluster_79493
Operon933	ALBICJPK_01423	Unknown_Gene	Cluster_29501
Operon934	ALBICJPK_01424	Unknown_Gene	Cluster_101999
Operon935	ALBICJPK_01425	glgX	Cluster_91742
Operon936	ALBICJPK_01426	Unknown_Gene	Cluster_5501
Operon936	ALBICJPK_01427	treY	Cluster_5501
Operon936	ALBICJPK_01428	malQ	Cluster_5501
Operon936	ALBICJPK_01429	glgB_2	Cluster_5501
Operon936	ALBICJPK_01430	glgA	Cluster_5501
Operon937	ALBICJPK_01431	Unknown_Gene	Cluster_57997
Operon938	ALBICJPK_01432	Unknown_Gene	Cluster_57997
Operon938	ALBICJPK_01433	zwf_1	Cluster_57997
Operon939	ALBICJPK_01434	Unknown_Gene	Cluster_105894
Operon940	ALBICJPK_01435	Unknown_Gene	Cluster_140408
Operon940	ALBICJPK_01436	rutR_2	Cluster_140408
Operon941	ALBICJPK_01437	preA	Cluster_76820
Operon941	ALBICJPK_01438	gltD_2	Cluster_76820
Operon942	ALBICJPK_01439	dht	Cluster_129844
Operon943	ALBICJPK_01440	Unknown_Gene	Cluster_155124
Operon944	ALBICJPK_01441	pucI_1	Cluster_155124
Operon944	ALBICJPK_01442	hyuC_1	Cluster_155124
Operon945	ALBICJPK_01443	rnz	Cluster_125949
Operon946	ALBICJPK_01444	blc_2	Cluster_85731
Operon947	ALBICJPK_01445	nhaB	Cluster_83360
Operon948	ALBICJPK_01446	crt	Cluster_83360
Operon948	ALBICJPK_01447	nudC_1	Cluster_83360
Operon949	ALBICJPK_01448	yfcA_3	Cluster_92806
Operon950	ALBICJPK_01449	Unknown_Gene	Cluster_58788
Operon951	ALBICJPK_01450	cpo	Cluster_62340
Operon952	ALBICJPK_01451	puuB_4	Cluster_85742
Operon953	ALBICJPK_01452	topB	Cluster_56905
Operon954	ALBICJPK_01453	Unknown_Gene	Cluster_128204
Operon954	ALBICJPK_01454	roxA	Cluster_128204
Operon955	ALBICJPK_01455	purB	Cluster_53703
Operon956	ALBICJPK_01456	hflD	Cluster_145974
Operon956	ALBICJPK_01457	mnmA	Cluster_145974
Operon957	ALBICJPK_01458	nudJ	Cluster_58783
Operon958	ALBICJPK_01459	icd_1	Cluster_16504
Operon959	ALBICJPK_01460	icd_2	Cluster_16504
Operon960	ALBICJPK_01461	cspD	Cluster_24698
Operon961	ALBICJPK_01462	clpS	Cluster_24698
Operon961	ALBICJPK_01463	clpA	Cluster_24698
Operon962	ALBICJPK_01464	infA	Cluster_114063
Operon963	ALBICJPK_01465	bpt	Cluster_148598
Operon964	ALBICJPK_01466	aat	Cluster_12025
Operon965	ALBICJPK_01467	ftsK	Cluster_12025
Operon966	ALBICJPK_01468	lolA	Cluster_144400
Operon966	ALBICJPK_01469	rarA	Cluster_144400
Operon966	ALBICJPK_01470	crcB	Cluster_144400
Operon966	ALBICJPK_01471	serS	Cluster_144400
Operon966	ALBICJPK_01472	cysG_1	Cluster_144400
Operon967	ALBICJPK_01473	yqjG	Cluster_121433
Operon968	ALBICJPK_01474	trpD_1	Cluster_120417
Operon968	ALBICJPK_01475	tusE	Cluster_120417
Operon968	ALBICJPK_01476	tusB	Cluster_120417
Operon968	ALBICJPK_01477	dsrF	Cluster_120417
Operon968	ALBICJPK_01478	dsrE	Cluster_120417
Operon969	ALBICJPK_01479	xanP	Cluster_26392
Operon970	ALBICJPK_01480	yccA	Cluster_92625
Operon971	ALBICJPK_01481	Unknown_Gene	Cluster_92625
Operon972	ALBICJPK_01482	Unknown_Gene	Cluster_149111
Operon973	ALBICJPK_01483	umuC	Cluster_149111
Operon974	ALBICJPK_01484	Unknown_Gene	Cluster_24788
Operon975	ALBICJPK_01485	Unknown_Gene	Cluster_131971
Operon976	ALBICJPK_01486	fabF_1	Cluster_12968
Operon976	ALBICJPK_01487	Unknown_Gene	Cluster_12968
Operon977	ALBICJPK_01488	swrC	Cluster_137938
Operon977	ALBICJPK_01489	mdtA_1	Cluster_137938
Operon978	ALBICJPK_01490	Unknown_Gene	Cluster_115319
Operon979	ALBICJPK_01491	oprM_3	Cluster_115319
Operon980	ALBICJPK_01492	Unknown_Gene	Cluster_155951
Operon980	ALBICJPK_01493	Unknown_Gene	Cluster_155951
Operon981	ALBICJPK_01494	dauE	Cluster_76155
Operon982	ALBICJPK_01495	rhaS_3	Cluster_76155
Operon983	ALBICJPK_01496	Unknown_Gene	Cluster_55347
Operon983	ALBICJPK_01497	Unknown_Gene	Cluster_55347
Operon984	ALBICJPK_01498	Unknown_Gene	Cluster_125115
Operon985	ALBICJPK_01499	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon986	ALBICJPK_01500	hcnB	Cluster_163874
Operon986	ALBICJPK_01501	yabJ_2	Cluster_163874
Operon987	ALBICJPK_01502	Unknown_Gene	Cluster_5165
Operon988	ALBICJPK_01503	fpvA_1	Cluster_477
Operon989	ALBICJPK_01504	Unknown_Gene	Cluster_16100
Operon990	ALBICJPK_01505	Unknown_Gene	Cluster_80002
Operon991	ALBICJPK_01506	clcA	Cluster_90608
Operon992	ALBICJPK_01507	nhaA_1	Cluster_31499
Operon993	ALBICJPK_01508	Unknown_Gene	Cluster_31499
Operon994	ALBICJPK_01509	Unknown_Gene	Cluster_114017
Operon994	ALBICJPK_01510	Unknown_Gene	Cluster_114017
Operon994	ALBICJPK_01511	Unknown_Gene	Cluster_114017
Operon995	ALBICJPK_01512	trkI_1	Cluster_16551
Operon996	ALBICJPK_01513	pcaJ	Cluster_9406
Operon996	ALBICJPK_01514	pcaI	Cluster_9406
Operon997	ALBICJPK_01515	Unknown_Gene	Cluster_3086
Operon998	ALBICJPK_01516	Unknown_Gene	Cluster_3086
Operon999	ALBICJPK_01517	dmlR_6	Cluster_118207
Operon1000	ALBICJPK_01518	yfcA_4	Cluster_118207
Operon1001	ALBICJPK_01519	Unknown_Gene	Cluster_82199
Operon1002	ALBICJPK_01520	Unknown_Gene	Cluster_98633
Operon1003	ALBICJPK_01521	Unknown_Gene	Cluster_11093
Operon1004	ALBICJPK_01522	Unknown_Gene	Cluster_104826
Operon1005	ALBICJPK_01523	Unknown_Gene	Cluster_104826
Operon1006	ALBICJPK_01524	Unknown_Gene	Cluster_67180
Operon1007	ALBICJPK_01525	fabG_3	Cluster_164013
Operon1007	ALBICJPK_01526	Unknown_Gene	Cluster_164013
Operon1008	ALBICJPK_01527	Unknown_Gene	Cluster_148501
Operon1009	ALBICJPK_01528	Unknown_Gene	Cluster_60023
Operon1010	ALBICJPK_01529	sohB	Cluster_60023
Operon1011	ALBICJPK_01530	Unknown_Gene	Cluster_81078
Operon1012	ALBICJPK_01531	Unknown_Gene	Cluster_157925
Operon1012	ALBICJPK_01532	Unknown_Gene	Cluster_157925
Operon1012	ALBICJPK_01533	Unknown_Gene	Cluster_157925
Operon1012	ALBICJPK_01534	Unknown_Gene	Cluster_157925
Operon1013	ALBICJPK_01535	Unknown_Gene	Cluster_79320
Operon1014	ALBICJPK_01536	Unknown_Gene	Cluster_50839
Operon1014	ALBICJPK_01537	Unknown_Gene	Cluster_50839
Operon1015	ALBICJPK_01538	Unknown_Gene	Cluster_11620
Operon1015	ALBICJPK_01539	Unknown_Gene	Cluster_11620
Operon1016	ALBICJPK_01540	Unknown_Gene	Cluster_11620
Operon1017	ALBICJPK_01541	Unknown_Gene	Cluster_7713
Operon1018	ALBICJPK_01542	Unknown_Gene	Cluster_59899
Operon1018	ALBICJPK_01543	Unknown_Gene	Cluster_59899
Operon1019	ALBICJPK_01544	Unknown_Gene	Cluster_11128
Operon1020	ALBICJPK_01545	Unknown_Gene	Cluster_76680
Operon1020	ALBICJPK_01546	Unknown_Gene	Cluster_76680
Operon1021	ALBICJPK_01547	Unknown_Gene	Cluster_35943
Operon1022	ALBICJPK_01548	Unknown_Gene	Cluster_35943
Operon1022	ALBICJPK_01549	Unknown_Gene	Cluster_35943
Operon1022	ALBICJPK_01550	clpP_2	Cluster_35943
Operon1022	ALBICJPK_01551	Unknown_Gene	Cluster_35943
Operon1023	ALBICJPK_01552	Unknown_Gene	Cluster_145989
Operon1023	ALBICJPK_01553	Unknown_Gene	Cluster_145989
Operon1023	ALBICJPK_01554	Unknown_Gene	Cluster_145989
Operon1023	ALBICJPK_01555	Unknown_Gene	Cluster_145989
Operon1023	ALBICJPK_01556	Unknown_Gene	Cluster_145989
Operon1024	ALBICJPK_01557	Unknown_Gene	Cluster_127330
Operon1024	ALBICJPK_01558	Unknown_Gene	Cluster_127330
Operon1024	ALBICJPK_01559	Unknown_Gene	Cluster_127330
Operon1024	ALBICJPK_01560	Unknown_Gene	Cluster_127330
Operon1024	ALBICJPK_01561	Unknown_Gene	Cluster_127330
Operon1024	ALBICJPK_01562	Unknown_Gene	Cluster_127330
Operon1025	ALBICJPK_01563	Unknown_Gene	Cluster_153849
Operon1026	ALBICJPK_01564	gpFI	Cluster_137939
Operon1026	ALBICJPK_01565	Unknown_Gene	Cluster_137939
Operon1026	ALBICJPK_01566	Unknown_Gene	Cluster_137939
Operon1027	ALBICJPK_01567	Unknown_Gene	Cluster_83862
Operon1027	ALBICJPK_01568	Unknown_Gene	Cluster_83862
Operon1027	ALBICJPK_01569	Unknown_Gene	Cluster_83862
Operon1027	ALBICJPK_01570	Unknown_Gene	Cluster_83862
Operon1027	ALBICJPK_01571	Unknown_Gene	Cluster_83862
Operon1027	ALBICJPK_01572	Unknown_Gene	Cluster_83862
Operon1028	ALBICJPK_01573	dpnM	Cluster_75263
Operon1029	ALBICJPK_01574	Unknown_Gene	Cluster_66599
Operon1030	ALBICJPK_01575	Unknown_Gene	Cluster_4484
Operon1031	ALBICJPK_01576	Unknown_Gene	Cluster_25655
Operon1031	ALBICJPK_01577	Unknown_Gene	Cluster_25655
Operon1032	ALBICJPK_01578	Unknown_Gene	Cluster_11765
Operon1033	ALBICJPK_01579	Unknown_Gene	Cluster_506
Operon1034	ALBICJPK_01580	Unknown_Gene	Cluster_5079
Operon1035	ALBICJPK_01581	Unknown_Gene	Cluster_5079
Operon1036	ALBICJPK_01582	Unknown_Gene	Cluster_91751
Operon1037	ALBICJPK_01583	Unknown_Gene	Cluster_135157
Operon1038	ALBICJPK_01584	Unknown_Gene	Cluster_135157
Operon1039	ALBICJPK_01585	Unknown_Gene	Cluster_36652
Operon1040	ALBICJPK_01586	Unknown_Gene	Cluster_123863
Operon1041	ALBICJPK_01587	adhP	Cluster_19533
Operon1042	ALBICJPK_01588	Unknown_Gene	Cluster_19533
Operon1043	ALBICJPK_01589	yphA	Cluster_114016
Operon1044	ALBICJPK_01590	Unknown_Gene	Cluster_58787
Operon1045	ALBICJPK_01591	Unknown_Gene	Cluster_58787
