GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2071
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	OMAKBKMK_00001	fatA	Cluster_100869
Operon895	OMAKBKMK_01338	rmlD_2	Cluster_46602
Operon895	OMAKBKMK_01339	wbgU	Cluster_46602
Operon896	OMAKBKMK_01340	ompW	Cluster_110594
Operon897	OMAKBKMK_01341	Unknown_Gene	Cluster_93914
Operon897	OMAKBKMK_01342	Unknown_Gene	Cluster_93914
Operon897	OMAKBKMK_01343	ytrE	Cluster_93914
Operon897	OMAKBKMK_01344	Unknown_Gene	Cluster_93914
Operon898	OMAKBKMK_01345	Unknown_Gene	Cluster_93914
Operon899	OMAKBKMK_01346	cnoX	Cluster_167969
Operon899	OMAKBKMK_01347	Unknown_Gene	Cluster_167969
Operon899	OMAKBKMK_01348	Unknown_Gene	Cluster_167969
Operon900	OMAKBKMK_01349	nrdR	Cluster_112135
Operon900	OMAKBKMK_01350	ribD	Cluster_112135
Operon900	OMAKBKMK_01351	ribE	Cluster_112135
Operon900	OMAKBKMK_01352	ribBA_1	Cluster_112135
Operon901	OMAKBKMK_01353	ribH	Cluster_123279
Operon901	OMAKBKMK_01354	nusB	Cluster_123279
Operon901	OMAKBKMK_01355	thiL	Cluster_123279
Operon901	OMAKBKMK_01356	pgpA	Cluster_123279
Operon901	OMAKBKMK_01357	Unknown_Gene	Cluster_123279
Operon902	OMAKBKMK_01358	Unknown_Gene	Cluster_93224
Operon902	OMAKBKMK_01359	Unknown_Gene	Cluster_93224
Operon902	OMAKBKMK_01360	btuF	Cluster_93224
Operon903	OMAKBKMK_01361	btuB_1	Cluster_133414
Operon904	OMAKBKMK_01362	dxs	Cluster_108983
Operon905	OMAKBKMK_01363	ispA	Cluster_69679
Operon905	OMAKBKMK_01364	xseB	Cluster_69679
Operon906	OMAKBKMK_01365	ribB	Cluster_20574
Operon907	OMAKBKMK_01366	Unknown_Gene	Cluster_20574
Operon908	OMAKBKMK_01367	besA_1	Cluster_129512
Operon909	OMAKBKMK_01368	pfeS_2	Cluster_62525
Operon909	OMAKBKMK_01369	ompR_2	Cluster_62525
Operon910	OMAKBKMK_01370	fpvA_1	Cluster_62525
Operon911	OMAKBKMK_01371	Unknown_Gene	Cluster_25209
Operon912	OMAKBKMK_01372	Unknown_Gene	Cluster_7537
Operon912	OMAKBKMK_01373	Unknown_Gene	Cluster_7537
Operon913	OMAKBKMK_01374	prtR_1	Cluster_70858
Operon914	OMAKBKMK_01375	ppa	Cluster_121242
Operon915	OMAKBKMK_01376	mtfA	Cluster_63328
Operon915	OMAKBKMK_01377	dedA	Cluster_63328
Operon916	OMAKBKMK_01378	Unknown_Gene	Cluster_112078
Operon917	OMAKBKMK_01379	eutC	Cluster_70476
Operon917	OMAKBKMK_01380	eutB	Cluster_70476
Operon917	OMAKBKMK_01381	potE_1	Cluster_70476
Operon918	OMAKBKMK_01382	adh_1	Cluster_41736
Operon919	OMAKBKMK_01383	acoR_1	Cluster_41736
Operon920	OMAKBKMK_01384	mpl	Cluster_139511
Operon920	OMAKBKMK_01385	ubiX	Cluster_139511
Operon920	OMAKBKMK_01386	Unknown_Gene	Cluster_139511
Operon921	OMAKBKMK_01387	Unknown_Gene	Cluster_120549
Operon921	OMAKBKMK_01388	Unknown_Gene	Cluster_120549
Operon922	OMAKBKMK_01389	Unknown_Gene	Cluster_86507
Operon923	OMAKBKMK_01390	cidA	Cluster_86507
Operon923	OMAKBKMK_01391	yohK	Cluster_86507
Operon923	OMAKBKMK_01392	Unknown_Gene	Cluster_86507
Operon924	OMAKBKMK_01393	Unknown_Gene	Cluster_58383
Operon924	OMAKBKMK_01394	Unknown_Gene	Cluster_58383
Operon925	OMAKBKMK_01395	proA	Cluster_58383
Operon925	OMAKBKMK_01396	nadD	Cluster_58383
Operon925	OMAKBKMK_01397	rsfS	Cluster_58383
Operon925	OMAKBKMK_01398	rlmH	Cluster_58383
Operon925	OMAKBKMK_01399	mrdA_1	Cluster_58383
Operon925	OMAKBKMK_01400	mrdB	Cluster_58383
Operon925	OMAKBKMK_01401	mltB	Cluster_58383
Operon925	OMAKBKMK_01402	rlpA_1	Cluster_58383
Operon926	OMAKBKMK_01403	dacC	Cluster_38840
Operon927	OMAKBKMK_01404	Unknown_Gene	Cluster_135669
Operon927	OMAKBKMK_01405	lipB	Cluster_135669
Operon927	OMAKBKMK_01406	lipA	Cluster_135669
Operon928	OMAKBKMK_01407	ykfA	Cluster_126813
Operon929	OMAKBKMK_01408	Unknown_Gene	Cluster_145953
Operon930	OMAKBKMK_01409	Unknown_Gene	Cluster_101555
Operon931	OMAKBKMK_01410	holA	Cluster_163050
Operon931	OMAKBKMK_01411	lptE	Cluster_163050
Operon932	OMAKBKMK_01412	leuS	Cluster_49307
Operon933	OMAKBKMK_01413	Unknown_Gene	Cluster_49307
Operon934	OMAKBKMK_01414	Unknown_Gene	Cluster_93200
Operon935	OMAKBKMK_01415	lnt	Cluster_76397
Operon935	OMAKBKMK_01416	corC	Cluster_76397
Operon935	OMAKBKMK_01417	ybeY	Cluster_76397
Operon935	OMAKBKMK_01418	ybeZ	Cluster_76397
Operon936	OMAKBKMK_01419	Unknown_Gene	Cluster_76397
Operon937	OMAKBKMK_01420	Unknown_Gene	Cluster_65024
Operon938	OMAKBKMK_01421	hemL_1	Cluster_39439
Operon938	OMAKBKMK_01422	thiE_1	Cluster_39439
Operon938	OMAKBKMK_01423	thiD	Cluster_39439
Operon939	OMAKBKMK_01424	rcsC_6	Cluster_39439
Operon940	OMAKBKMK_01425	aidB	Cluster_99501
Operon941	OMAKBKMK_01426	amn	Cluster_137795
Operon941	OMAKBKMK_01427	rluE	Cluster_137795
Operon941	OMAKBKMK_01428	Unknown_Gene	Cluster_137795
Operon942	OMAKBKMK_01429	Unknown_Gene	Cluster_167289
Operon942	OMAKBKMK_01430	lrp_2	Cluster_167289
Operon943	OMAKBKMK_01431	Unknown_Gene	Cluster_19449
Operon944	OMAKBKMK_01432	fieF	Cluster_105052
Operon944	OMAKBKMK_01433	Unknown_Gene	Cluster_105052
Operon945	OMAKBKMK_01434	hrpB	Cluster_105052
Operon946	OMAKBKMK_01435	Unknown_Gene	Cluster_81836
Operon947	OMAKBKMK_01436	Unknown_Gene	Cluster_81836
Operon948	OMAKBKMK_01437	Unknown_Gene	Cluster_143434
Operon949	OMAKBKMK_01438	yedA	Cluster_86200
Operon950	OMAKBKMK_01439	rhlE_2	Cluster_148352
Operon951	OMAKBKMK_01440	baiN	Cluster_105760
Operon952	OMAKBKMK_01441	Unknown_Gene	Cluster_107643
Operon953	OMAKBKMK_01442	Unknown_Gene	Cluster_107643
Operon954	OMAKBKMK_01443	tesB_1	Cluster_120751
Operon954	OMAKBKMK_01444	gph_2	Cluster_120751
Operon955	OMAKBKMK_01445	Unknown_Gene	Cluster_83543
Operon956	OMAKBKMK_01446	lutR_1	Cluster_40413
Operon957	OMAKBKMK_01447	ttuB_1	Cluster_40413
Operon957	OMAKBKMK_01448	gudD	Cluster_40413
Operon958	OMAKBKMK_01449	hcaR_1	Cluster_117055
Operon959	OMAKBKMK_01450	Unknown_Gene	Cluster_117055
Operon960	OMAKBKMK_01451	gudP_1	Cluster_74908
Operon961	OMAKBKMK_01452	bauD	Cluster_22668
Operon962	OMAKBKMK_01453	Unknown_Gene	Cluster_52956
Operon963	OMAKBKMK_01454	Unknown_Gene	Cluster_52956
Operon964	OMAKBKMK_01455	Unknown_Gene	Cluster_145937
Operon964	OMAKBKMK_01456	Unknown_Gene	Cluster_145937
Operon965	OMAKBKMK_01457	Unknown_Gene	Cluster_102941
Operon966	OMAKBKMK_01458	Unknown_Gene	Cluster_102941
Operon966	OMAKBKMK_01459	Unknown_Gene	Cluster_102941
Operon966	OMAKBKMK_01460	Unknown_Gene	Cluster_102941
Operon967	OMAKBKMK_01461	Unknown_Gene	Cluster_41665
Operon967	OMAKBKMK_01462	Unknown_Gene	Cluster_41665
Operon967	OMAKBKMK_01463	der_1	Cluster_41665
Operon968	OMAKBKMK_01464	Unknown_Gene	Cluster_48212
Operon969	OMAKBKMK_01465	Unknown_Gene	Cluster_2614
Operon970	OMAKBKMK_01466	Unknown_Gene	Cluster_12592
Operon970	OMAKBKMK_01467	Unknown_Gene	Cluster_12592
Operon970	OMAKBKMK_01468	Unknown_Gene	Cluster_12592
Operon971	OMAKBKMK_01469	rapA_1	Cluster_55568
Operon971	OMAKBKMK_01470	Unknown_Gene	Cluster_55568
Operon972	OMAKBKMK_01471	Unknown_Gene	Cluster_83352
Operon972	OMAKBKMK_01472	rep_2	Cluster_83352
Operon973	OMAKBKMK_01473	Unknown_Gene	Cluster_9113
Operon973	OMAKBKMK_01474	Unknown_Gene	Cluster_9113
Operon974	OMAKBKMK_01475	Unknown_Gene	Cluster_385
Operon974	OMAKBKMK_01476	Unknown_Gene	Cluster_385
Operon975	OMAKBKMK_01477	intA_2	Cluster_4654
Operon976	OMAKBKMK_01478	ssrA	NO_CLUSTER_ASSOCIATION_FOUND
Operon977	OMAKBKMK_01479	Unknown_Gene	Cluster_83544
Operon978	OMAKBKMK_01480	Unknown_Gene	Cluster_19498
Operon978	OMAKBKMK_01481	Unknown_Gene	Cluster_19498
Operon979	OMAKBKMK_01482	Unknown_Gene	Cluster_9554
Operon979	OMAKBKMK_01483	Unknown_Gene	Cluster_9554
Operon980	OMAKBKMK_01484	Unknown_Gene	Cluster_135612
Operon981	OMAKBKMK_01485	lldD	Cluster_143785
Operon982	OMAKBKMK_01486	glcA	Cluster_41376
Operon983	OMAKBKMK_01487	pdhR	Cluster_41376
Operon984	OMAKBKMK_01488	smpB	Cluster_76262
Operon985	OMAKBKMK_01489	ratA	Cluster_76262
Operon986	OMAKBKMK_01490	bamE	Cluster_118568
Operon987	OMAKBKMK_01491	fur	Cluster_118568
Operon988	OMAKBKMK_01492	recN	Cluster_63313
Operon989	OMAKBKMK_01493	grpE	Cluster_63313
Operon990	OMAKBKMK_01494	dnaK_1	Cluster_115597
Operon991	OMAKBKMK_01495	dnaJ	Cluster_60768
Operon991	OMAKBKMK_01496	dapB	Cluster_60768
Operon992	OMAKBKMK_01497	carA	Cluster_21390
Operon993	OMAKBKMK_01498	carB	Cluster_113305
Operon993	OMAKBKMK_01499	greA	Cluster_113305
Operon993	OMAKBKMK_01500	Unknown_Gene	Cluster_113305
Operon994	OMAKBKMK_01501	yhbY	Cluster_115097
Operon995	OMAKBKMK_01502	rlmE	Cluster_115097
Operon996	OMAKBKMK_01503	ftsH	Cluster_60789
Operon996	OMAKBKMK_01504	folP	Cluster_60789
Operon996	OMAKBKMK_01505	glmM	Cluster_60789
Operon997	OMAKBKMK_01506	tpiA	Cluster_141178
Operon997	OMAKBKMK_01507	secG	Cluster_141178
Operon997	OMAKBKMK_01508	Unknown_Gene	Cluster_141178
Operon998	OMAKBKMK_01509	Unknown_Gene	Cluster_117362
Operon999	OMAKBKMK_01510	rimP	Cluster_130485
Operon1000	OMAKBKMK_01511	nusA	Cluster_143575
Operon1000	OMAKBKMK_01512	infB	Cluster_143575
Operon1001	OMAKBKMK_01513	rbfA	Cluster_105614
Operon1001	OMAKBKMK_01514	truB	Cluster_105614
Operon1002	OMAKBKMK_01515	rpsO	Cluster_85894
Operon1003	OMAKBKMK_01516	pnp	Cluster_42654
Operon1004	OMAKBKMK_01517	Unknown_Gene	Cluster_39676
Operon1005	OMAKBKMK_01518	lsrG	Cluster_146194
Operon1006	OMAKBKMK_01519	Unknown_Gene	Cluster_146194
Operon1007	OMAKBKMK_01520	Unknown_Gene	Cluster_130892
Operon1008	OMAKBKMK_01521	Unknown_Gene	Cluster_159811
Operon1008	OMAKBKMK_01522	acsA_1	Cluster_159811
Operon1009	OMAKBKMK_01523	pgi	Cluster_144613
Operon1010	OMAKBKMK_01524	panC	Cluster_39928
Operon1010	OMAKBKMK_01525	panB	Cluster_39928
Operon1011	OMAKBKMK_01526	folK	Cluster_2733
Operon1011	OMAKBKMK_01527	pcnB	Cluster_2733
Operon1012	OMAKBKMK_01528	zraR	Cluster_44960
Operon1012	OMAKBKMK_01529	sasA_3	Cluster_44960
Operon1012	OMAKBKMK_01530	Unknown_Gene	Cluster_44960
Operon1013	OMAKBKMK_01531	gluQ	Cluster_143737
Operon1014	OMAKBKMK_01532	dksA_1	Cluster_55458
Operon1015	OMAKBKMK_01533	aspC	Cluster_55458
Operon1015	OMAKBKMK_01534	sfsA	Cluster_55458
Operon1016	OMAKBKMK_01535	Unknown_Gene	Cluster_84092
Operon1017	OMAKBKMK_01536	hmuT	Cluster_84092
Operon1017	OMAKBKMK_01537	hmuU_1	Cluster_84092
Operon1017	OMAKBKMK_01538	hmuV	Cluster_84092
Operon1017	OMAKBKMK_01539	Unknown_Gene	Cluster_84092
Operon1018	OMAKBKMK_01540	Unknown_Gene	Cluster_69166
Operon1019	OMAKBKMK_01541	Unknown_Gene	Cluster_104901
Operon1020	OMAKBKMK_01542	mrcB	Cluster_104901
Operon1020	OMAKBKMK_01543	Unknown_Gene	Cluster_104901
Operon1020	OMAKBKMK_01544	Unknown_Gene	Cluster_104901
Operon1021	OMAKBKMK_01545	ilvI	Cluster_17408
Operon1021	OMAKBKMK_01546	ilvH	Cluster_17408
Operon1022	OMAKBKMK_01547	ilvC	Cluster_148690
Operon1023	OMAKBKMK_01548	Unknown_Gene	Cluster_82968
Operon1024	OMAKBKMK_01549	msrP	Cluster_131440
Operon1024	OMAKBKMK_01550	msrQ_1	Cluster_131440
Operon1025	OMAKBKMK_01551	Unknown_Gene	Cluster_7761
Operon1026	OMAKBKMK_01552	Unknown_Gene	Cluster_125229
Operon1026	OMAKBKMK_01553	Unknown_Gene	Cluster_125229
Operon1027	OMAKBKMK_01554	Unknown_Gene	Cluster_43022
Operon1028	OMAKBKMK_01555	Unknown_Gene	Cluster_92843
Operon1029	OMAKBKMK_01556	recC	Cluster_91327
Operon1029	OMAKBKMK_01557	recB	Cluster_91327
Operon1029	OMAKBKMK_01558	recD	Cluster_91327
Operon1030	OMAKBKMK_01559	hdfR_3	Cluster_141342
Operon1031	OMAKBKMK_01560	mmsA	Cluster_141342
Operon1031	OMAKBKMK_01561	mmsB	Cluster_141342
Operon1032	OMAKBKMK_01562	Unknown_Gene	Cluster_99936
Operon1033	OMAKBKMK_01563	cmpR_4	Cluster_139610
Operon1034	OMAKBKMK_01564	Unknown_Gene	Cluster_139610
Operon1035	OMAKBKMK_01565	Unknown_Gene	Cluster_78901
Operon1036	OMAKBKMK_01566	mdaB	Cluster_78901
Operon1037	OMAKBKMK_01567	dmlR_5	Cluster_124773
Operon1038	OMAKBKMK_01568	ggt_1	Cluster_105050
Operon1039	OMAKBKMK_01569	mcpS_2	Cluster_65037
Operon1040	OMAKBKMK_01570	Unknown_Gene	Cluster_64597
Operon1041	OMAKBKMK_01571	pcaH	Cluster_64597
Operon1041	OMAKBKMK_01572	pcaG	Cluster_64597
Operon1042	OMAKBKMK_01573	trmA	Cluster_81015
Operon1042	OMAKBKMK_01574	adeP_1	Cluster_81015
Operon1043	OMAKBKMK_01575	entS_1	Cluster_24858
Operon1044	OMAKBKMK_01576	cydA	Cluster_24858
Operon1044	OMAKBKMK_01577	cydB	Cluster_24858
Operon1044	OMAKBKMK_01578	Unknown_Gene	Cluster_24858
Operon1045	OMAKBKMK_01579	rlmG	Cluster_122568
Operon1046	OMAKBKMK_01580	anoR	Cluster_55188
Operon1047	OMAKBKMK_01581	fpr_1	Cluster_55188
Operon1048	OMAKBKMK_01582	mscL	Cluster_69678
Operon1049	OMAKBKMK_01583	radA	Cluster_69678
Operon1050	OMAKBKMK_01584	uacT_1	Cluster_39929
Operon1051	OMAKBKMK_01585	Unknown_Gene	Cluster_114925
Operon1052	OMAKBKMK_01586	Unknown_Gene	Cluster_29525
Operon1053	OMAKBKMK_01587	btsT	Cluster_29525
Operon1053	OMAKBKMK_01588	Unknown_Gene	Cluster_29525
Operon1054	OMAKBKMK_01589	yjiA	Cluster_136768
Operon1055	OMAKBKMK_01590	Unknown_Gene	Cluster_53751
Operon1056	OMAKBKMK_01591	metE	Cluster_53751
Operon1057	OMAKBKMK_01592	thlA_1	Cluster_28544
Operon1058	OMAKBKMK_01593	fabV	Cluster_28544
Operon1059	OMAKBKMK_01594	Unknown_Gene	Cluster_124754
Operon1060	OMAKBKMK_01595	Unknown_Gene	Cluster_133013
Operon1060	OMAKBKMK_01596	Unknown_Gene	Cluster_133013
Operon1060	OMAKBKMK_01597	folM	Cluster_133013
Operon1061	OMAKBKMK_01598	Unknown_Gene	Cluster_52374
Operon1062	OMAKBKMK_01599	Unknown_Gene	Cluster_52374
Operon1063	OMAKBKMK_01600	Unknown_Gene	Cluster_156942
Operon1063	OMAKBKMK_01601	pfyP_1	Cluster_156942
Operon1064	OMAKBKMK_01602	Unknown_Gene	Cluster_134508
Operon1065	OMAKBKMK_01603	dhaA	Cluster_56448
Operon1066	OMAKBKMK_01604	Unknown_Gene	Cluster_107846
Operon1067	OMAKBKMK_01605	kipR	Cluster_107137
Operon1068	OMAKBKMK_01606	hmgA_1	Cluster_107137
Operon1068	OMAKBKMK_01607	Unknown_Gene	Cluster_107137
Operon1068	OMAKBKMK_01608	nagL_1	Cluster_107137
Operon1069	OMAKBKMK_01609	Unknown_Gene	Cluster_99526
Operon1070	OMAKBKMK_01610	ldh	Cluster_99526
Operon1071	OMAKBKMK_01611	Unknown_Gene	Cluster_49714
Operon1072	OMAKBKMK_01612	psiE	Cluster_49714
Operon1073	OMAKBKMK_01613	Unknown_Gene	Cluster_70908
Operon1074	OMAKBKMK_01614	Unknown_Gene	Cluster_70908
Operon1075	OMAKBKMK_01615	sasA_4	Cluster_139024
Operon1075	OMAKBKMK_01616	Unknown_Gene	Cluster_139024
Operon1076	OMAKBKMK_01617	Unknown_Gene	Cluster_139024
Operon1077	OMAKBKMK_01618	Unknown_Gene	Cluster_33200
Operon1077	OMAKBKMK_01619	Unknown_Gene	Cluster_33200
Operon1077	OMAKBKMK_01620	Unknown_Gene	Cluster_33200
Operon1077	OMAKBKMK_01621	Unknown_Gene	Cluster_33200
Operon1077	OMAKBKMK_01622	Unknown_Gene	Cluster_33200
Operon1077	OMAKBKMK_01623	Unknown_Gene	Cluster_33200
Operon1077	OMAKBKMK_01624	sctC_1	Cluster_33200
Operon1077	OMAKBKMK_01625	Unknown_Gene	Cluster_33200
Operon1078	OMAKBKMK_01626	Unknown_Gene	Cluster_33200
Operon1078	OMAKBKMK_01627	rssB_1	Cluster_33200
Operon1079	OMAKBKMK_01628	Unknown_Gene	Cluster_37127
Operon1080	OMAKBKMK_01629	Unknown_Gene	Cluster_37127
Operon1080	OMAKBKMK_01630	Unknown_Gene	Cluster_37127
Operon1080	OMAKBKMK_01631	Unknown_Gene	Cluster_37127
Operon1081	OMAKBKMK_01632	fecI_2	Cluster_150274
Operon1081	OMAKBKMK_01633	Unknown_Gene	Cluster_150274
Operon1082	OMAKBKMK_01634	cntO_1	Cluster_96561
Operon1083	OMAKBKMK_01635	rhaS_2	Cluster_53752
Operon1084	OMAKBKMK_01636	Unknown_Gene	Cluster_53752
Operon1085	OMAKBKMK_01637	Unknown_Gene	Cluster_125172
Operon1085	OMAKBKMK_01638	yfdG	Cluster_125172
Operon1085	OMAKBKMK_01639	yfdH	Cluster_125172
Operon1086	OMAKBKMK_01640	ghrB_1	Cluster_111361
Operon1087	OMAKBKMK_01641	dmlR_6	Cluster_68507
Operon1088	OMAKBKMK_01642	ttgI_1	Cluster_68507
Operon1088	OMAKBKMK_01643	aaeB_2	Cluster_68507
Operon1088	OMAKBKMK_01644	Unknown_Gene	Cluster_68507
Operon1088	OMAKBKMK_01645	aaeA_2	Cluster_68507
Operon1089	OMAKBKMK_01646	yhcG	Cluster_69927
Operon1090	OMAKBKMK_01647	Unknown_Gene	Cluster_38961
Operon1091	OMAKBKMK_01648	nodD2_1	Cluster_38961
Operon1092	OMAKBKMK_01649	emrY	Cluster_92546
Operon1092	OMAKBKMK_01650	emrA_1	Cluster_92546
Operon1092	OMAKBKMK_01651	ttgC_1	Cluster_92546
Operon1092	OMAKBKMK_01652	acr1	Cluster_92546
Operon1093	OMAKBKMK_01653	hcaB_2	Cluster_84110
Operon1094	OMAKBKMK_01654	Unknown_Gene	Cluster_78523
Operon1095	OMAKBKMK_01655	algA_2	Cluster_163492
Operon1095	OMAKBKMK_01656	algF	Cluster_163492
Operon1095	OMAKBKMK_01657	algJ	Cluster_163492
Operon1095	OMAKBKMK_01658	patA	Cluster_163492
Operon1095	OMAKBKMK_01659	Unknown_Gene	Cluster_163492
Operon1095	OMAKBKMK_01660	algL	Cluster_163492
Operon1095	OMAKBKMK_01661	algX	Cluster_163492
Operon1095	OMAKBKMK_01662	algG	Cluster_163492
Operon1095	OMAKBKMK_01663	algE	Cluster_163492
Operon1095	OMAKBKMK_01664	algK	Cluster_163492
Operon1095	OMAKBKMK_01665	Unknown_Gene	Cluster_163492
Operon1095	OMAKBKMK_01666	alg8	Cluster_163492
Operon1096	OMAKBKMK_01667	algD	Cluster_723
Operon1097	OMAKBKMK_01668	Unknown_Gene	Cluster_723
Operon1098	OMAKBKMK_01669	Unknown_Gene	Cluster_107164
Operon1098	OMAKBKMK_01670	yknY	Cluster_107164
Operon1098	OMAKBKMK_01671	macB_1	Cluster_107164
Operon1098	OMAKBKMK_01672	Unknown_Gene	Cluster_107164
Operon1098	OMAKBKMK_01673	Unknown_Gene	Cluster_107164
Operon1099	OMAKBKMK_01674	yaaA	Cluster_91890
Operon1100	OMAKBKMK_01675	Unknown_Gene	Cluster_91890
Operon1101	OMAKBKMK_01676	Unknown_Gene	Cluster_35832
Operon1102	OMAKBKMK_01677	moaC	Cluster_120528
Operon1102	OMAKBKMK_01678	moaD	Cluster_120528
Operon1102	OMAKBKMK_01679	moaE	Cluster_120528
Operon1103	OMAKBKMK_01680	rhlB	Cluster_116505
Operon1104	OMAKBKMK_01681	estB	Cluster_27123
Operon1105	OMAKBKMK_01682	yhdW	Cluster_27123
Operon1106	OMAKBKMK_01683	Unknown_Gene	Cluster_140311
Operon1106	OMAKBKMK_01684	yhdY	Cluster_140311
Operon1106	OMAKBKMK_01685	glnQ_2	Cluster_140311
Operon1107	OMAKBKMK_01686	degS	Cluster_79065
Operon1108	OMAKBKMK_01687	Unknown_Gene	Cluster_79065
Operon1109	OMAKBKMK_01688	cysD	Cluster_80154
Operon1109	OMAKBKMK_01689	cysNC	Cluster_80154
Operon1110	OMAKBKMK_01690	imm_1	Cluster_109025
Operon1110	OMAKBKMK_01691	Unknown_Gene	Cluster_109025
Operon1111	OMAKBKMK_01692	decR_3	Cluster_96111
Operon1112	OMAKBKMK_01693	mdeA	Cluster_96111
Operon1113	OMAKBKMK_01694	Unknown_Gene	Cluster_92010
Operon1114	OMAKBKMK_01695	Unknown_Gene	Cluster_92010
Operon1114	OMAKBKMK_01696	Unknown_Gene	Cluster_92010
Operon1115	OMAKBKMK_01697	zapE_1	Cluster_77952
Operon1116	OMAKBKMK_01698	Unknown_Gene	Cluster_115313
Operon1117	OMAKBKMK_01699	cdhR_4	Cluster_86887
Operon1118	OMAKBKMK_01700	tas	Cluster_40381
Operon1119	OMAKBKMK_01701	rplM	Cluster_40381
Operon1119	OMAKBKMK_01702	rpsI	Cluster_40381
Operon1120	OMAKBKMK_01703	petA	Cluster_38106
Operon1120	OMAKBKMK_01704	petB	Cluster_38106
Operon1120	OMAKBKMK_01705	petC	Cluster_38106
Operon1121	OMAKBKMK_01706	sspA	Cluster_100755
Operon1121	OMAKBKMK_01707	sspB	Cluster_100755
Operon1122	OMAKBKMK_01708	Unknown_Gene	Cluster_131629
Operon1123	OMAKBKMK_01709	Unknown_Gene	Cluster_53232
Operon1123	OMAKBKMK_01710	gmhA	Cluster_53232
Operon1124	OMAKBKMK_01711	Unknown_Gene	Cluster_53232
Operon1125	OMAKBKMK_01712	lpoA	Cluster_65038
Operon1126	OMAKBKMK_01713	rsmI	Cluster_65038
Operon1127	OMAKBKMK_01714	mraZ	Cluster_2287
Operon1127	OMAKBKMK_01715	rsmH	Cluster_2287
Operon1127	OMAKBKMK_01716	ftsL	Cluster_2287
Operon1127	OMAKBKMK_01717	ftsI	Cluster_2287
Operon1127	OMAKBKMK_01718	murE	Cluster_2287
Operon1127	OMAKBKMK_01719	murF	Cluster_2287
Operon1127	OMAKBKMK_01720	mraY	Cluster_2287
Operon1127	OMAKBKMK_01721	murD	Cluster_2287
Operon1127	OMAKBKMK_01722	ftsW	Cluster_2287
Operon1127	OMAKBKMK_01723	murG	Cluster_2287
Operon1127	OMAKBKMK_01724	murC	Cluster_2287
Operon1127	OMAKBKMK_01725	ddl	Cluster_2287
Operon1127	OMAKBKMK_01726	ftsQ	Cluster_2287
Operon1127	OMAKBKMK_01727	ftsA	Cluster_2287
Operon1128	OMAKBKMK_01728	ftsZ	Cluster_148650
Operon1129	OMAKBKMK_01729	lpxC	Cluster_107308
Operon1130	OMAKBKMK_01730	Unknown_Gene	Cluster_50044
Operon1131	OMAKBKMK_01731	secA	Cluster_50044
Operon1132	OMAKBKMK_01732	argJ	Cluster_64457
Operon1133	OMAKBKMK_01733	Unknown_Gene	Cluster_103666
Operon1133	OMAKBKMK_01734	thiE_2	Cluster_103666
Operon1134	OMAKBKMK_01735	cobO_2	Cluster_115642
Operon1134	OMAKBKMK_01736	sasA_5	Cluster_115642
Operon1134	OMAKBKMK_01737	panE	Cluster_115642
Operon1135	OMAKBKMK_01738	Unknown_Gene	Cluster_115642
Operon1136	OMAKBKMK_01739	mscS	Cluster_107139
Operon1137	OMAKBKMK_01740	mdfA	Cluster_52054
Operon1138	OMAKBKMK_01741	Unknown_Gene	Cluster_158474
Operon1138	OMAKBKMK_01742	Unknown_Gene	Cluster_158474
Operon1139	OMAKBKMK_01743	Unknown_Gene	Cluster_82369
Operon1140	OMAKBKMK_01744	Unknown_Gene	Cluster_88877
Operon1141	OMAKBKMK_01745	Unknown_Gene	Cluster_141313
Operon1142	OMAKBKMK_01746	groS	Cluster_45857
Operon1142	OMAKBKMK_01747	groL	Cluster_45857
Operon1143	OMAKBKMK_01748	czcR_1	Cluster_74710
Operon1143	OMAKBKMK_01749	sasA_6	Cluster_74710
Operon1144	OMAKBKMK_01750	Unknown_Gene	Cluster_112102
Operon1144	OMAKBKMK_01751	inaA	Cluster_112102
Operon1144	OMAKBKMK_01752	Unknown_Gene	Cluster_112102
Operon1145	OMAKBKMK_01753	bepE	Cluster_87691
Operon1145	OMAKBKMK_01754	bepF_1	Cluster_87691
Operon1146	OMAKBKMK_01755	Unknown_Gene	Cluster_3826
Operon1147	OMAKBKMK_01756	Unknown_Gene	Cluster_38009
Operon1148	OMAKBKMK_01757	Unknown_Gene	Cluster_40790
Operon1149	OMAKBKMK_01758	Unknown_Gene	Cluster_85260
Operon1150	OMAKBKMK_01759	Unknown_Gene	Cluster_37931
Operon1151	OMAKBKMK_01760	sodB_1	Cluster_48650
Operon1152	OMAKBKMK_01761	argO	Cluster_123647
Operon1153	OMAKBKMK_01762	Unknown_Gene	Cluster_123647
Operon1153	OMAKBKMK_01763	oleD	Cluster_123647
Operon1154	OMAKBKMK_01764	Unknown_Gene	Cluster_126145
Operon1155	OMAKBKMK_01765	nemA_1	Cluster_82370
Operon1155	OMAKBKMK_01766	Unknown_Gene	Cluster_82370
Operon1156	OMAKBKMK_01767	acpH	Cluster_82370
Operon1157	OMAKBKMK_01768	Unknown_Gene	Cluster_88878
Operon1157	OMAKBKMK_01769	Unknown_Gene	Cluster_88878
Operon1158	OMAKBKMK_01770	Unknown_Gene	Cluster_88878
Operon1159	OMAKBKMK_01771	Unknown_Gene	Cluster_142921
